Probe set	Gene symbol	Gene description	P-value	FDR	CHEK2 / non-CHEK2GM (ratio)
210416_s_at	CHEK2	Cell cycle checkpoint kinase 2	< 1e-07	< 1e-07	0.6 / 1.1 (0.5)
229388_at		cDNA clone IMAGE:5295564	2.0E-07	0.001	1.6 / 0.8 (2.0)
223773_s_at	C1orf79	Chromosome 1 ORF 79	2.4E-06	0.007	1.5 / 0.8 (1.8)
1555976_s_at	MRCL3	Myosin regulatory light chain 3	2.6E-06	0.007	1.6 / 0.8 (2.0)
202127_at	PRPF4B	Pre-mRNA processing factor 4  homolog B (yeast)	4.6E-06	0.010	1.4 / 0.8 (1.7)
1553292_s_at	FLJ25006	Hypothetical protein FLJ25006	5.6E-06	0.010	1.5 / 0.8 (1.8)
226444_at	SLC39A10	Solute carrier family 39, member 10  (zinc transporter)	6.7E-06	0.010	1.6 / 0.8 (2.0)
209889_at	SEC31L2	SEC31-like 2 (S. cerevisiae)	1.2E-05	0.013	1.5 / 0.8 (1.8)
236098_at	RECQL5	RecQ protein-like 5	1.2E-05	0.013	1.6 / 0.9 (1.7)
225786_at	LOC284702	Hypothetical protein LOC284702	1.4E-05	0.013	1.4 / 0.8 (1.7)
208798_x_at	GOLGA8A	Golgi autoantigen, golgin subfamily a, 8A	1.4E-05	0.013	1.7 / 0.8 (2.1)
1555878_at	RPS24	Ribosomal protein S24	1.6E-05	0.014	1.7 / 0.8 (2.1)
229795_at		Transcribed locus	1.7E-05	0.014	1.7 / 0.8 (2.1)
215292_s_at	MKL1	Megakaryoblastic leukemia 1	1.8E-05	0.014	0.6 / 1.2 (0.5)
1555960_at	HINT1	Histidine triad nucleotide BP 1	2.4E-05	0.016	1.5 / 0.8 (1.8)
1557383_a_at		cDNA FLJ38112 fis,  clone D3OST2002272	2.5E-05	0.016	1.8 / 0.8 (2.2)
227793_at		cDNA clone IMAGE:4361039	2.5E-05	0.016	1.8 / 0.7 (2.5)
217317_s_at	HERC2P2	HECT domain and RLD 2  pseudogene 2	3.1E-05	0.018	1.4 / 0.8 (1.7)
228997_at	TRSPAP1	tRNA selenocysteine associated  protein 1	3.3E-05	0.018	1.7 / 0.8 (2.1)
232504_at			3.3E-05	0.018	1.4 / 0.8 (1.7)
231369_at	ZNF333	Zinc finger protein 333	4.5E-05	0.023	1.5 / 0.9 (1.6)
228990_at	C1orf79	Chromosome 1 ORF 79	4.9E-05	0.024	1.4 / 0.8 (1.7)
210656_at	EED	Embryonic ectoderm development	5.0E-05	0.024	1.5 / 0.8 (1.8)
223774_at	C1orf79	Chromosome 1 ORF 79	7.5E-05	0.033	1.5 / 0.8 (1.8)
1557242_at	MICA	MHC class I polypeptide-related  sequence A	7.6E-05	0.033	1.5 / 0.9 (1.6)
221989_at	RPL10	LOC 284393 / 285176 / 389342 /  39364 / 644039 / 647074	9.0E-05	0.037	1.4 / 0.8 (1.7)
221728_x_at	XIST	X (inactive)-specific transcript	9.6E-05	0.037	1.7 / 0.9 (1.8)
235535_x_at	LOC283788	Hypothetical protein LOC283788	9.8E-05	0.037	1.5 / 0.8 (1.8)
224610_at	STX5	Syntaxin 5	9.9E-05	0.037	1.4 / 0.8 (1.7)
220798_x_at	PRG2	Plasticity-related gene 2	0.00011	0.038	0.7 / 1.2 (0.5)
214048_at	MBD4	Methyl-CpG binding domain protein 4	0.00014	0.048	1.4 / 0.8 (1.7)
213672_at	MARS	Methionine-tRNA synthetase	0.00016	0.056	1.4 / 0.8 (1.7)
209007_s_at	C1orf63	Chromosome 1 ORF 63	0.00020	0.067	1.4 / 0.8 (1.7)
226363_at	ABCC5	ATP-binding cassette, sub-family C  (CFTR / MRP), member 5	0.00021	0.067	1.5 / 0.8 (1.8)
244786_at	C14orf62	Chromosome 14 ORF 62	0.00022	0.067	1.5 / 0.8 (1.8)
213212_x_at	LOC161527	Hypothetical protein LOC161527	0.00022	0.067	1.4 / 0.8 (1.8)
228030_at		Transcribed locus	0.00023	0.067	1.5 / 0.8 (1.8)
227517_s_at	C1orf155	Chromosome 1 ORF 155	0.00025	0.071	1.5 / 0.8 (1.8)
235564_at	ZNF117	Zinc finger protein 117 (HPF9)	0.00025	0.071	1.4 / 0.8 (1.7)
