Gene description	Common abbreviation	Accession no.	Ratio, —/— to +/+	Intensity EKLF—/—	EKLF+/+	Function	Expression
Erythrocyte protein band 4.9/dematin		NM_013514	0.0507	372	7 233	Cytoskeleton	Downregulated genes
Hect domain and RCC1 (CHC1)-like domain (RLD) 2	rjs	AF061529	0.079	95	741	Cytoskeleton	Downregulated genes
Talin 1	Tln1	AK006088	0.0864	1 021	11 849	Cytoskeleton	Downregulated genes
Cables	Cables,ik3-1	AF133208	0.137	571	4 207	Cytoskeleton	Downregulated genes
P120-catenin	Catns	NM_007615	0.224	142	587	Cytoskeleton	Downregulated genes
Parvin, gamma	Parvg	AF312712	0.265	181	671	Cytoskeleton	Downregulated genes
Alpha 1 spectrin	Spna-1	NM_011465	0.749	5 607	7 401	Cytoskeleton	Downregulated genes
Solute carrier family 2, glucose transporter	Slc2a4; Glut4	NM_009204	0.0249	21	696	Transmembrane/blood group antigens/receptors	Downregulated genes
Solute carrier family 22; mitochondrial anion exchange	Slc22a4 OCTN1	NM_019687	0.0346	33	785	Transmembrane/blood group antigens/receptors	Downregulated genes
Lysophosphatidic acid-operated K+ channel; TRAAK	Kcnk4	NM_008431	0.0624	108	1 831	Transmembrane/blood group antigens/receptors	Downregulated genes
Rhodopsin, olfactory receptor	Rhod	AL133159	0.0862	281	3 661	Transmembrane/blood group antigens/receptors	Downregulated genes
Mus musculus olfactory receptor 65	Olfr65	NM_013617	0.0893	115	639	Transmembrane/blood group antigens/receptors	Downregulated genes
Calcium channel, voltage-dep, L type, alpha 1C subunit	Cacna1c	NM_009781	0.097	110	668	Transmembrane/blood group antigens/receptors	Downregulated genes
Neurexophilin 4	Nxph4	AK004130	0.099	189	1 912	Transmembrane/blood group antigens/receptors	Downregulated genes
Duffy blood group	Dfy	NM_010045	0.108	1 432	13 104	Transmembrane/blood group antigens/receptors	Downregulated genes
ICAM 4, LW blood group	ICAM-4, Cd242	AF296282	0.219	3 518	16 029	Transmembrane/blood group antigens/receptors	Downregulated genes
Roundabout homolog 3 (Drosophila)	Robo3	NM_011248	0.28	338.3	1 111	Transmembrane/blood group antigens/receptors	Downregulated genes
Erythroblast membrane-associated protein	Ermap	NM_013848	0.309	12 719	40 085	Transmembrane/blood group antigens/receptors	Downregulated genes
Transferrin receptor	Tfrc; CD71	AK011596	0.31	7 367	23 487	Transmembrane/blood group antigens/receptors	Downregulated genes
Activin A receptor, type II-like 1	Acvrl1	NM_009612	0.326	1 301	3 480	Transmembrane/blood group antigens/receptors	Downregulated genes
Lectin, galactose binding, soluble 1	Lgals1; d-Gal1	NM_008495	0.335	11 570	33 382	Transmembrane/blood group antigens/receptors	Downregulated genes
Rhesus blood group CDE	Rhced	NM_011270	0.4	9 880	24 273	Transmembrane/blood group antigens/receptors	Downregulated genes
Glycophorin A	Gypa	NM_010369	0.572	14 932	25 518	Transmembrane/blood group antigens/receptors	Downregulated genes
CD59a antigen	Cd59a	NM_007652	0.626	4 744	7 127	Transmembrane/blood group antigens/receptors	Downregulated genes
CD47 antigen, Rh-related antigen	Cd47	NM_010581	0.647	9 620	14 890	Transmembrane/blood group antigens/receptors	Downregulated genes
Orphan nuclear receptor subfamily 0, group B, mem 1	Nr0b1; Dax	NM_007430	0.0784	200	1 717	Transcription factors and other nuclear proteins	Downregulated genes
Retinoic acid receptor, gamma	Rarg, RARgamma	M32071	0.123	160	1 240	Transcription factors and other nuclear proteins	Downregulated genes
Fanconi anemia, compl group D2	2410150O07Ri	AK019136	0.215	467	2 099	Transcription factors and other nuclear proteins	Downregulated genes
