Curated Gene Symbol	Order	Unique id	Description	GB acc	Gene symbol	P-value
CACNA2D3	1	A_23_P147166	Homo sapiens voltage-gated calcium channel alpha(2)delta-3 subunit mRNA, complete cds. [AF516696]	AF516696	CACNA2D3	0
OLIG1	2	A_23_P154849	Homo sapiens oligodendrocyte transcription factor 1 (OLIG1), mRNA [NM_138983]	NM_138983	OLIG1	0
PDXK	3	A_24_P318967	Homo sapiens pyridoxal (pyridoxine, vitamin B6) kinase (PDXK), mRNA [NM_003681]	NM_003681	PDXK	0.0003
	4	A_24_P623989	Homo sapiens, clone IMAGE:5205388, mRNA. [BC040064]	BC040064	BC040064	0.0004
RSAD2	5	A_24_P28722	Homo sapiens radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA [NM_080657]	NM_080657	RSAD2	0.0004
TECPR2	6	A_32_P355396	Homo sapiens KIAA0329 (KIAA0329), mRNA [NM_014844]	NM_014844	KIAA0329	0.0007
TPM4	7	A_24_P82880	Homo sapiens tropomyosin 4 (TPM4), mRNA [NM_003290]	NM_003290	TPM4	0.0007
PDPR	8	A_23_P206677	Homo sapiens pyruvate dehydrogenase phosphatase regulatory subunit (PDPR), mRNA [NM_017990]	NM_017990	PDPR	0.0008
	9	A_32_P347617	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H (APOBEC3H), mRNA [NM_181773]	NM_181773	RP4-742C19.3	0.0008
TMEM176A	10	A_23_P252082	Homo sapiens transmembrane protein 176A (TMEM176A), mRNA [NM_018487]	NM_018487	TMEM176A	0.0008
LILRA3	11	A_23_P79094	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3 (LILRA3), mRNA [NM_006865]	NM_006865	LILRA3	0.0009
	12	A_24_P318990	Homo sapiens cDNA clone MGC:17259 IMAGE:4149333, complete cds. [BC012876]	BC012876	BC012876	0.0009
PTPRF	13	A_24_P385313	Homo sapiens protein tyrosine phosphatase, receptor type, F (PTPRF), transcript variant 1, mRNA [NM_002840]	NM_002840	PTPRF	0.0009
MS4A6A	14	A_23_P36120	Homo sapiens membrane-spanning 4-domains, subfamily A, member 6A (MS4A6A), transcript variant 2, mRNA [NM_022349]	NM_022349	MS4A6A	0.001
