Curated Gene Symbol	Function	Symbol	Description	GeneBank	t-test
CASP9	Apoptosis	CASP9	Caspase-9 precursor (EC 3.4.22)	NM_001229.2	0.000207
EMP1	apoptosis	EMP1	Epithelial membrane protein 1	NM_001423.1	1.38E-06
YIF1A	cell adhesion	YIF1A	Protein YIF1A	NM_020470.1	0.000115
FOXN3	Cell Cycle	CHES1	Checkpoint suppressor 1	NM_005197.2	0.047852
CCNG1	Cell Cycle	CCNG1	Cyclin-G1	NM_004060.3	0.002296
LRRC41	Cell singling	LRRC41	Leucine-rich repeat-containing protein 41	NM_006369.4	0.000132
SCG3	cell singling	SCG3	Secretogranin-3 precursor	NM_013243.2	4.69E-05
FLRT1	Cell singling	FLRT1	Leucine-rich repeat transmembrane protein FLRT1 precursor	NM_013280.4	0.022495
SIGLEC8	cell singling	SIGLEC8	Sialic acid-binding Ig-like lectin 8 precursor	NM_014442.2	0.020819
HYLS1	cell structure	HYLS1	hydrolethalus syndrome 1	NM_145014.1	7.28E-05
TOR1AIP1	cell structure	TOR1AIP1	Torsin-1A-interacting protein 1	NM_015602.2	5.13E-05
CRLF3	cytokine	CRLF3	cytokine receptor-like factor 3	XM_001128008.1	3.25E-06
PLEKHG6	cytokine	PLEKHG6	pleckstrin homology domain containing, family G	NM_018173.1	0.004661
KRTAP19-5	Cytoskeleton	KRTAP19-5	Keratin-associated protein 19-5	NM_181611.1	0.000296
COMMD5	cytoskeleton	COMMD5	COMM domain-containing protein 5	NM_014066.2	8.20E-07
CENPJ	DNA replication	CENPJ	Centromere protein J	NM_018451.2	2.22E-05
TOP3B	DNA replication	TOP3B	DNA topoisomerase 3-beta-1	XM_001129880.1	1.79E-05
DDX54	DNA replication	DDX54	ATP-dependent RNA helicase	NM_024072.3	0.080445
ATP5EP2	Energy	Q5VTU8	ATP synthase,	NR_002162.1	9.93E-05
COX6A1	Energy	COX6A1	Cytochrome c oxidase polypeptide VIa-liver	NM_004373.2	0.077561
CRYBB3	Immune response	CRYBB3	Beta crystallin B3	NM_004076.3	2.89E-05
FCRL3	Immune response	FCRL3	Fc receptor-like 3 precursor	NM_052939.3	9.14E-06
IFITM2	Immune response	IFITM2	interferon induced transmembrane protein 2	NM_006435.1	0.000197
DEFB114	Immune response	DEFB114	Beta-defensin 114 precursor	NM_001037499.1	0.003039
IFNA21	Immune response	IFNA21	Interferon alpha-21 precursor	NM_002175.1	0.019498
KIR2DL1	Immune response	KIR2DL1	Killer cell immunoglobulin-like receptor 3DL2 precursor	NM_153443.2	0.014098
CANX	Ion transport	CANX	Calnexin precursor	NM_001024649.1	0.097857
CLGN	Ion transport	CLGN	Calmegin precursor	NM_004362.1	0.002724
HHLA3	ion transport	HHLA3	HERV-H LTR-associating 3 isoform 2	NM_001036645.1	0.003147
PDXK	kinase activity	PDXK	Pyridoxal kinase	NM_003681.3	0.037672
PRKCB	kinase activity	PRKCB1	Protein kinase C beta type	NM_002738.5	0.009381
PPAPDC3	Lipid Metabolism	PPAPDC3	Probable lipid phosphate phosphatase PPAPDC3	NM_032728.2	6.06E-05
OSBPL2	Lipid Metabolism	OSBPL2	Oxysterol-binding protein-related protein 2	NM_144498.1	0.016902
PLA2G2C	lipid metabolism	Q5R387	Novel protein	XM_372769.4	0.000376
LEPROT	liver functions	LEPROT	Leptin receptor precursor	NM_017526.2	0.107525
EMR1	Metabolism	EMR1	EGF-like module-containing mucin-like hormone receptor-like 1 precursor	NM_001974.3	0.00022
UROD	Metabolism	UROD	Uroporphyrinogen decarboxylase	NM_000374.3	0.004853
DCN	metabolism	DCN	Decorin precursor	NM_001920.3	0.000807
FAHD2B	Metabolism	FAHD2B	fumarylacetoacetate hydrolase domain containing 2B	XR_016023.1	4.16E-06
ACSBG2	Metabolism	ACSBG2	Prostatic acid phosphatase precursor	NM_001099.2	1.55E-05
