Fold change	Probe set	Gene symbol	Description
-35.7	213240_s_at	KRT4	keratin 4
-31	231771_at	GJB6	gap junction protein, beta6, 30 kDa
-27.6	205413_at	MppeD2	metallophosphoesterase domain containing 2
-23.8	209173_at	AGR2	anterior gradient homolog 2 (Xenopus laevis)
-15.9	217272_s_at	seRpINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13
-14.1	238439_at	ANKRD22	ankyrin repeat domain 22
-13.8	205569_at	LAMp3	lysosomal-associated membrane protein 3
-12.9	203453_at	sCNN1A	sodium channel, nonvoltage-gated 1alpha
-12.2	203571_s_at	C10orf116	chromosome 10 open reading frame 116
-12.1	205064_at	spRR1B	small proline-rich protein 1B (cornifin)
-11.4	222830_at	GRhL1	grainyhead-like 1 (Drosophila)
-11.4	207935_s_at	KRT13	keratin 13
-11.4	202718_at	IGFBp2	insulin-like growth factor binding protein 2, 36 kDa
-11	218966_at	MYO5C	myosin VC
-10.7	211138_s_at	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
-10.3	37892_at	COL11A1	collagen, type XI, alpha1
-10.1	239196_at	ANKRD22	ankyrin repeat domain 22
-10.1	212224_at	ALDh1A1	aldehyde dehydrogenase 1 family, member A1
-10.1	215465_at	ABCA12	ATp-binding cassette, sub-family A (ABC1), member 12
-9.9	204469_at	pTpRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1
