Gene Symbol	Gene Title	Accession No.	Fold Change	p Value
Abcg2	ATP-binding cassette, subfamily G (WHITE), member 2	AB094089	2.1 ± 0.1	0.0004
Abcc4	ATP-binding cassette, subfamily C (CFTR/MRP), member 4	BE100533	1.3 ± 0.2	0.013
Slc2a1	Solute carrier family 2 (facilitated glucose transporter), member 1	BI284218	1.3 ± 0.02	0.02
Slc25a25	Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25	AI177358	1.3 ± 0.01	0.008
Slc29a3	Solute carrier family 29 (nucleoside transporters), member 3	BM392280	1.3 ± 0.1	0.001
Slc37a4	Solute carrier family 37 (glycerol-6-phosphate transporter), member 4	NM_031589	1.2 ± 0.03	0.02
Slc30a5 predicted	Solute carrier family 30 (zinc transporter), member 5 (predicted)	BF418332	1.2 ± 0.02	0.017
Slc4a3	Solute carrier family 4 (anion exchange protein), member 3	NM_017049	1.1 ± 0.01	0.018
Slc1a2	Solute carrier family 1 (glial high-affinity glutamate transporter), member 2	NM_017215	1.1 ± 0.1	0.045
Slc6a15	Solute carrier family 6 (neurotransmitter transporter), member 15	L22022	1.1 ± 0.02	0.039
Slc6a6	Solute carrier family 6 (neurotransmitter transporter, taurine), member 6	NM_017206	&#11;1.2 ± 0.03	0.023
Slco1a4	Solute carrier organic anion transporter family 1, member 4	NM_131906	&#11;1.3 ± 0.01	0.037
Slc38a1	Solute carrier family 38 (neuronal glutamine transporter), member 1	AF075704	&#11;1.3 ± 0.02	0.022
Slc22a8	Solute carrier family 22 (organic anion transporter), member 8	NM_031332	&#11;1.3 ± 0.1	0.034
Slc16a1	Solute carrier family 16 (monocarboxylic acid transporter 1), member 1	NM_012716	&#11;1.5 ± 0.1	0.001
