Gene	Genbank account no.	Assay no.	Gene Function
ABCA1	NM_005502.2	Hs00194045_m1	ABC transporters
ABCA2	NM_001606.3	Hs00242232_m1	ABC transporters
ABCA3	NM_001089.1	Hs00184543_m1	ABC transporters
ABCA4	NM_000350.2	Hs00184367_m1	ABC transporters
ABCA5	NM_172232.1	Hs00363322_m1	ABC transporters
ABCA6	NM_080284.2	Hs00365329_m1	ABC transporters
ABCA7	NM_033308.1	Hs00185303_m1	ABC transporters
ABCA8	NM_007168.2	Hs00200350_m1	ABC transporters
ABCA9	NM_080283.3	Hs00329320_m1	ABC transporters
ABCA10	NM_080282.2	Hs00365268_m1	ABC transporters
ABCA12	NM_015657.3	Hs00292421_m1	ABC transporters
ABCA13	NM_152701.2	Hs00541549_m1	ABC transporters
ABCB1	NM_000927.3	Hs00184491_m1	ABC transporters
ABCB2	NM_000593.5	Hs00388682_m1	ABC transporters
ABCB3	NM_000544.3	Hs00241066_m1	ABC transporters
ABCB4	NM_000443.3	Hs00240956_m1	ABC transporters
ABCB5	NM_178559.3	Hs00698751_m1	ABC transporters
ABCB6	NM_005689.1	Hs00180568_m1	ABC transporters
ABCB7	NM_004299.3	Hs00188776_m1	ABC transporters
ABCB8	NM_007188.2	Hs00185159_m1	ABC transporters
ABCB9	NM_203444.1	Hs00608640_m1	ABC transporters
ABCB10	NM_012089.1	Hs00429240_m1	ABC transporters
ABCB11	NM_003742.2	Hs00184824_m1	ABC transporters
ABCC1	NM_004996.2	Hs00219905_m1	ABC transporters
ABCC2	NM_000392.1	Hs00166123_m1	ABC transporters
ABCC3	NM_003786.2	Hs00358656_m1	ABC transporters
ABCC4	NM_005845.2	Hs00195260_m1	ABC transporters
ABCC5	NM_005688.2	Hs00981089_m1	ABC transporters
ABCC6	NM_001171.2	Hs00184566_m1	ABC transporters
ABCC7	NM_000492.3	Hs00357011_m1	ABC transporters
ABCC8	NM_000352.2	Hs00165861_m1	ABC transporters
ABCC9	NM_005691.2	Hs00245832_m1	ABC transporters
ABCC10	NM_033450.2	Hs00375716_m1	ABC transporters
ABCC11	NM_032583.3	Hs00261567_m1	ABC transporters
ABCC12	NM_033226.2	Hs00264354_m1	ABC transporters
ABCD1	NM_000033.2	Hs00163610_m1	ABC transporters
ABCD2	NM_005164.2	Hs00193054_m1	ABC transporters
ABCD3	NM_002858.2	Hs00161065_m1	ABC transporters
ABCD4	NM_005050.1	Hs00245340_m1	ABC transporters
ABCE1	NM_002940.2	Hs01003010_g1	ABC transporters
ABCF1	NM_001090.2	Hs00153703_m1	ABC transporters
ABCF2	NM_007189.1	Hs00606493_m1	ABC transporters
ABCF3	NM_018358.1	Hs00217977_m1	ABC transporters
ABCG1	NM_207174.1	Hs00245154_m1	ABC transporters
ABCG2	NM_004827.2	Hs00184979_m1	ABC transporters
ABCG4	NM_022169.3	Hs00223446_m1	ABC transporters
ABCG5	NM_022436.2	Hs00223686_m1	ABC transporters
ABCG8	NM_022437.2	Hs00223690_m1	ABC transporters
SLC1A4	NM_003038.2	Hs00161719_m1	Uptake transporters
SLC1A5	NM_005628.1	Hs00194540_m1	Uptake transporters
SLC2A5	NM_003039.1	Hs00161720_m1	Uptake transporters
SLC3A1	NM_000341.2	Hs00165789_m1	Uptake transporters
SLC3A2	NM_002394.4	Hs00374243_m1	Uptake transporters
SLC5A4	NM_014227.1	Hs00429527_m1	Uptake transporters
SLC5A6	NM_021095.1	Hs00221573_m1	Uptake transporters
SLC7A1	NM_003045.3	Hs00161807_m1	Uptake transporters
SLC7A2	NM_003046.3	Hs00161809_m1	Uptake transporters
SLC7A3	NM_032803.4	Hs00364157_m1	Uptake transporters
SLC7A5	NM_003486.5	Hs00185826_m1	Uptake transporters
SLC7A8	NM_182728.1	Hs00794796_m1	Uptake transporters
SLC7A9	NM_014270.3	Hs00204638_m1	Uptake transporters
SLC7A10	NM_019849.1	Hs00219811_m1	Uptake transporters
SLC7A11	NM_014331.3	Hs00204928_m1	Uptake transporters
SLC9A3R2	NM_004785.3	Hs00191186_m1	Uptake transporters
SLC10A1	NM_003049.1	Hs00161820_m1	Uptake transporters
SLC15A1	NM_005073.1	Hs00192639_m1	Uptake transporters
SLC15A2	NM_021082.2	Hs00221539_m1	Uptake transporters
SLC16A2	NM_006517.2	Hs00185140_m1	Uptake transporters
SLC16A3	NM_004207.2	Hs00358829_m1	Uptake transporters
SLC19A1	NM_194255.1	Hs00161870_m1	Uptake transporters
SLC19A2	NM_006996.1	Hs00294767_m1	Uptake transporters
SLC19A3	NM_025243.3	Hs00375596_m1	Uptake transporters
SLC22A1	NM_153187.1	Hs00427550_m1	Uptake transporters
SLC22A2	NM_153191.1	Hs00533907_m1	Uptake transporters
SLC25A5	NM_001152.1	Hs00854499_g1	Uptake transporters
SLC25A15	NM_014252.2	Hs00274123_m1	Uptake transporters
SLC25A30	AK094133.1	Hs00416188_m1	Uptake transporters
SLC28A1	NM_004213.3	Hs00188418_m1	Uptake transporters
SLC28A3	NM_022127.1	Hs00223220_m1	Uptake transporters
SLC29A1	NM_004955.1	Hs00191940_m1	Uptake transporters
SLC29A2	NM_001532.2	Hs00155426_m1	Uptake transporters
SLC31A1	NM_001859.2	Hs00977268_g1	Uptake transporters
SLC34A2	NM_006424.2	Hs00197519_m1	Uptake transporters
SLCO1B3	NM_019844.2	Hs00251986_m1	Uptake transporters
SLCO4A1	NM_016354.3	Hs00249583_m1	Uptake transporters
ATP8B1	NM_005603.3	Hs00194444_m1	Miscellaneous transporters
ATP7A	NM_000052.3	Hs00163707_m1	Miscellaneous transporters
ATP7B	NM_000053.2	Hs00163739_m1	Miscellaneous transporters
ATP6V0C	NM_001694.2	Hs00798308_sH	Miscellaneous transporters
ATP1A1	NM_000701.6	Hs00167556_m1	Miscellaneous transporters
ATP1B1	NM_001677.3	Hs00426868_g1	Miscellaneous transporters
ATP1G1	NM_001680.3	Hs00242345_m1	Miscellaneous transporters
KCNMA1	NM_002247.2	Hs00266938_m1	Miscellaneous transporters
APOE	NM_000041.2	Hs00171168_m1	Miscellaneous transporters
AQP7	NM_001170.1	Hs00357359_m1	Miscellaneous transporters
AQP9	NM_020980.2	Hs00175573_m1	Miscellaneous transporters
OCLN	NM_002538.2	Hs00170162_m1	Cell adhesion
ANXA1	NM_000700.1	Hs00167549_m1	Cell adhesion
ANXA4	NM_001153.2	Hs00154040_m1	Cell adhesion
CLDN1	NM_021101.3	Hs00221623_m1	Cell adhesion
CLDN16	NM_006580.2	Hs00198134_m1	Cell adhesion
CLDN2	NM_020384.2	Hs00252666_s1	Cell adhesion
CLDN3	NM_001306.2	Hs00265816_s1	Cell adhesion
CLDN4	NM_001305.3	Hs00533616_s1	Cell adhesion
CLDN5	NM_003277.2	Hs00533949_s1	Cell adhesion
CLDN7	NM_001307.3	Hs00600772_m1	Cell adhesion
CFL1	NM_005507.2	Hs00830568_g1	Cell adhesion
