Gene	Log2 of fold-change	Description	Gene bank accession number	Function
Slc6a6	-1.3	Solute carrier family 6	AI848623	Membrane proteins
Crry	-1	Complement receptor related protein	AV087550	Membrane proteins
Slc38a1	-1	Solute carrier family 38, member 2	AW060684	Membrane proteins
Cd44	1.4	Hyaluronic acid receptor, CD44 antigen	X66084	Membrane proteins
Bat3	1.1	HLA-B-associated transcript 3	AW047616	Membrane proteins
Gpc1	1	Glypican 1	AI852765	Membrane proteins
Akap9	-2.8	A kinase (PRKA) anchor protein (yotiao) 9	AI561567	Signal transduction
Fin15	-2.2	Fibroblast growth factor inducible gene 15	U42384	Signal transduction
Itga4	-2	Integrin alpha 4	AA189389	Signal transduction
Prkwnk1 , WNK1	-1.7	Protein kinase, lysine deficient 1	AV319920	Signal transduction
Itga4	-1.6	Integrin alpha 4	X53176	Signal transduction
Gbp3	-1.2	Guanylate nucleotide binding protein 3	AW047476	Signal transduction
Itpr2	-1.1	Inositol trisphosphate receptor type 2	AF031127	Signal transduction
Gna13	-1	Guanine nucleotide binding protein, alpha 13	M63660	Signal transduction
Pkia	-1	Protein kinase inhibitor, alpha	AW125442	Signal transduction
Gnb1	2.7	Guanine nucleotide binding protein, beta 1	AI845935	Signal transduction
Cap1	2.1	Adenylyl cyclase-associated protein	L12367	Signal transduction
Gnb1	1.9	Guanine nucleotide binding protein, beta 1	U29055	Signal transduction
Wnt7b	1.4	Wingless-related MMTV integration site 7B	M89802	Signal transduction
Nucks	1.3	Nuclear ubiquitous casein kinase and cyclin-dependent kinase substrate	AW048468	Signal transduction
Ywhaz	1.2	14-3-3 zeta	D83037	Signal transduction
Rgs19ip1	1.2	Regulator of G-protein signalling 19 interacting protein 1	AF104358	Signal transduction
Srpk2	1.2	Serine . arginine-rich protein specific kinase 2	AB006036	Signal transduction
Gm2a	1.1	GM2 activator protein	U09816	Signal transduction
Pik3r1	1.1	Phosphoinositide 3-kinase regulatory subunit p85alpha	U50413	Signal transduction
Acp1	1.1	Acid phosphatase 1, soluble	Y17343	Signal transduction
Csnk1d	1	Casein kinase 1 delta	AI846289	Signal transduction
Bmp7	1	Bone morphogenetic protein 7	X56906	Signal transduction
Il11ra2	1	Interleukin 11 receptor, alpha chain 2	U69491	Signal transduction
Shc3	1	Src homology 2 domain-containing transforming protein C3	U46854	Signal transduction
Ppp5c	1	Ser . thr protein phosphatase 5	AF018262	Signal transduction
Acp1	1	Acid phosphatase 1, soluble	Y17345	Signal transduction
Eif2s3y	-4.7	Eukaryotic translation initiation factor 2, subunit 3	AJ006584	Transcription
Tcf20	-2.8	Transcription factor 20	AI847906	Transcription
En2	-1.8	Engrailed 2	Y00203	Transcription
Sox11	-1.7	SRY-box containing gene 11	AW107922	Transcription
Eif2c2	-1.6	Eukaryotic translation initiation factor 2C, 2	AI152867	Transcription
Zic1	-1.4	Zinc finger protein of the cerebellum 1	D32167	Transcription
Sox11	-1.4	SRY-box containing gene 11	AF009414	Transcription
Notch1	-1.3	Notch gene homolog 1	AV374287	Transcription
PLZF	-1.2	Promyelocytic leukaemia zinc finger protein	AI553024	Transcription
Phf12	-1.1	PHD zinc finger transcription factor	AW213866	Transcription
Sf3b1	-1.1	Splicing factor 3b, subunit 1	AI844532	Transcription
Rest	-1.1	RE1-Silencing transcription factor	AI449034	Transcription
SET7	-1	SET7 histone methyltransferase	AI849566	Transcription
