# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_001080437|NM_001080437	hgnc_symbol|SNED1|SNED1
refseq_dna|NM_020659|NM_020659	hgnc_symbol|TTYH1|TTYH1
entrezgene|AL136541|84059	hgnc_symbol|GPR98|GPR98
refseq_dna|NM_012445|NM_012445	hgnc_symbol|SPON2|SPON2
refseq_dna|NM_079420|NM_079420	hgnc_symbol|MYL1|MYL1
refseq_dna|NM_003282|NM_003282	hgnc_symbol|TNNI2|TNNI2
refseq_dna|NM_005379|NM_005379	hgnc_symbol|MYO1A|MYO1A
refseq_dna|NM_173623|NM_173623	hgnc_symbol|TTLL6|TTLL6
refseq_dna|NM_001850|NM_001850	hgnc_symbol|COL8A1|COL8A1
refseq_dna|NM_004369|NM_004369	hgnc_symbol|COL6A3|COL6A3
refseq_dna|NM_020997|NM_020997	hgnc_symbol|LEFTY1|LEFTY1
refseq_dna|NM_001029954|NM_001029954	hgnc_symbol|CDNF|CDNF
refseq_dna|NM_021797|NM_021797	hgnc_symbol|CHIA|CHIA
refseq_dna|NM_032192|NM_032192	hgnc_symbol|PPP1R1B|PPP1R1B
refseq_dna|NM_000857|NM_000857	hgnc_symbol|GUCY1B3|GUCY1B3
refseq_dna|NM_173660|NM_173660	hgnc_symbol|DOK7|DOK7
refseq_dna|NM_004617|NM_004617	hgnc_symbol|TM4SF4|TM4SF4
refseq_dna|NM_002839|NM_002839	hgnc_symbol|PTPRD|PTPRD
entrezgene|BC022483|9411	hgnc_symbol|ARHGAP29|ARHGAP29
refseq_dna|NM_016725|NM_016725	hgnc_symbol|FOLR1|FOLR1
refseq_dna|NM_002975|NM_002975	hgnc_symbol|CLEC11A|CLEC11A
refseq_dna|NM_000142|NM_000142	hgnc_symbol|FGFR3|FGFR3
refseq_dna|NM_006235|NM_006235	hgnc_symbol|POU2AF1|POU2AF1
refseq_dna|NM_000928|NM_000928	hgnc_symbol|PLA2G1B|PLA2G1B
entrezgene|AK027134|54941	hgnc_symbol|RNF125|RNF125
refseq_dna|NM_002686|NM_002686	hgnc_symbol|PNMT|PNMT
refseq_dna|NM_001040100|NM_001040100	hgnc_symbol|C3orf57|C3orf57
refseq_dna|NM_024693|NM_024693	hgnc_symbol|ECHDC3|ECHDC3
refseq_dna|NM_001334|NM_001334	hgnc_symbol|CTSO|CTSO
refseq_dna|NM_001105663|NM_001105663	hgnc_symbol|NUDT7|NUDT7
refseq_dna|NM_014033|NM_014033	hgnc_symbol|METTL7A|METTL7A
refseq_dna|NM_138430|NM_138430	hgnc_symbol|ADPRHL1|ADPRHL1
refseq_dna|NM_020804|NM_020804	hgnc_symbol|PACSIN1|PACSIN1
refseq_dna|NM_178172|NM_178172	hgnc_symbol|GPIHBP1|GPIHBP1
refseq_dna|NM_001461|NM_001461	hgnc_symbol|FMO5|FMO5
refseq_dna|NM_020804|NM_020804	hgnc_symbol|PACSIN1|PACSIN1
refseq_dna|NM_001888|NM_001888	hgnc_symbol|CRYM|CRYM
refseq_dna|NM_032944|NM_032944	hgnc_symbol|STK31|STK31
entrezgene|BC033509|130752	hgnc_symbol|MDH1B|MDH1B
refseq_dna|NM_018327|NM_018327	hgnc_symbol|SPTLC3|SPTLC3
refseq_dna|NM_001017920|NM_001017920	hgnc_symbol|DAPL1|DAPL1
entrezgene|BC039296|55857	hgnc_symbol|PLK1S1|PLK1S1
embl|AF023203|AF023203	hgnc_symbol|N/A|N/A
refseq_dna|NM_031896.4|NM_031896	hgnc_symbol|CACNG7|CACNG7
refseq_dna|NM_173201|NM_173201	hgnc_symbol|ATP2A1|ATP2A1
refseq_dna|NM_006584|NM_006584	hgnc_symbol|CCT6B|CCT6B
refseq_dna|NM_152527|NM_152527	hgnc_symbol|SLC16A14|SLC16A14
refseq_dna|NM_001011547|NM_001011547	hgnc_symbol|SLC5A9|SLC5A9
refseq_dna|NM_152685|NM_152685	hgnc_symbol|SLC23A1|SLC23A1
refseq_dna|NM_152527|NM_152527	hgnc_symbol|SLC16A14|SLC16A14
refseq_dna|NM_002858|NM_002858	hgnc_symbol|ABCD3|ABCD3
refseq_dna|NM_001014985|NM_001014985	hgnc_symbol|GLTPD2|GLTPD2
refseq_dna|NM_025184|NM_025184	hgnc_symbol|EFHC2|EFHC2
