Gene name	Fold change	Accession number	Cluster
Mitogen induced nuclear orphan receptor	110.8	U12767	1
Neuron derived orphan receptor	62.9	D78579	1
Luteinizing hormone beta polypeptide	58.2	AI051683	7
Human chorionic gonadotropin beta subunit	49.4	J00117	7
Leukocyte-associated Ig-like receptor 2	47.2	AA133246	7
Dual specificity phosphatase 1	45.6	X68277	1
Transcription factor AREB6	29.3	D15050	1
Serum/glucocorticoid regulated kinase	25	Y10032	7
Beta-type transcription factor	23.2	S77154	1
GPI-anchored metastasis-associated protein	21.9	AJ223603	1
Nuclear receptor subfamily 4, group A, member 2	21.6	X75918	1
Cytochrome P450, subfamily XIX (aromatization of androgens)	20.7	X13589	7
Cysteine-rich protein 2	20.4	D42123	7
Cytochrome P-450 aromatase gene	19.4	D21241	7
11-beta-hydroxysteroid dehydrogenase type 2	16.5	U26726	7
OVO-like 1 binding protein	15.9	AF016045	5
Forkhead/winged helix-like transcription factor 7	15.3	AF078096	1
L-myc protein	15	M19720	1
Follistatin-like	312.2	U76702	5
Protein–tyrosine–phosphatase D1	11.8	X79510	7
Metallothionein I-B	11.6	M13485	3
Cytochrome P450, subfamily XIA (cholesterol side chain cleavage)	11.4	M14565	5
Tumor necrosis factor receptor superfamily, member 1B	11	AI813532	7
3-beta-hydroxysteroid dehydrogenase	11	M38180	7
Caspase 9	10.9	U60521	1
Placental growth factor, VEGF-related protein	10.3	X54936	5
Inhibitor of DNA binding 3	9.8	AL021154	1
Quiescin Q6	9.7	L42379	7
Endoglin	9.7	X72012	7
Annexin A1	9.4	X05908	7
