AffyID	Gene Title	Gene Symbol	Alignments	Length
202447_at	2,4-dienoyl CoA reductase 1, mitochondrial	DECR1	chr8:91082755-91133403 (+)	50648
218102_at	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)	DERA	chr12:15955549-16081478 (+)	125929
202540_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	chr5:74668854-74693681 (+)	24827
209043_at	3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	chr4:108754504-108860810 (-)	106306
203058_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	chr10:89409627-89497442 (+)	87815
203059_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	chr10:89409637-89495796 (+)	86159
203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2	chr10:89409655-89497440 (+)	87785
209694_at	6-pyruvoyltetrahydropterin synthase	PTS	chr11:111602373-111609686 (+)	7313
210962_s_at	A kinase (PRKA) anchor protein (yotiao) 9	AKAP9	chr7:91408263-91577896 (+)	169633
201674_s_at	A kinase (PRKA) anchor protein 1	AKAP1	chr17:52517619-52552930 (+)	35311
208325_s_at	A kinase (PRKA) anchor protein 13	AKAP13	chr15:84061522-84071482 (+)	9960
209534_x_at	A kinase (PRKA) anchor protein 13	AKAP13	chr15:84021271-84089845 (+)	68574
221718_s_at	A kinase (PRKA) anchor protein 13	AKAP13	chr15:83924568-84029109 (+)	104541
222024_s_at	A kinase (PRKA) anchor protein 13	AKAP13	chr15:84086229-84088184 (+)	1955
202759_s_at	A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 protein	AKAP2 /// PALM2-AKAP2	chr9:111582397-111974333 (+)	391936
205771_s_at	A kinase (PRKA) anchor protein 7	AKAP7	chr6:131613193-131646365 (+)	33172
220841_s_at	Abelson helper integration site 1	AHI1	chr6:135750615-135818608 (-)	67993
221569_at	Abelson helper integration site 1	AHI1	chr6:135646817-135855085 (-)	208268
218633_x_at	abhydrolase domain containing 10	ABHD10	chr3:113180588-113194746 (+)	14158
221815_at	abhydrolase domain containing 2	ABHD2	chr15:87542797-87545326 (+)	2529
87100_at	abhydrolase domain containing 2	ABHD2	chr15:87542970-87543882 (+)	912
213935_at	abhydrolase domain containing 5	ABHD5	chr3:43737683-43739221 (+)	1538
218739_at	abhydrolase domain containing 5	ABHD5	chr3:43707482-43735295 (+)	27813
205412_at	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	ACAT1	chr11:107497467-107523485 (+)	26018
209608_s_at	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	ACAT2	chr6:160103098-160120072 (+)	16974
202003_s_at	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	ACAA2	chr18:45563872-45593900 (-)	30028
201629_s_at	acid phosphatase 1, soluble	ACP1	chr2:254186-268283 (+)	14097
201630_s_at	acid phosphatase 1, soluble	ACP1	chr2:254186-268280 (+)	14094
215227_x_at	acid phosphatase 1, soluble	ACP1	chr2:254943-267509 (+)	12566
201043_s_at	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	ANP32A	chr15:33316695-33317583 (+)	888
