Number of patients	(Affy ID)	Probe sets in this study	Gene name
2	200731_s_at	PTP4A1	protein tyrosine phosphatase type IVA, member 1
2	200772_x_at	PTMA	prothymosin, alpha
2	201012_at	ANXA1	annexin A1
2	201369_s_at	ZFP36L2	zinc finger protein 36, C3H type-like 2
2	201710_at	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
2	201926_s_at	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)
2	202003_s_at	ACAA2	acetyl-coenzyme A acyltransferase 2
2	202053_s_at	ALDH3A2	aldehyde dehydrogenase 3 family, member A2
2	202154_x_at	MC1R	melanocortin 1
3	202219_at	SLC6A8	solute carrier family 6, member 8
2	202237_at	NNMT	nicotinamide N-methyltransferase
2	202238_s_at	NNMT	nicotinamide N-methyltransferase
2	202350_s_at	MATN2	matrilin 2
2	202644_s_at	TNFAIP3	tumor necrosis factor, alpha-induced protein 3
2	202689_at	RBM15B	RNA-binding motif protein 15B
3	202887_s_at	DDIT4	DNA-damage-inducible transcript 4
3	202908_at	WFS1	Wolfram syndrome 1 (wolframin)
2	202954_at	UBE2C	ubiquitin-conjugating enzyme E2C
2	203058_s_at	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2
2	203113_s_at	EEF1D	eukaryotic translation elongation factor 1 delta
2	203186_s_at	S100A4	S100 calcium-binding protein A4
2	203413_at	NELL2	NEL-like 2 (chicken)
2	203434_s_at	MME	membrane metallo-endopeptidase
2	203535_at	S100A9	S100 calcium-binding protein A9
2	203815_at	GSTT1	glutathione S-transferase theta 1
2	203837_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5
2	203892_at	WFDC2	WAP four-disulfide core domain 2
3	203913_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
3	203914_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
2	203926_x_at	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
2	204014_at	DUSP4	dual specificity phosphatase 4
2	204105_s_at	NRCAM	neuronal cell adhesion molecule
2	204519_s_at	PLLP	plasma membrane proteolipid (plasmolipin)
2	204992_s_at	PFN2	profilin 2
2	205046_at	CENPE	centromere protein E, 312 kDa
2	205067_at	IL1B	interleukin-1, beta
2	205295_at	CKMT2	creatine kinase, mitochondrial 2 (sarcomeric)
2	205342_s_at	SULT1C2	sulfotransferase family, cytosolic, 1C, member 2
2	205471_s_at	DACH1	dachshund homolog 1 (Drosophila)
2	205472_s_at	DACH1	dachshund homolog 1 (Drosophila)
2	205488_at	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)
2	205757_at	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5
2	205844_at	VNN1	vanin 1
3	205945_at	IL6R	interleukin-6 receptor
3	205967_at	HIST1H4C	histone cluster 1, H4c
2	205998_x_at	CYP3A4	cytochrome P450, family 3, sub-family A, polypeptide 4
2	206023_at	NMU	neuromedin U
2	206032_at	DSC3	desmocollin 3
2	206211_at	SELE	selectin E
2	206348_s_at	PDK3	pyruvate dehydrogenase kinase, isozyme 3
2	206417_at	CNGA1	cyclic nucleotide-gated channel alpha 1
2	206574_s_at	PTP4A3	protein tyrosine phosphatase type IVA, member 3
2	207080_s_at	PYY	peptide YY
2	207131_x_at	GGT1	gamma-glutamyltransferase 1
2	207259_at	C17orf73	chromosome 17 open reading frame 73
2	207500_at	CASP5	caspase 5, apoptosis-related cysteine peptidase
2	207509_s_at	LAIR2	leukocyte-associated immunoglobulin-like receptor 2
3	207558_s_at	PITX2	paired-like homeodomain 2
2	208029_s_at	LAPTM4B	lysosomal associated protein transmembrane 4 beta
2	208113_x_at	PABPC3	poly(A)-binding protein, cytoplasmic 3
2	208209_s_at	C4BPB	complement component 4 binding protein, beta
2	208284_x_at	GGT1	gamma-glutamyltransferase 1
2	208370_s_at	RCAN1	regulator of calcineurin 1
3	208540_x_at	LOC729659/// LOC730278	similar to putative S100 calcium-binding protein A11 pseudogene
2	208621_s_at	EZR	ezrin
2	208767_s_at	LAPTM4B	lysosomal associated protein transmembrane 4 beta
2	208836_at	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide
2	209034_at	PNRC1	proline-rich nuclear receptor coactivator 1
2	209291_at	ID4	inhibitor of DNA-binding 4, dominant negative helix-loop-helix protein
2	209292_at	ID4	Inhibitor of DNA-binding 4, dominant negative helix-loop-helix protein
2	209398_at	HIST1H1C	histone cluster 1, H1c
2	209550_at	NDN	necdin homolog (mouse)
2	209695_at	PTP4A3	protein tyrosine phosphatase type IVA, member 3
2	209822_s_at	VLDLR	very low density lipoprotein receptor
2	209875_s_at	SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)
2	209905_at	HOXA9	homeobox A9
2	209911_x_at	HIST1H2BD	histone cluster 1, H2bd
2	210511_s_at	INHBA	inhibin, beta A
3	210538_s_at	BIRC3	baculoviral IAP repeat-containing 3
2	210739_x_at	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4
2	210854_x_at	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
3	211122_s_at	CXCL11	chemokine (C-X-C motif) ligand 11
2	211417_x_at	GGT1	gamma-glutamyltransferase 1
2	211506_s_at	IL8	interleukin-8
2	211548_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
2	211689_s_at	TMPRSS2	transmembrane protease, serine 2
3	211921_x_at	PTMA	prothymosin, alpha (gene sequence 28)
2	211981_at	COL4A1	collagen, type IV, alpha 1
2	212078_s_at	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)
3	212127_at	RANGAP1	Ran GTPase-activating protein 1
2	212805_at	PRUNE2	prune homolog 2 (Drosophila)
2	212859_x_at	MT1E	metallothionein 1E
