# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_000148|NM_000148	hgnc_symbol|FUT1|FUT1
hgnc_symbol|KLHDC7B|KLHDC7B
refseq_dna|NM_004235|NM_004235	hgnc_symbol|KLF4|KLF4
refseq_dna|NM_025130|NM_025130	hgnc_symbol|FLJ22761|FLJ22761
refseq_dna|NM_001458|NM_001458	hgnc_symbol|FLNC|FLNC
refseq_dna|NM_014391|NM_014391	hgnc_symbol|ANKRD1|ANKRD1
refseq_dna|NM_001657|NM_001657	hgnc_symbol|AREG|AREG
refseq_dna|NM_207380|NM_207380	hgnc_symbol|FLJ43339|FLJ43339
refseq_dna|NM_002192|NM_002192	hgnc_symbol|INHBA|INHBA
refseq_dna|NM_024111|NM_024111	hgnc_symbol|MGC4504|MGC4504
refseq_dna|NM_052966|NM_052966	hgnc_symbol|C1orf24|C1orf24
refseq_dna|NM_177455|NM_177455	hgnc_symbol|MIST1|MIST1
refseq_dna|NM_020778|NM_020778	hgnc_symbol|ALPK3|ALPK3
refseq_dna|NM_031479|NM_031479	hgnc_symbol|INHBE|INHBE
refseq_dna|NM_170744|NM_170744	hgnc_symbol|UNC5B|UNC5B
refseq_dna|NM_000627|NM_000627	hgnc_symbol|LTBP1|LTBP1
refseq_dna|NM_058177|NM_058177	hgnc_symbol|HDAC9|HDAC9
refseq_dna|NM_058176|NM_058176	hgnc_symbol|HDAC9|HDAC9
refseq_dna|NM_007156|NM_007156	hgnc_symbol|ZXDA|ZXDA
refseq_dna|NM_025218|NM_025218	hgnc_symbol|ULBP1|ULBP1
refseq_dna|NM_004864|NM_004864	hgnc_symbol|GDF15|GDF15
refseq_dna|NM_033259|NM_033259	hgnc_symbol|CAM-KIIN|CAM-KIIN
refseq_dna|NM_017563|NM_017563	hgnc_symbol|IL17RD|IL17RD
refseq_dna|NM_153809|NM_153809	hgnc_symbol|TAF1L|TAF1L
entrezgene|AK130734|79875	hgnc_symbol|ENST00000261862|ENST00000261862
refseq_dna|NM_024817|NM_024817	hgnc_symbol|FLJ13710|FLJ13710
refseq_dna|NM_152545|NM_152545	hgnc_symbol|RASGEF1B|RASGEF1B
