Probe Set	Gene	Gene Symbol	Chromosome
219201_s_at	twisted gastrulation homolog 1 (Drosophila)	TWSG1	chr18p11.3
217848_s_at	pyrophosphatase (inorganic) 1	PPA1	chr10q11.1-q24
204429_s_at	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	SLC2A5	chr1p36.2
203710_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1	chr3p26-p25
216944_s_at	inositol 1,4,5-triphosphate receptor, type 1	ITPR1	chr3p26-p25
225337_at	abhydrolase domain containing 2	ABHD2	chr15q26.1
201432_at	catalase	CAT	chr11p13
211922_s_at	catalase	CAT	chr11p13
201468_s_at	NAD(P)H dehydrogenase, quinone 1	NQO1	chr16q22.1
220658_s_at	aryl hydrocarbon receptor nuclear translocator-like 2	ARNTL2	chr12p12.2-p11.2
228011_at	family with sequence similarity 92, member A1	FAM92A1	chr8q22.1
224204_x_at	aryl hydrocarbon receptor nuclear translocator-like 2	ARNTL2	chr12p12.2-p11.2
228624_at	transmembrane protein 144	TMEM144	chr4q32.1
202890_at	microtubule-associated protein 7	MAP7	chr6q23.3
210145_at	phospholipase A2, group IVA (cytosolic, calcium-dependent)	PLA2G4A	chr1q25
204030_s_at	schwannomin interacting protein 1	SCHIP1	chr3q25.32-q25.33
229309_at	adrenergic, beta-1-, receptor	ADRB1	chr10q24-q26
218445_at	H2A histone family, member Y2	H2AFY2	chr10q22
236738_at	Similar to LOC166075	LOC401097	chr3q25.33
204082_at	pre-B-cell leukemia homeobox 3	PBX3	chr9q33-q34
232088_x_at	hypothetical LOC100271722	hCG_2039027	chr22q13.31
228365_at	copine VIII	CPNE8	chr12q12
204779_s_at	homeobox B7	HOXB7	chr17q21.3
216973_s_at	homeobox B7	HOXB7	chr17q21.3
231767_at	homeobox B4	HOXB4	chr17q21-q22
205453_at	homeobox B2	HOXB2	chr17q21-q22
205600_x_at	homeobox B5	HOXB5	chr17q21.3
230743_at	hypothetical LOC404266	LOC404266	chr17q21.32
239791_at	Hypothetical LOC404266	LOC404266	chr17q21.32
228904_at	homeobox B3	HOXB3	chr17q21.3
236892_s_at			chr17q21.33
1553808_a_at	NK2 transcription factor related, locus 3 (Drosophila)	NKX2-3	chr10q24.2
205366_s_at	homeobox B6	HOXB6	chr17q21.3
205601_s_at	homeobox B5	HOXB5	chr17q21.3
232979_at			chr17q21.33
242426_at	neuregulin 4	NRG4	chr15q24.2
232424_at	PR domain containing 16	PRDM16	chr1p36.23-p33
242269_at	hypothetical LOC440556	FLJ42875	chr1p36.32
226500_at	zinc finger and BTB domain containing 47	ZBTB47	chr3p22.1
237108_x_at	hypothetical LOC440556	FLJ42875	chr1p36.32
210327_s_at	alanine-glyoxylate aminotransferase	AGXT	chr2q36-q37
204501_at	nephroblastoma overexpressed gene	NOV	chr8q24.1
214321_at	nephroblastoma overexpressed gene	NOV	chr8q24.1
218164_at	spermatogenesis associated 20	SPATA20	chr17q21.33
225097_at	homeodomain interacting protein kinase 2	HIPK2	chr7q32-q34
201618_x_at	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	GPAA1	chr8q24.3
210338_s_at	heat shock 70kDa protein 8	HSPA8	chr11q24.1
58696_at	exosome component 4	EXOSC4	chr8q24.3
219919_s_at	slingshot homolog 3 (Drosophila)	SSH3	chr11q13.2
227400_at	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	chr19p13.3
224968_at	coiled-coil domain containing 104	CCDC104	chr2p16.1
238583_at	methionine sulfoxide reductase B3	MSRB3	chr12q14.3
1554127_s_at	methionine sulfoxide reductase B3	MSRB3	chr12q14.3
225790_at	methionine sulfoxide reductase B3	MSRB3	chr12q14.3
230520_at	androgen-induced 1	AIG1	chr6q24.2
205382_s_at	complement factor D (adipsin)	CFD	chr19p13.3
204548_at	steroidogenic acute regulatory protein	STAR	chr8p11.2
222462_s_at	beta-site APP-cleaving enzyme 1	BACE1	chr11q23.2-q23.3
205204_at	neuromedin B	NMB	chr15q22-qter
1553723_at	G protein-coupled receptor 97	GPR97	chr16q21
222043_at	clusterin	CLU	chr8p21-p12
208791_at	clusterin	CLU	chr8p21-p12
208792_s_at	clusterin	CLU	chr8p21-p12
214615_at	purinergic receptor P2Y, G-protein coupled, 10	P2RY10	chrXq21.1
236280_at			chrXq21.1
224964_s_at	guanine nucleotide binding protein (G protein), gamma 2	GNG2	chr14q21
202759_s_at	A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 readthrough transcript	AKAP2///PALM2-AKAP2	chr9q31-q33
226694_at	A kinase (PRKA) anchor protein 2 /// PALM2-AKAP2 readthrough transcript	AKAP2///PALM2-AKAP2	chr9q31-q33
219955_at	LINE-1 type transposase domain containing 1	L1TD1	chr1p31.3
238292_at			chr6q27
242078_at			chr2q11.2
206682_at	C-type lectin domain family 10, member A	CLEC10A	chr17p13.1
227006_at	protein phosphatase 1, regulatory (inhibitor) subunit 14A	PPP1R14A	chr19q13.1
207675_x_at	artemin	ARTN	chr1p33-p32
208216_at	distal-less homeobox 4	DLX4	chr17q21.33
235434_at			chr22q13.2
241975_at	Hypothetical gene supported by BX647608	LOC399959	chr11q24.1
201069_at	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	MMP2	chr16q13-q21
224839_s_at	glutamic pyruvate transaminase (alanine aminotransferase) 2	GPT2	chr16q12.1
200986_at	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	SERPING1	chr11q12-q13.1
201564_s_at	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	FSCN1	chr7p22
202718_at	insulin-like growth factor binding protein 2, 36kDa	IGFBP2	chr2q33-q34
207895_at	N-acetylated alpha-linked acidic dipeptidase-like 1	NAALADL1	chr11q12
222693_at	fibronectin type III domain containing 3B	FNDC3B	chr3q26.31
225032_at	fibronectin type III domain containing 3B	FNDC3B	chr3q26.31
230486_at	Poly(rC) binding protein 3	PCBP3	chr21q22.3
242393_x_at	ArfGAP	AGAP10///AGAP4///AGAP9///BMS1P5	chr10q11.22
243937_x_at	ArfGAP	AGAP10///AGAP4///AGAP9///BMS1P5	chr10q11.22
238553_at	ArfGAP	AGAP10///AGAP4///AGAP9///BMS1P5	chr10q11.22
239151_at	hypothetical LOC399753	RP11-144G6.7	chr10q11.22
205110_s_at	fibroblast growth factor 13	FGF13	chrXq26.3
234269_at			chrXq27.1
227410_at	family with sequence similarity 43, member A	FAM43A	chr3q29
213125_at	olfactomedin-like 2B	OLFML2B	chr1q23.3
207031_at	NK3 homeobox 2	NKX3-2	chr4p16.1
205614_x_at	macrophage stimulating 1 (hepatocyte growth factor-like)	MST1	chr3p21
216320_x_at	macrophage stimulating 1 (hepatocyte growth factor-like)	MST1	chr3p21
205944_s_at	clathrin, heavy chain-like 1	CLTCL1	chr22q11.2|22q11.21
221636_s_at	MOCO sulphurase C-terminal domain containing 2	MOSC2	chr1q41
204537_s_at	gamma-aminobutyric acid (GABA) A receptor, epsilon	GABRE	chrXq28
228285_at	tudor domain containing 9	TDRD9	chr14q32.33
236787_at			chr2p11.2
203074_at	annexin A8 /// annexin A8-like 1 /// annexin A8-like 2	ANXA8///ANXA8L1///ANXA8L2	chr10q11.22
214228_x_at	tumor necrosis factor receptor superfamily, member 4	TNFRSF4	chr1p36
227185_at	hypothetical LOC643988	LOC643988	chr1p36.33
225203_at	protein phosphatase 1, regulatory (inhibitor) subunit 16A	PPP1R16A	chr8q24.3
233072_at	netrin G2	NTNG2	chr9q34
214203_s_at	proline dehydrogenase (oxidase) 1	PRODH	chr22q11.21
228550_at	reticulon 4 receptor	RTN4R	chr22q11.21
206634_at	SIX homeobox 3	SIX3	chr2p16-p21
209815_at	patched homolog 1 (Drosophila)	PTCH1	chr9q22.3
227145_at	lysyl oxidase-like 4	LOXL4	chr10q24
235468_at	hexaribonucleotide binding protein 3	hCG_1776007	chr17q25.3
223828_s_at	lectin, galactoside-binding, soluble, 12	LGALS12	chr11q13
224794_s_at	cerebral endothelial cell adhesion molecule	CERCAM	chr9q34.11
210755_at	hepatocyte growth factor (hepapoietin A; scatter factor)	HGF	chr7q21.1
210997_at	hepatocyte growth factor (hepapoietin A; scatter factor)	HGF	chr7q21.1
210998_s_at	hepatocyte growth factor (hepapoietin A; scatter factor)	HGF	chr7q21.1
230244_at	chromosome 2 open reading frame 82	C2orf82	chr2q37.1
229459_at	family with sequence similarity 19 (chemokine (C-C motif)-like), member A5	FAM19A5	chr22q13.32
229655_at	family with sequence similarity 19 (chemokine (C-C motif)-like), member A5	FAM19A5	chr22q13.32
204150_at	stabilin 1	STAB1	chr3p21.1
38487_at	stabilin 1	STAB1	chr3p21.1
204163_at	elastin microfibril interfacer 1	EMILIN1	chr2p23.3-p23.2
212285_s_at	agrin	AGRN	chr1p36.33
217419_x_at	agrin	AGRN	chr1p36.33
