unigene	gene name	expression	ratio (4)
Hs.65029	growth arrest-specific 1	G2/M (1)	18.3313425
Hs.156784	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	-2	3.0120504
Hs.153704	NIMA (never in mitosis gene a)-related kinase 2	G2/M	3.0078311
Hs.13291	cyclin G2	G2/M	2.6236922
Hs.351316	transmembrane 4 superfamily member 1	G2/M	2.575662
Hs.43697	ets variant gene 5 (ets-related molecule)	G2/M	2.3581142
Hs.102267	lysyl oxidase	-	2.2105231
Hs.194698	cyclin B2	G2/M	2.1847119
Hs.11360	disrupted in renal carcinoma 2	-	2.1690887
Hs.444678	ESTs	n.d. (3)	2.1677759
Hs.29397	zinc finger protein, subfamily 1A, 5 (Pegasus)	-	2.1406538
Hs.61753	ESTs	-	2.0456354
Hs.245540	ADP-ribosylation factor 4-like	G2/M	2.0336939
Hs.283749	ribonuclease, RNase A family, 4	-	2.0251673
Hs.77204	centromere protein F (350/400kD, mitosin)	G2/M	2.0173491
Hs.120170	hypothetical protein FLJ21415	-	1.9952337
Hs.437046	tubby like protein 3	-	1.9720992
Hs.124027	selenophosphate synthetase	G2/M	1.9520177
Hs.48554	RAP2A, member of RAS oncogene family	n.d.	1.9402423
Hs.20237	BTB and kelch domain containing 1	G2/M	1.9367028
Hs.81170	pim-1 oncogene	-	1.8960974
Hs.3104	kinesin family member 14	G2/M	1.8846898
Hs.2178	histone 2, H2be	G2/M	1.8836123
Hs.2258	matrix metalloproteinase 10 (stromelysin 2)	-	1.8796117
Hs.290356	mesoderm development candidate 1	-	1.8744402
Hs.18586	CDC42 binding protein kinase alpha (DMPK-like)	-	1.8683067
Hs.279905	nucleolar protein ANKT	G2/M	1.8110258
Hs.79351	potassium channel, subfamily K, member 1 (TWIK-1)	-	1.7925892
Hs.161999	TGFB-induced factor (TALE family homeobox)	G2/M	1.7919476
Hs.326725	hypothetical protein FLJ22624	G2/M	1.7801478
Hs.329989	polo (Drosophia)-like kinase	G2/M	1.7682166
Hs.274404	plasminogen activator, tissue	G2/M	1.7679276
Hs.4900	hypothetical protein LOC57019	-	1.7495435
Hs.48576	excision repair cross-complementing rodent repair deficiency, complementation group 5	-	1.7054576
Hs.519945	histone 1, H2bj	n.d.	1.677882
Hs.179260	chromosome 14 open reading frame 4	n.d.	1.6758096
Hs.488173	hypothetical protein MGC7036	n.d.	1.6732144
Hs.7956	ESTs	n.d.	1.6508419
Hs.603378	sin3-associated polypeptide, 30kD	G2/M	1.6459831
Hs.77274	plasminogen activator, urokinase	-	1.6422653
Hs.19002	chromosome 20 open reading frame 55	G2/M	1.632033
Hs.247817	histone 1, H2bk	n.d.	1.6273342
Hs.93002	ubiquitin-conjugating enzyme E2C	G2/M	1.6022642
Hs.217409	ESTs	-	1.6016584
Hs.597	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	G2/M	1.6004806
Hs.303669	hypothetical protein MGC26694	n.d.	1.5872308
Hs.220749	Ral-A exchange factor RalGPS2	n.d.	1.5853248
Hs.72550	hyaluronan-mediated motility receptor (RHAMM)	G2/M	1.5807485
Hs.172792	KIAA1946 protein	-	1.5783508
Hs.140443	ESTs	n.d.	1.5648706
Hs.6682	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	-	1.5613633
Hs.445083	golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	n.d.	1.5567361
Hs.178137	transducer of ERBB2, 1	-	1.5539212
Hs.155160	Splicing factor, arginine/serine-rich, 46kD	-	1.5429574
Hs.69171	protein kinase C-like 2	-	1.533705
