Curated Gene Symbol	Probe set	Name	Symbol	Unigene Cluster	Chromosomal location	Mean (BSL)	P-Value	qFDR	Fold change PC/BSL	Fold change BM/BSL
S100A9	203535_at	S100 calcium binding protein A9	S100A9	Hs.112405	1q21	13.5	0.0007	0.0085	0.45	0.04
PI3	203691_at	peptidase inhibitor 3, skin-derived	PI3	Hs.112341	20q13.12	10.7	0.0001	0.0072	0.41	0.05
PI3	41469_at	peptidase inhibitor 3, skin-derived	PI3	Hs.112341	20q13.12	10.5	0.0002	0.0072	0.43	0.05
DEFB4A	207356_at	defensin, beta 4A	DEFB4A	Hs.105924	8p23.1	10.2	0.0003	0.0074	0.39	0.08
SERPINB3	209720_s_at	serpin peptidase inhibitor, clade B (ovalbumin), member 3	SERPINB3	Hs.227948	18q21.3	12	0.0003	0.0074	0.39	0.08
SPRR3	232082_x_at	small proline-rich protein 3	SPRR3	Hs.139322	1q21-q22	11	0.0004	0.0076	0.58	0.09
KRT16	209800_at	keratin 16	KRT16	Hs.655160	17q21.2	13.1	0.0002	0.0072	0.47	0.09
S100A8	202917_s_at	S100 calcium binding protein A8	S100A8	Hs.416073	1q21	14.5	0.0026	0.0112	0.58	0.1
SPRR2B	208539_x_at	small proline-rich protein 2B	SPRR2B	Hs.568239	1q21-q22	11.6	0.0018	0.0101	0.68	0.12
KRT6A	214580_x_at	keratin 6A	KRT6A	Hs.700779	12q12-q13	13.3	0.0003	0.0075	0.53	0.15
COL6A5	1553835_a_at	collagen, type VI, alpha 5	COL6A5	Hs.205403	3q22.1	9.5	0.0007	0.0083	0.65	0.16
TCHH	213780_at	trichohyalin	TCHH	Hs.432416	1q21.3	7.1	0.0084	0.0171	3.41	5.78
KRT25	237905_at	keratin 25	KRT25	Hs.55412	17q21.2	7.1	0.0083	0.017	2.81	5.72
KRT6A	209125_at	keratin 6A	KRT6A	Hs.700779	12q12-q13	13.4	0.0003	0.0073	0.58	0.18
THRSP	229476_s_at	thyroid hormone responsive	THRSP	Hs.591969	11q13.5	6	0.0027	0.0113	1.57	5.36
S100A7	205916_at	S100 calcium binding protein A7	S100A7	Hs.112408	1q21	14.2	0.0061	0.015	0.75	0.19
PM20D1	239929_at	peptidase M20 domain containing 1	PM20D1	Hs.177744	1q32.1	5.4	0.0017	0.0101	1.07	5.05
IL37	224555_x_at	interleukin 1 family, member 7 (zeta)	IL1F7	Hs.166371	2q12-q14.1	6.3	0.0006	0.0081	2.18	4.96
FABP7	205030_at	fatty acid binding protein 7, brain	FABP7	Hs.26770	6q22-q23	6.3	0.0005	0.0077	1.93	4.9
SPRR1A	214549_x_at	small proline-rich protein 1A	SPRR1A	Hs.46320	1q21-q22	12.4	0.0004	0.0075	0.65	0.21
