Probe Set ID	Gene Symbol	Gene Title	Chromosome	q-value(%)	Fold Change
1449841_at	Kif3a	kinesin family member 3A	chr11	0.184139071	1.52
1417562_at	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	chr8	0.229588208	1.32
1455166_at	Arl5b	ADP-ribosylation factor-like 5B	chr2	0.213957946	1.43
1419503_at	Stc2	stanniocalcin 2	chr11	0.238563608	1.71
1416130_at	Prnp	prion protein	chr2	0.216485656	1.25
1451469_at	Cntln	centlein, centrosomal protein	chr4	0.132560549	1.46
1435394_s_at	Rhoc	ras homolog gene family, member C	chr3	0.283643143	1.67
1444426_at	Cass4	Cas scaffolding protein family member 4	chr2	0.182196296	1.66
1436617_at	Cetn4	centrin 4	chr1///3	0.270760826	1.46
1425569_a_at	Slamf1	signaling lymphocytic activation molecule family member 1	chr1	0.264645388	1.7
1455450_at	Ptpn3	protein tyrosine phosphatase, non-receptor type 3	chr4	0.242466278	1.62
1429784_at	Mapk1ip1l	Mitogen-activated protein kinase 1 interacting protein 1-like, mRNA (cDNA clone IMAGE:6850209)	chr14	0.306362533	1.69
1418318_at	Rnf128	ring finger protein 128	chrX	0.333346636	2.08
1447926_at	Arl5a	ADP-ribosylation factor-like 5A	chr2	0.229603632	1.19
1423326_at	Entpd1	ectonucleoside triphosphate diphosphohydrolase 1	chr19	0.175853614	1.44
1459269_at	Sdr39u1	short chain dehydrogenase/reductase family 39U, member 1	chr4	0.522604365	1.93
1427819_at	---	---	chr1	0.340330568	2.26
1447337_at	---	---	chr3	0.30323119	1.5
1420678_a_at	Il17rb	interleukin 17 receptor B	chr14	0.412882855	2.02
1449036_at	Rnf128	ring finger protein 128	chrX	0.350021533	2.31
1438274_at	Ikzf4	IKAROS family zinc finger 4	chr10	0.412460718	1.86
1423321_at	Myadm	myeloid-associated differentiation marker	chr7	0.328647314	2.21
1431050_at	Rps6ka5	ribosomal protein S6 kinase, polypeptide 5	chr12	0.295751041	1.89
1456174_x_at	Ndrg1	N-myc downstream regulated gene 1	chr15	0.303095829	2.13
1423543_at	Swap70	SWA-70 protein	chr7	0.375123689	3.14
1434976_x_at	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1	chr8	0.372739125	3.02
1425155_x_at	Csf1	colony stimulating factor 1 (macrophage)	chr3	0.374500812	2.72
1455729_at	Gnaq	guanine nucleotide binding protein, alpha q polypeptide	chr19	0.345089231	2.21
1431873_a_at	Tube1	epsilon-tubulin 1	chr10	0.301539561	2.77
1429559_at	Gnaq	guanine nucleotide binding protein, alpha q polypeptide	chr19	0.513663318	2.45
1419744_at	H2-DMb2	histocompatibility 2, class II, locus Mb2	chr17	0.23103817	1.22
1422550_a_at	Mtap6	microtubule-associated protein 6	chr7	0.240769079	1.9
1437382_at	Acvr2a	activin receptor IIA	chr2	0.189990414	2.14
1444668_at	Astx	amplified spermatogenic transcripts X encoded	chrY	0.315429076	1.86
1449580_s_at	H2-DMb1 /// H2-DMb2	histocompatibility 2, class II, locus Mb1 /// histocompatibility 2, class II, locus Mb2	chr17	0.247152527	1.83
1425492_at	Bmpr1a	bone morphogenetic protein receptor, type 1A	chr14	0.163402118	1.74
1440343_at	Rps6ka5	ribosomal protein S6 kinase, polypeptide 5	chr12	0.129853283	1.42
1421679_a_at	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	chr17	0.163929011	2.33
1452840_at	1500009L16Rik	RIKEN cDNA 1500009L16 gene	chr10	0.227768557	3.81
1439389_s_at	Myadm	myeloid-associated differentiation marker	chr7	0.435013345	2.85
1421688_a_at	Ccl1	chemokine (C-C motif) ligand 1	chr11	0.452109963	4.35
1437085_at	D630039A03Rik	RIKEN cDNA D630039A03 gene	chr4	0.555980132	5.26
1448213_at	Anxa1	annexin A1	chr19	0.901813051	3.36
1421855_at	Fgl2	fibrinogen-like protein 2	chr5	0.842524508	5.32
1452367_at	Coro2a	coronin, actin binding protein 2A	chr4	0.591338126	3.07
1421854_at	Fgl2	fibrinogen-like protein 2	chr5	0.648408309	4.29
1457342_at	Ikzf4	IKAROS family zinc finger 4	chr10	0.429362772	3.68
1422291_at	Ccr8	chemokine (C-C motif) receptor 8	chr9	0.597958754	3.14
1424254_at	Ifitm1	interferon induced transmembrane protein 1	chr7///8	0.785582583	15.89
1425471_x_at	---	---	---	0.563894499	10.53
1425470_at	---	---	---	0.668589618	11.03
1420692_at	Il2ra	interleukin 2 receptor, alpha chain	chr2	0.339808849	17.57
1449109_at	Socs2	suppressor of cytokine signaling 2	chr10	0.352928097	19.81
1435020_at	---	---	chr12	0.199208728	1.54
1421922_at	Sh3bp5	SH3-domain binding protein 5 (BTK-associated)	chr14	0.248899812	1.54
1432329_a_at	Matk	megakaryocyte-associated tyrosine kinase	chr10	0.222885304	1.59
1417227_at	Mccc1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	chr3	0.171295754	1.59
1459894_at	Iqgap2	IQ motif containing GTPase activating protein 2	chr13	0.287415457	1.76
1424638_at	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	chr17	0.204904353	2.08
1418114_at	Rbpj	recombination signal binding protein for immunoglobulin kappa J region	chr5///6	0.287669771	1.23
1455606_at	N4bp1	NEDD4 binding protein 1	chr8	0.274696203	1.76
1450435_at	L1cam	L1 cell adhesion molecule	chrX	0.306934195	2.4
1454773_at	Rxra	retinoid X receptor alpha	chr2	0.342692978	2.43
1421187_at	Ccr2	chemokine (C-C motif) receptor 2	chr9	0.323510216	1.86
1417978_at	Eif4e3	eukaryotic translation initiation factor 4E member 3	chr6	0.311952439	2.17
1457359_at	Inpp4b	inositol polyphosphate-4-phosphatase, type II	chr8	0.282607599	1.85
1434307_at	Tmem64	transmembrane protein 64	chr4	0.289321062	1.57
1418462_at	Exosc9	exosome component 9	chr3	0.155473579	2.12
1449043_at	Naga	N-acetyl galactosaminidase, alpha	chr15	0.116885408	1.44
1433725_at	Acvr1b	activin A receptor, type 1B	chr15	0.13865793	1.38
1448613_at	Ecm1	extracellular matrix protein 1	chr3	0.392609611	2.8
1422631_at	Ahr	aryl-hydrocarbon receptor	chr12	0.314850906	2.88
1452716_at	5730469M10Rik	RIKEN cDNA 5730469M10 gene	chr14	0.227796974	3.69
1460220_a_at	Csf1	colony stimulating factor 1 (macrophage)	chr3	0.462129456	1.68
1448233_at	Prnp	prion protein	chr2	0.263428559	2.01
1440222_at	---	---	chr16	0.206636949	1.61
1437390_x_at	Stx1a	syntaxin 1A (brain)	chr5	0.258784104	1.85
1441177_at	---	---	chr15	0.214351798	1.65
1443878_at	Rapgef6	Rap guanine nucleotide exchange factor (GEF) 6	chr11	0.239757587	1.75
1443027_at	---	---	chr1	0.284448746	2.31
1449232_at	Gata1	GATA binding protein 1	chrX	0.284782956	1.55
1420760_s_at	Ndrg1	N-myc downstream regulated gene 1	chr15	0.210158883	1.82
1434225_at	Swap70	SWA-70 protein	chr7	0.252321191	1.65
1448914_a_at	Csf1	colony stimulating factor 1 (macrophage)	chr3	0.311974548	2.04
1451335_at	Plac8	placenta-specific 8	chr5	0.533375417	8
1425145_at	Il1rl1	interleukin 1 receptor-like 1	chr1	0.457202554	13.86
1416871_at	Adam8	a disintegrin and metallopeptidase domain 8	chr7	0.273524678	7.81
1449216_at	Itgae	integrin alpha E, epithelial-associated	chr11	0.900683311	11.17
1447541_s_at	Itgae	integrin alpha E, epithelial-associated	chr11	0.844450594	17.92
1433942_at	Myo6	myosin VI	chr9	1.092402187	7.15
1441479_at	---	---	chr8///X	0.208010268	1.38
1457539_at	D10Ertd709e	DNA segment, Chr 10, ERATO Doi 709, expressed	chr10	0.198405704	1.31
1450939_at	Entpd1	ectonucleoside triphosphate diphosphohydrolase 1	chr19	0.149183808	1.29
1442658_at	Ndufb2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2	chr6	0.182134014	1.46
1448169_at	Krt18	keratin 18	chr15	0.224540983	1.86
1450495_a_at	Klrk1	killer cell lectin-like receptor subfamily K, member 1	chr6	0.301690722	3.73
1440865_at	Ifitm6	interferon induced transmembrane protein 6	chr7	0.265599881	1.49
1425571_at	Slamf1	signaling lymphocytic activation molecule family member 1	chr1	0.167802204	1.81
1444195_at	---	---	chr6	0.203186847	1.43
1427514_at	LOC624295	hypothetical protein LOC624295	---	0.247854757	2.17
1460474_at	2610028L16Rik	RIKEN cDNA 2610028L16 gene	chr12	0.213843481	1.54
1440320_at	---	---	chr6	0.245384845	1.72
1417787_at	Dkkl1	dickkopf-like 1	chr7	0.219537926	2.91
1438353_at	---	---	chr9	0.246654547	1.41
1421654_a_at	Lmna	lamin A	chr3	0.311152484	1.86
1434909_at	Rragd	Ras-related GTP binding D	chr4	0.368173945	1.77
1422189_x_at	Tcrg-V4	Non-functional transcript for T-cell receptor gamma from alloreactive cytotoxic T-cell clone (3F9 gamma 6) V-J13.4-C13.4 rearrangement	chr13	0.316831743	2.02
1430418_at	Tmem57	transmembrane protein 57	chr4	0.327865541	1.81
1450521_a_at	Tcrg-V4	Non-functional transcript for T-cell receptor gamma from alloreactive cytotoxic T-cell clone (3F9 gamma 6) V-J13.4-C13.4 rearrangement	chr13	0.320280734	1.87
1418050_at	Gpld1	glycosylphosphatidylinositol specific phospholipase D1	chr13	0.256095971	2.47
1421525_a_at	Naip5	NLR family, apoptosis inhibitory protein 5	chr13	0.277844639	1.57
1421746_a_at	Fbxo17	F-box protein 17	chr7	0.218960336	2.52
1453715_at	Sv2c	synaptic vesicle glycoprotein 2c	chr13	0.251634777	2.44
1421839_at	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	chr4	0.353676077	1.46
1421667_at	Nmur1	neuromedin U receptor 1	chr1	0.391887644	1.46
1457535_at	4932438A13Rik	RIKEN cDNA 4932438A13 gene	chr3	0.330529534	4.86
1431060_at	Peli1	pellino 1	chr11	0.398913397	2.04
1449740_s_at	Dsg2	desmoglein 2	chr18	0.424777871	2.34
1442160_at	Fam19a3	family with sequence similarity 19, member A3	chr3	0.357025968	3.24
1426099_at	Hrh4	histamine receptor H4	chr18	0.502417209	2.38
1450476_at	Cnr2	cannabinoid receptor 2 (macrophage)	chr4	0.251290779	1.44
1458951_at	Vrk1	vaccinia related kinase 1	chr12	0.258614359	1.72
1444003_at	Neurl3	neuralized homolog 3 homolog (Drosophila)	chr1	0.205721981	1.5
1452432_at	Tfpi	tissue factor pathway inhibitor	chr2	0.228574758	1.48
1447491_at	---	---	chr5	0.246921602	1.8
1435787_at	Ppm1l	protein phosphatase 1 (formerly 2C)-like	chr3	0.247061433	3.47
1447952_at	Auh	AU RNA binding protein/enoyl-coenzyme A hydratase	chr13	0.219158528	1.45
1458710_at	---	---	chr11	0.174193028	1.53
1426812_a_at	Fam129b	family with sequence similarity 129, member B	chr2	0.196770534	2.37
1443877_a_at	Rapgef6	Rap guanine nucleotide exchange factor (GEF) 6	chr11	0.280995899	1.66
1418401_a_at	Dusp16	dual specificity phosphatase 16	chr6	0.371909861	2.63
1433653_at	Fam20a	family with sequence similarity 20, member A	chr11	0.289081874	1.87
1456403_at	Pag1	phosphoprotein associated with glycosphingolipid microdomains 1	chr3	0.378363337	1.48
1428938_at	Gnaq	guanine nucleotide binding protein, alpha q polypeptide	chr19	0.330101175	1.94
1446539_at	Cab39l	Calcium binding protein 39-like, mRNA (cDNA clone MGC:27972 IMAGE:3595339)	chr8	0.242257505	2.35
1434028_at	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	chr7	0.478957086	2.54
1427313_at	Ptgir	prostaglandin I receptor (IP)	chr7	0.464550653	3.04
1426246_at	Pros1	protein S (alpha)	chr16	0.382494495	2.89
1417640_at	Cd79b	CD79B antigen	chr11	0.210661364	2.14
1422603_at	Rnase4	ribonuclease, RNase A family 4	chr14	0.389908455	1.96
1457094_at	She	src homology 2 domain-containing transforming protein E	chr3	0.42243751	2.97
1435559_at	Myo6	myosin VI	chr9	0.538269097	3.74
1420407_at	Ltb4r1	leukotriene B4 receptor 1	chr14	0.181045404	8.46
1437869_at	3222402P14Rik	RIKEN cDNA 3222402P14 gene	chr9	0.359088547	1.63
1447774_x_at	5730469M10Rik	RIKEN cDNA 5730469M10 gene	chr14	0.395657575	3.08
1434881_s_at	Kctd12	potassium channel tetramerisation domain containing 12	chr14	0.35277689	2.88
1421134_at	Areg	amphiregulin	chr5	0.483211709	4.04
1420802_at	Il13	interleukin 13	chr11	0.514518881	22.66
1420691_at	Il2ra	interleukin 2 receptor, alpha chain	chr2	0.522395878	4.92
1427429_at	Csf2	colony stimulating factor 2 (granulocyte-macrophage)	chr11	0.556914488	13.23
1422188_s_at	Tcrg-V2 /// Tcrg-V3	T-cell receptor gamma, variable 2 /// T-cell receptor gamma, variable 3	chr13	0.395843916	4.57
1434046_at	AA467197	expressed sequence AA467197	chr2	0.611746327	12.64
1449282_at	Cysltr1	cysteinyl leukotriene receptor 1	chrX	0.578135314	32.27
1418944_at	Cysltr1	cysteinyl leukotriene receptor 1	chrX	0.581012867	10.63
1419609_at	Ccr1	chemokine (C-C motif) receptor 1	chr9	0.333046016	7.95
1418507_s_at	Socs2	suppressor of cytokine signaling 2	chr10	0.172843458	9.34
1423947_at	1110008P14Rik	RIKEN cDNA 1110008P14 gene	chr2	0.157974704	-1.47
1416349_at	Mrpl34	mitochondrial ribosomal protein L34	chr8	0.159478351	-1.31
