Gene	Accession No.	Genechip data Fold change	Genechip data P value	qRT PCR of fibroblasts Fold change	qRT PCR of fibroblasts P value	qRT PCR pf LCM murine tissue  Fold change	qRT PCR pf LCM murine tissue P value	Category
GRO2 (CXCL2)	BC053653	20.8	0.00009	28.4	0.0046	26	0.0043	Chemokine/cytokine
Interleukin 11 (IL11)	NM_000641	19.4	0.00017	2.33	0.0094	19.2	0.00423	Chemokine/cytokine
Interleukin 8 (IL8)	NM_000584	15	0.00015	10.6	0.0082	2.1	0.0033	Chemokine/cytokine
Prostaglandin-endoperoxid synthase 2 (Cox-2)	NM_000963	14.4	0.00034	18.3	0.00088			Chemokine/cytokine
Interleukin 6 (IL6)	X04430	11.7	0.00026	8.3	0.0013	8.5	0.0023	Chemokine/cytokine
Interleukin 1  (IL1B)	BC008678	11.2	0.00122	20	0.009	16.7	0.0022	Chemokine/cytokine
Interleukin 1 receptor antagonist (IL1RN)	NM_173843	10.4	0.00226	14.9	0.0021			Chemokine/cytokine
GRO1 (CXCL1)	BC011976	6.9	0.00059	8.9	0.0081	5.8	0.0029	Chemokine/cytokine
Bradykinin receptor B2	NM_000623	6.3	0.00031					Chemokine/cytokine
Interleukin 13 receptor,  2 (IL13Ra3)	U70981	6.3	0.00052					Chemokine/cytokine
Interleukin receptor, type 1	M27492	4.4	0.00118					Chemokine/cytokine
Cytokine receptor-like factor 1	AF073515	3.7	0.00117					Chemokine/cytokine
GRO 3 (CXCL3)	BC016308	2.1	0.00620					Chemokine/cytokine
CXCL5	NM_002994	1.6	0.01032					Chemokine/cytokine
Tissue factor pathway inhibitor 2	AK129833	13.9	0.00005	17.2	0.0012			Protease/protease inhibitor
Matrix metalloproteinase 1 (MMP1)	BC013875	8.3	0.00044	21.3	0.0012			Protease/protease inhibitor
Urokinase plasminogen activator (PLAU)	BC013575	6.9	0.00024					Protease/protease inhibitor
Tissue plasminogen activator (PLAT)	NM_000930	6.4	0.00051					Protease/protease inhibitor
Matrix metalloproteinase 10 (stromelysin 2/MMP10)	BC002591	6	0.02706					Protease/protease inhibitor
Protease, serine 1 (trypsin 1)	BC030260	3.8	0.00586					Protease/protease inhibitor
Protase, serine, 4	AY052783	3.1	0.00293					Protease/protease inhibitor
Matrix metalloproteinase 3 (stromelysin 1/MMP3)	NM_002422	3.1	0.00083	2.2	0.0082			Protease/protease inhibitor
Protease, serine 11	BC031082	2.1	0.00041					Protease/protease inhibitor
ADAM 17 (TNF a convertase)	NM_003183	2.1	0.00733					Protease/protease inhibitor
Tissue inhibitor of metalloproteinase 3 (TIMP3)	NM_000362	1.8	0.00172					Protease/protease inhibitor
Tissue inhibitor of metalloproteinase 1 (TIMPI)	AK074854	1.5	0.00321					Protease/protease inhibitor
Nuclear receptor subfamily 4, group A, member 2 (NR4A2)	NM_006186	28.1	0.00152					TNF/apoptosis related
Tumor necrosis factor  -induced protein 6	NM_007115	9	0.00269	6.81	0.0014	6.1	0.0035	TNF/apoptosis related
TNF-induced protein	AK097284	2.8	0.01057					TNF/apoptosis related
Tumor necrosis factor,  -induced protein 3	BC064689	2.2	0.009B3					TNF/apoptosis related
Tumor necrosis factor  -induced protein 2	M92357	2	0.02334					TNF/apoptosis related
Amphiregulin	Bc0009799	15.8	0.00001					Other genes of interest
Epiregulin	D30783	9.6	0.00016					Other genes of interest
Integrin  2 (ITGA2)	X17033M28249	9.2	0.00164	6.02	0.0015			Other genes of interest
Superoxide dismutase 2	X07834	7.1	0.00084					Other genes of interest
Monocyte to macrophage diVerentiation-associated 2	AY424289	6.3	0.00102					Other genes of interest
Endothelin receptor type A	X61950	5.3	0.00576					Other genes of interest
Vascular endothelial cirowth factor	AF022375	2.3	0.01771					Other genes of interest
Vascular endothelial qrowth factor C	BC063685	2.3	0.02803					Other genes of interest
Integrin,  5 (ITGB5)	AK054968	1.7	0.00258					Other genes of interest
Integrin,  1 (ITGA1)	NM_181501	1.7	0.00755					Other genes of interest
