Gene_Symbol	Gene_Name	ProbeID	Fold-change	p value
ACAD8	acyl-Coenzyme A dehydrogenase family, member 8	198709	0.737227469	0.011069259
ANKHD1	ankyrin repeat and KH domain containing 1	224628	0.657745923	0.0063635
ANKRD32	ankyrin repeat domain 32	127291	0.633327711	0.019840383
ANXA4	annexin A4	208190	0.637113353	0.006906814
ARMET	arginine-rich, mutated in early stage tumors	144765	1.815550611	0.028629628
ATAD2	ATPase family, AAA domain containing 2	114584	0.745088367	0.006900006
BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	109165	0.550772855	0.000205122
C15orf24	chromosome 15 open reading frame 24	184005	1.474724636	0.02695525
C7orf25	chromosome 7 open reading frame 25	209706	1.661162155	0.027619609
C9orf95	chromosome 9 open reading frame 95	146066	0.494334627	0.028247529
CAMTA1	calmodulin binding transcription activator 1	164871	1.425582518	0.044962154
CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1	137281	0.580793316	0.022555042
CASP3	caspase 3, apoptosis-related cysteine peptidase	209157	0.437384736	0.023950602
CAST	calpastatin	222724	1.788213952	0.001615878
CCNG1	cyclin G1	156018	0.584131004	0.003685417
CENPE	centromere protein E, 312kDa	165425	1.436363126	0.01774145
CHAF1B	chromatin assembly factor 1, subunit B (p60)	174351	0.586297859	0.017252541
COG4	component of oligomeric golgi complex 4	151150	0.394484052	0.041939461
COL2A1	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	156790	0.150177603	0.024646578
COPB2	coatomer protein complex, subunit beta 2 (beta prime)	205685	0.779464075	0.038177444
CORO1C	coronin, actin binding protein, 1C	107201	1.402050547	0.026738103
CSPG6	chondroitin sulfate proteoglycan 6 (bamacan)	160893	0.688481796	0.048241706
CXADR	coxsackie virus and adenovirus receptor	108284	0.620030243	0.025315782
CXXC5	CXXC finger 5	196405	1.234756778	0.045408778
CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6	201807	9.082877507	0.001486366
DAD1	defender against cell death 1	184164	1.389740758	0.035355503
DDIT3	DNA-damage-inducible transcript 3	163509	2.065571557	0.004740305
