# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_002345|NM_002345	hgnc_symbol|LUM|LUM
embl|X56210|X56210	hgnc_symbol|CFH /// CFHL1|CFH /// CFHL1
entrezgene|AK000680|55824	hgnc_symbol|PAG1|PAG1
refseq_dna|NM_000165|NM_000165	hgnc_symbol|GJA1|GJA1
entrezgene|X04697|3075	hgnc_symbol|CFH|CFH
entrezgene|AU144167|1281	hgnc_symbol|COL3A1|COL3A1
refseq_dna|NM_001552|NM_001552	hgnc_symbol|IGFBP4|IGFBP4
entrezgene|BE048919|22925	hgnc_symbol|PLA2R1|PLA2R1
entrezgene|AB003476|9590	hgnc_symbol|AKAP12|AKAP12
entrezgene|AL514445|5999	hgnc_symbol|RGS4|RGS4
refseq_dna|NM_003118|NM_003118	hgnc_symbol|SPARC|SPARC
embl|BF344237|BF344237
refseq_dna|NM_000089|NM_000089	hgnc_symbol|COL1A2|COL1A2
refseq_dna|NM_001387|NM_001387	hgnc_symbol|DPYSL3|DPYSL3
refseq_dna|NM_002430|NM_002430	hgnc_symbol|MN1|MN1
entrezgene|BG326592|164284	hgnc_symbol|FLJ90166|FLJ90166
entrezgene|BE500977|23213	hgnc_symbol|SULF1|SULF1
embl|BE221212|BE221212	hgnc_symbol|COL1A1|COL1A1
entrezgene|BF590263|1462	hgnc_symbol|CSPG2|CSPG2
refseq_dna|NM_000612|NM_000612	hgnc_symbol|IGF2|IGF2
entrezgene|AY140646|10631	hgnc_symbol|POSTN|POSTN
entrezgene|AI569872|11098	hgnc_symbol|PRSS23|PRSS23
embl|AI822137|AI822137
entrezgene|AA554833|4131	hgnc_symbol|MAP1B|MAP1B
entrezgene|T15545|2043	hgnc_symbol|EPHA4|EPHA4
entrezgene|AI281593|1634	hgnc_symbol|DCN|DCN
entrezgene|AB032963|57198	hgnc_symbol|ATP8B2|ATP8B2
entrezgene|AI765819|4958	hgnc_symbol|OMD|OMD
refseq_dna|NM_003856|NM_003856	hgnc_symbol|IL1RL1|IL1RL1
refseq_dna|NM_021226|NM_021226	hgnc_symbol|ARHGAP22|ARHGAP22
entrezgene|M25915|1191	hgnc_symbol|CLU|CLU
entrezgene|AW027333|253827	hgnc_symbol|MSRB3|MSRB3
entrezgene|AF240697|10170	hgnc_symbol|DHRS9|DHRS9
refseq_dna|NM_030775|NM_030775	hgnc_symbol|WNT5B|WNT5B
refseq_dna|NM_002852|NM_002852	hgnc_symbol|PTX3|PTX3
entrezgene|AI435828|8614	hgnc_symbol|STC2|STC2
entrezgene|J03225|7035	hgnc_symbol|TFPI|TFPI
entrezgene|BF689253|90853	hgnc_symbol|SPOCD1|SPOCD1
entrezgene|AA876372|6542	hgnc_symbol|SLC7A2|SLC7A2
entrezgene|AW193693|25927	hgnc_symbol|C2orf32|C2orf32
entrezgene|BE857553|1240
embl|BC007010|BC007010	hgnc_symbol|C1S|C1S
refseq_dna|NM_000930|NM_000930	hgnc_symbol|PLAT|PLAT
embl|BF111326|BF111326	hgnc_symbol|KCNJ2|KCNJ2
refseq_dna|NM_006207|NM_006207	hgnc_symbol|PDGFRL|PDGFRL
refseq_dna|NM_014421|NM_014421	hgnc_symbol|DKK2|DKK2
entrezgene|J03223|5552	hgnc_symbol|PRG1|PRG1
entrezgene|AI264196|2200	hgnc_symbol|FBN1|FBN1
refseq_dna|NM_000959|NM_000959	hgnc_symbol|PTGFR|PTGFR
refseq_dna|NM_005756|NM_005756	hgnc_symbol|GPR64|GPR64
entrezgene|BF440025|4856	hgnc_symbol|NOV|NOV
refseq_dna|NM_004126|NM_004126	hgnc_symbol|GNG11|GNG11
entrezgene|D17391|1286	hgnc_symbol|COL4A4|COL4A4
entrezgene|AA625683|441054	hgnc_symbol|LOC441054|LOC441054
entrezgene|L03203|5376	hgnc_symbol|PMP22|PMP22
entrezgene|M92934|1490	hgnc_symbol|CTGF|CTGF
entrezgene|AI922599|7431	hgnc_symbol|VIM|VIM
refseq_dna|NM_016109|NM_016109	hgnc_symbol|ANGPTL4|ANGPTL4
entrezgene|BG034080|274	hgnc_symbol|BIN1|BIN1
entrezgene|BI825302|140738	hgnc_symbol|TMEM37|TMEM37
refseq_dna|NM_006727|NM_006727	hgnc_symbol|CDH10|CDH10
entrezgene|U48437|333	hgnc_symbol|APLP1|APLP1
entrezgene|M34064|1000	hgnc_symbol|CDH2|CDH2
refseq_dna|NM_016644|NM_016644	hgnc_symbol|LOC51334|LOC51334
refseq_dna|NM_007115|NM_007115	hgnc_symbol|TNFAIP6|TNFAIP6
refseq_dna|NM_001709|NM_001709	hgnc_symbol|BDNF|BDNF
refseq_dna|NM_001975|NM_001975	hgnc_symbol|ENO2|ENO2
embl|T68445|T68445
entrezgene|U12170|6935	hgnc_symbol|TCF8|TCF8
entrezgene|BE644809|5099	hgnc_symbol|PCDH7|PCDH7
entrezgene|BE877796|1295	hgnc_symbol|COL8A1|COL8A1
entrezgene|AL353944|860	hgnc_symbol|RUNX2|RUNX2
entrezgene|AF052145|91752	hgnc_symbol|C2orf10|C2orf10
embl|X95425|X95425	hgnc_symbol|EPHA5|EPHA5
entrezgene|AI123532|257194	hgnc_symbol|NEGR1|NEGR1
entrezgene|AW299958|9060	hgnc_symbol|PAPSS2|PAPSS2
entrezgene|BG109855|9037
entrezgene|AL575403|23129	hgnc_symbol|PLXND1|PLXND1
entrezgene|BF940043|4811	hgnc_symbol|NID1|NID1
entrezgene|BF304759|4035	hgnc_symbol|LRP1|LRP1
refseq_dna|NM_003483|NM_003483	hgnc_symbol|HMGA2|HMGA2
entrezgene|BE964598|284129	hgnc_symbol|SLC26A11|SLC26A11
entrezgene|AI675173|100127944	hgnc_symbol|PTGER4|PTGER4
refseq_dna|NM_000240|NM_000240	hgnc_symbol|MAOA|MAOA
refseq_dna|NM_006097|NM_006097	hgnc_symbol|MYL9|MYL9
entrezgene|BC014579|1645	hgnc_symbol|AKR1C1|AKR1C1
entrezgene|AA488687|23657	hgnc_symbol|SLC7A11|SLC7A11
refseq_dna|NM_006823|NM_006823	hgnc_symbol|PKIA|PKIA
refseq_dna|NM_016608|NM_016608	hgnc_symbol|ARMCX1|ARMCX1
entrezgene|BC020552|728613	hgnc_symbol|PDCD6|PDCD6
entrezgene|AI961231|9760	hgnc_symbol|TOX|TOX
refseq_dna|NM_021111|NM_021111	hgnc_symbol|RECK|RECK
embl|AK023795|AK023795	hgnc_symbol|ADAMTS1|ADAMTS1
refseq_dna|NM_001155|NM_001155	hgnc_symbol|ANXA6|ANXA6
refseq_dna|NM_006820|NM_006820	hgnc_symbol|IFI44L|IFI44L
refseq_dna|NM_005261|NM_005261	hgnc_symbol|GEM|GEM
refseq_dna|NM_006895|NM_006895	hgnc_symbol|HNMT|HNMT
entrezgene|AI986120|4052	hgnc_symbol|LTBP1|LTBP1
entrezgene|AW665086|283208	hgnc_symbol|P4HA3|P4HA3
entrezgene|AJ276395|2335	hgnc_symbol|FN1|FN1
entrezgene|AB007830|51435	hgnc_symbol|SCARA3|SCARA3
refseq_dna|NM_052885|NM_052885	hgnc_symbol|SLC2A13|SLC2A13
entrezgene|AI991459|100131897	hgnc_symbol|DOCK2|DOCK2
