Fold-change	Probe set	Gene symbol	Description
125.764	215076_s_at	COL3A1	collagen, type III, alpha1
77.033	212464_s_at	FN1	fibronectin 1
34.892	225242_s_at	CCDC80	coiled-coil domain containing 80
31.631	212764_at	ZeB1	zinc finger e-box binding homeobox 1
31.44	201280_s_at	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
29.9	202627_s_at	seRpINe1	serpin peptidase inhibitor, clade e (nexin, plasminogen activator inhibitor type 1)
29.051	235236_at	LOC100131897	Uncharacterized protein LOC100131897
27.903	202998_s_at	LOXL2	lysyl oxidase-like 2
25.733	203700_s_at	DIO2	deiodinase, iodothyronine, type II
25.347	226218_at	IL7R	interleukin 7 receptor
23.453	218332_at	BeX1	brain expressed, X-linked 1
23.422	201426_s_at	VIM	vimentin
22.666	215446_s_at	LOX	lysyl oxidase
19.681	235004_at	RBM24	RNA binding motif protein 24
16.772	219935_at	ADAMTs5	ADAM metallopeptidase with thrombospondin type 1 motif, 5
16.169	220014_at	pRR16	proline rich 16
16.004	215767_at	ZNF804A	zinc finger protein 804A
15.927	231867_at	ODZ2	odz, odd Oz/ten-m homolog 2 (Drosophila)
15.657	222862_s_at	AK5	adenylate kinase 5
15.59	224823_at	MYLK	myosin light chain kinase
