# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_005511.1|NM_005511	hgnc_symbol|MLANA|MLANA
refseq_dna|NM_000372.3|NM_000372	hgnc_symbol|TYR|TYR
refseq_dna|NM_000115.1|NM_000115	hgnc_symbol|EDNRB|EDNRB
refseq_dna|BC107791.1|91.1	hgnc_symbol|CAPN3|CAPN3
refseq_dna|NM_000372.3|NM_000372	hgnc_symbol|TYR|TYR
refseq_dna|NM_001922.2|NM_001922	hgnc_symbol|DCT|DCT
refseq_dna|NM_000550.1|NM_000550	hgnc_symbol|TYRP1|TYRP1
refseq_dna|NM_006928.3|NM_006928	hgnc_symbol|SILV|SILV
refseq_dna|NM_022450.2|NM_022450	hgnc_symbol|RHBDF1|RHBDF1
refseq_dna|NM_000372.3|NM_000372	hgnc_symbol|TYR|TYR
refseq_dna|NM_000273.1|NM_000273	hgnc_symbol|GPR143|GPR143
refseq_dna|BC065243.1|43.1	hgnc_symbol|MITF|MITF
refseq_dna|BC013293.2|93.2	hgnc_symbol|SNCA|SNCA
refseq_dna|NM_006100.2|NM_006100	hgnc_symbol|ST3GAL6|ST3GAL6
refseq_dna|AF361946.1|46.1	hgnc_symbol|TRIM63|TRIM63
refseq_dna|NM_005672.2|NM_005672	hgnc_symbol|PSCA|PSCA
refseq_dna|NM_002618.2|NM_002618	hgnc_symbol|PEX13|PEX13
refseq_dna|BC014472.1|72.1	hgnc_symbol|EDNRB|EDNRB
refseq_dna|NM_003255.4|NM_003255	hgnc_symbol|TIMP2|TIMP2
refseq_dna|NM_003866.1|NM_003866	hgnc_symbol|INPP4B|INPP4B
refseq_dna|BC011595.1|95.1	hgnc_symbol|GPNMB|GPNMB
refseq_dna|NM_016180.3|NM_016180	hgnc_symbol|SLC45A2|SLC45A2
refseq_dna|NM_014999.1|NM_014999	hgnc_symbol|RAB21|RAB21
refseq_dna|NM_006272.1|NM_006272	hgnc_symbol|S100B|S100B
refseq_dna|BT019584.1|84.1	hgnc_symbol|PIR|PIR
refseq_dna|NM_022337.1|NM_022337	hgnc_symbol|RAB38|RAB38
refseq_dna|NM_014055.2|NM_014055	hgnc_symbol|IFT81|IFT81
refseq_dna|AY305384.1|84.1	hgnc_symbol|ASAH1|ASAH1
refseq_dna|BC016481.1|81.1	hgnc_symbol|ASAH1|ASAH1
refseq_dna|NM_003820.2|NM_003820	hgnc_symbol|TNFRSF14|TNFRSF14
refseq_dna|NM_000055.1|NM_000055	hgnc_symbol|BCHE|BCHE
refseq_dna|NM_052831.2|NM_052831	hgnc_symbol|C6orf192|C6orf192
refseq_dna|BC107791.1|91.1	hgnc_symbol|CAPN3|CAPN3
refseq_dna|NM_014392.2|NM_014392	hgnc_symbol|D4S234E|D4S234E
refseq_dna|BC013254.2|54.2	hgnc_symbol|SDCBP|SDCBP
refseq_dna|NM_000337.4|NM_000337	hgnc_symbol|SGCD|SGCD
refseq_dna|NM_000313.1|NM_000313	hgnc_symbol|PROS1|PROS1
refseq_dna|NM_030806.3|NM_030806	hgnc_symbol|C1orf21|C1orf21
refseq_dna|BC013254.2|54.2	hgnc_symbol|SDCBP|SDCBP
refseq_dna|CR457076.1|76.1	hgnc_symbol|RAB27A|RAB27A
refseq_dna|BC018821.2|21.2	hgnc_symbol|CTSH|CTSH
refseq_dna|NM_024312.3|NM_024312	hgnc_symbol|GNPTAB|GNPTAB
refseq_dna|BC025297.1|97.1	hgnc_symbol|GPNMB|GPNMB
refseq_dna|NM_138801.1|NM_138801	hgnc_symbol|GALM|GALM
refseq_dna|NM_002959.4|NM_002959	hgnc_symbol|SORT1|SORT1
refseq_dna|NM_017983.3|NM_017983	hgnc_symbol|WIPI1|WIPI1
refseq_dna|NM_003916.3|NM_003916	hgnc_symbol|AP1S2|AP1S2
refseq_dna|AK021562.1|62.1	hgnc_symbol|EBF2|EBF2
refseq_dna|BC068068.1|68.1	hgnc_symbol|LGALS3|LGALS3
refseq_dna|NM_014241.3|NM_014241	hgnc_symbol|PTPLA|PTPLA
refseq_dna|NM_007106.2|NM_007106	hgnc_symbol|UBL3|UBL3
refseq_dna|NM_000041.2|NM_000041	hgnc_symbol|APOE|APOE
refseq_dna|NM_000852.2|NM_000852	hgnc_symbol|GSTP1|GSTP1
refseq_dna|NM_001308.1|NM_001308	hgnc_symbol|CPN1|CPN1
refseq_dna|NM_000392.1|NM_000392	hgnc_symbol|ABCC2|ABCC2
refseq_dna|NM_006456.1|NM_006456	hgnc_symbol|ST6GALNAC2|ST6GALNAC2
refseq_dna|NM_018000.1|NM_018000	hgnc_symbol|MREG|MREG
refseq_dna|NM_033280.1|NM_033280	hgnc_symbol|SEC11C|SEC11C
refseq_dna|NM_152493.2|NM_152493	hgnc_symbol|ZNF362|ZNF362
refseq_dna|NM_007267.5|NM_007267	hgnc_symbol|TMC6|TMC6
refseq_dna|NM_178819.2|NM_178819	hgnc_symbol|AGPAT6|AGPAT6
refseq_dna|NM_032343.1|NM_032343	hgnc_symbol|CHCHD6|CHCHD6
refseq_dna|AF303889.2|89.2	hgnc_symbol|ROPN1|ROPN1
refseq_dna|NM_005813.3|NM_005813	hgnc_symbol|PRKD3|PRKD3
refseq_dna|NM_031461.3|NM_031461	hgnc_symbol|CRISPLD1|CRISPLD1
refseq_dna|NM_080821.1|NM_080821	hgnc_symbol|C20orf108|C20orf108
refseq_dna|BC012527.2|27.2	hgnc_symbol|HIF1A|HIF1A
refseq_dna|BC001400.2|00.2	hgnc_symbol|LOC57228|LOC57228
refseq_dna|NM_018010.2|NM_018010	hgnc_symbol|IFT57|IFT57
refseq_dna|NM_004078.1|NM_004078	hgnc_symbol|CSRP1|CSRP1
refseq_dna|NM_032263.2|NM_032263	hgnc_symbol|IQCG|IQCG
refseq_dna|NM_018948.2|NM_018948	hgnc_symbol|ERRFI1|ERRFI1
