Gene	Description	FC	p-value	CL	Factor
CALM1	Calmodulin 1	2.23	0.00121	14q24-q31	Genes associated with myosin regulation
MYH10	Myosin, heavy chain 2	1.64	0.00588	17p13.1	Genes associated with myosin regulation
MYLK	Myosin, light polypeptide kinase	2.89	0.000133	3q21	Genes associated with myosin regulation
PIK3R1	Phosphoinositide-3-kinase, subunit (p85-alpha)	1.62	0.00201	5q13.1	Genes associated with myosin regulation
MYPT1	Protein phosphatase 1, regulator subunit 12A (PPP1R12A)	1.51	0.000775	12q15-q21	Genes associated with myosin regulation
RAC2	Ras-related 2 (Rho family, Rac2)	2.34	0.001059	22q13.1	Genes associated with myosin regulation
RPS6KA3	Ribosomal protein S6 kinase, 90 kDa, polypeptide 3	1.5	0.000061	Xp22.2-p22.1	Genes associated with myosin regulation
ARHGEF7	Rho guanine nucleotide exchange factor (GEF) 7	1.71	0.000064	13q34	Genes associated with actin regulation
NCK1	NCK adaptor protein 1	1.64	0.000015	3q21	Genes associated with actin regulation
PDLIM1	PDZ and LIM domain 1 (elfin, CLP36)	1.61	0.00106	10q22-q26.3	Genes associated with actin regulation
PIK3R1	Phosphoinositide-3-kinase, regulatory subunit 1	1.61	0.002012	5q13.1	Genes associated with actin regulation
PLEC1	Plectin 1, intermediate filament binding protein	-1.82	0.00199	8q24	Genes associated with actin regulation
PTPN11	Protein tyrosine phosphatase, non-receptor type 11	-1.9	0.000005	12q24	Genes associated with actin regulation
RAC2	Ras-related 2 (Rho family, Rac2)	2.34	0.001059	22q13.1	Genes associated with actin regulation
SMAD3	SMAD, mothers against DPP homolog 3	1.9	0.000488	15q22.33	Genes associated with actin regulation
TGFBR1	Transforming growth factor, beta receptor I	-1.57	0.000038	9q22	Genes associated with actin regulation
TGFBR2	Transforming growth factor, beta receptor II	2.11	0.007253	3p22	Genes associated with actin regulation
APPBP1	Amyloid beta precursor protein binding protein 1	1.62	0.001688	16q22	Genes associated with protein trafficking
CCL5	Chemokine (C-C motif) ligand 5	-1.74	0.002283	17q11.2-q12	Genes associated with protein trafficking
CDH2	Cadherin 2, type 1, N-cadherin (neuronal)	1.55	0.003173	18q11.2	Genes associated with protein trafficking
COL4A4	Collagen, type IV, alpha 4	1.59	0.002335	2q35-q37	Genes associated with protein trafficking
CTNNB1	Catenin (cadherin-associated protein), beta 1, 88 kDa	2.14	0.005445	3p21	Genes associated with protein trafficking
CTNND1	Catenin (cadherin-associated protein), delta 1	1.68	0.000025	11q11	Genes associated with protein trafficking
GOLGA1	Golgi autoantigen, golgin subfamily a, 1	1.51	0.00002	9q33.3	Genes associated with protein trafficking
GOLGA2	Golgi autoantigen, golgin subfamily a, 2	1.77	0.000002	9q34.11	Genes associated with protein trafficking
GOLGA3	Golgi autoantigen, golgin subfamily a, 3	1.97	0.000128	12q24.33	Genes associated with protein trafficking
HAPLN1	Hyaluronan and proteoglycan link protein 1	8.04	0.001193	5q14.3	Genes associated with protein trafficking
PRSS3	Protease, serine, 3 (mesotrypsin)	2.53	0.005135	9p11.2	Genes associated with protein trafficking
RAB1A	RAB1A, member RAS oncogene family	1.51	0.000274	2p14	Genes associated with protein trafficking
RAB4A	RAB4A, member RAS oncogene family	1.52	0.00035	1q42-q43	Genes associated with protein trafficking
RAB5B	RAB5B, member RAS oncogene family	1.5	0.0081	12q13	Genes associated with protein trafficking
RAB9A	RAB9A, member RAS oncogene family	1.64	0.000256	Xp22.2	Genes associated with protein trafficking
RAB9P40	RAB9 effector protein with kelch motifs	1.84	0.000002	9q33.3	Genes associated with protein trafficking
RABGGTB	Rab geranylgeranyltransferase, beta subunit	1.76	0.000375	1p31	Genes associated with protein trafficking
TGM2	Transglutaminase 2	2.75	0.008289	20q12	Genes associated with protein trafficking
VCAN	Versican (chondroitin sulfate proteoglycan 2, CSPG2)	2.94	0.000265	5q14.3	Genes associated with protein trafficking
