Genbank accession no.	Name	Description	Ratio	Expression
NM_004792	PPIG	Peptidyl-prolyl isomerase G (cyclophilin G)	38.175	Upregulated genes
NM_002397	MEF2C	MADS box transcription enhancer factor 2, polypeptide C	14.2053	Upregulated genes
NM_003286	Top1	Topoisomerase (DNA) I	11.7323	Upregulated genes
NM_005348	HSPCA	Heat shock 90 kDa protein 1, alpha	9.8064	Upregulated genes
NM_130838	UBE3A	Ubiquitin protein ligase E3A	9.5673	Upregulated genes
NM_001068	Top2B	DNA topoisomerase II, beta isozyme	8.1402	Upregulated genes
NM_001527	HDAC2	Histone deacetylase 2	5.122	Upregulated genes
NM_001031804	MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog	5.091	Upregulated genes
NM_001067	TOP2A	DNA topoisomerase II, alpha isozyme	4.8038	Upregulated genes
NM_014795	ZFHX1B	Zinc finger homeobox 1b	4.5137	Upregulated genes
NM_002128	HMGB1	High-mobility group box 1	4.49	Upregulated genes
NM_004390	CTSH	Cathepsin H	3.6299	Upregulated genes
NM_005252	FOS	Proto-oncogene protein c-fos (cellular oncogene fos)	3.6054	Upregulated genes
NM_170675	MEIS2	Meis1,myeloid ecotropic viral integration site 1 homolog 2	3.3085	Upregulated genes
NM_003255	TIMP2	Tissue inhibitor of metalloproteinase 2	3.2495	Upregulated genes
NM_153759	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3.2207	Upregulated genes
NM_020130	C8orf4	Chromosome 8 open reading frame 4	2.7761	Upregulated genes
NM_030622	CYP2S1	Cytochrome P450, subfamily IIS, polypeptide 1	2.7536	Upregulated genes
NM_152998	EZH2	Enhancer of zeste homolog 2 (Drosophila)	2.7354	Upregulated genes
NM_005426	TP53BP2	Tumor protein p53 binding protein, 2	2.6415	Upregulated genes
NM_002228	JUN	v-jun Sarcoma virus 17 oncogene homolog (avian)	2.3519	Upregulated genes
NM_001320	CSNK2B	Casein kinase II beta chain (CK II; phosvitin; G5a)	0.4887	Downregulated genes
NM_153636	CPNE7	Copine VII	0.3874	Downregulated genes
NM_005133	RCE1	RCE1 homolog, prenyl protein protease (Saccharomyces cerevisiae)	0.353	Downregulated genes
NM_003310	TSSC1	Tumor suppressing subtransferable candidate 1	0.3769	Downregulated genes
NM_003313	TSTA3	Tissue specific transplantation antigen P35B	0.2745	Downregulated genes
NM_003883	HDAC3	Histone deacetylase 3	0.1616	Downregulated genes
