GB acc#	Unigene ID	Ratio db/db vs. db/m	Name
AA000775	Mm.7156	0.620605	glutathione peroxidase 3
AA000819	Mm.20944	2.333452	sphingosine kinase 1
AA003078	Mm.5045	0.589162	solute carrier family 16 (monocarboxylic acid transporters), member 2
AA003083	Mm.140661	0.672942	RIKEN cDNA 0610007N19 gene
AA003272	Mm.21549	1.773518	Mus musculus small stress protein-like protein HSP22 mRNA, complete cds
AA003273	Mm.27002	0.640279	ESTs, Moderately  similar to HYPOTHETICAL 60.3 KD PROTEIN R08D7.7 IN CHROMOSOME III [Caenorhabditis elegans]
AA004021	Mm.30874	0.338292	ESTs
AA004074		0.316932
AA008001	Mm.22753	1.45608	cathepsin B
AA008705	Mm.24571	0.70643	Mus musculus mRNA, complete cds, clone:2-72
AA014643	Mm.3948	1.757885	Signal transducer and activator of transcription 3
AA016940	Mm.4411	0.410883	Glucosaminyl (N-acetyl) transferase 1, core 2
AA020557	Mm.34901	0.517277	RIKEN cDNA 5430401C05 gene
AA022130	Mm.17249	1.864237	heme-binding protein
AA030193	Mm.31239	0.50158	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7
AA032909	Mm.41333	0.364431	RIKEN cDNA 1110020P09 gene
AA047966	Mm.3126	0.535258	four and a half LIM domains 1
AA048029	Mm.23743	0.729996	EST, Highly similar to transcriptional intermediary factor 1 gamma [H.sapiens]
AA048486	Mm.27643	0.397666	Mus musculus SPARC-related protein (SRG) mRNA, complete cds
AA049342	Mm.28146	0.569426	Mus musculus mRNA for diphosphomevalonate decarboxylase (MVD gene)
AA049730	Mm.22199	0.516568	isovaleryl dehydrogenase precursor
AA050058	Mm.104771	1.72069	BUB2-like protein 1
AA051561	Mm.29476	1.519091	ESTs
AA052356	Mm.23018	0.639629	RIKEN cDNA 2810423O19 gene
AA060376	Mm.20560	1.910817	tumor-associated calcium signal transducer 2
AA060559	Mm.10727	0.57909	ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta 56/58 kDa, isoform 2
AA061055	Mm.1992	0.378173	Alpha-2-macroglobulin
AA061216	Mm.29605	1.846585	ESTs, Moderately similar to similar to PID:g3877944 [H.sapiens]
AA064011	Mm.10660	0.576276	Aquaporin 1 (channel forming integral protein, 28 kDa)
AA064247	Mm.41792	2.631481	RIKEN cDNA 0610011B16 gene
AA068375	Mm.252	1.848981	NAD(P)H menadione oxidoreductase 1, dioxin inducible
AA068436	Mm.24745	1.82572	RIKEN cDNA 1110001I24 gene
AA068575	Mm.30158	0.626863	RIKEN cDNA 0710001O03 gene
AA080443	Mm.7156	0.609662	glutathione peroxidase 3
AA097314		0.60694
AA097901	Mm.20246	1.790887	RIKEN cDNA 2410004D18 gene
AA098002	Mm.142	0.35979	Lymphocyte protein tyrosine kinase
AA105830	Mm.27289	2.017317	RIKEN cDNA 1600023A02 gene
AA106952	Mm.3980	0.618215	Heparan sulfate proteoglycan 1, cell surface-associated (fibroglycan)
AA108401	Mm.6611	0.507413	solute carrier family 27 (fatty acid transporter), member 2
AA108928	Mm.321	2.933642	Secreted phosphoprotein 1
AA110896	Mm.29902	1.973355	ribosomal protein, mitochondrial, S7
AA110934	Mm.30239	0.591664	RIKEN cDNA 4933419D20 gene
AA116661	Mm.28602	0.71715	ESTs, Moderately similar to similar to Caenorhabditis elegans C42C1.9 gene sequence in GenBank Accession Number AF043695 [H.sapiens]
AA116857	Mm.290	0.104947	Kidney androgen regulated protein
AA119665	Mm.36569	0.721451	putative deubiquitinating enzyme
AA119728	Mm.34672	0.648542	ESTs
AA119797	Mm.34683	0.427848	ESTs
AA119827	Mm.22363	0.736974	ESTs, Highly  similar to ARGINYL-TRNA SYNTHETASE, MITOCHONDRIAL PRECURSOR [Saccharomyces cerevisiae]
AA122720	Mm.310	1.440519	zinc finger protein 103
AA123007	Mm.27162	0.434388	2-5 oligoadenylate synthetase-like
AA123821	Mm.3909	0.648061	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3
AA123966	Mm.23981	0.715406	Sequence 7 from Patent WO9964572
AA124362	Mm.27338	0.643502	RIKEN cDNA 1810054O13 gene
AA124476	Mm.13036	0.600602	EST AI266962
AA124744	Mm.39973	0.676625	ESTs
AA124959	Mm.28703	0.725627	ESTs, Highly similar to T46372 hypothetical protein DKFZp434P1818.1 [H.sapiens]
AA125185	Mm.35732	0.561227	RIKEN cDNA 5830411H19 gene
AA137369	Mm.22360	0.360396	RIKEN cDNA 1200016D08 gene
AA139271	Mm.7156	0.655777	glutathione peroxidase 3
