GB acc#	Unigene ID	Ratio STZ vs. CTL	Name
AA002517	Mm.28643	1.535436	vesicle-associated membrane protein 2
AA003272	Mm.21549	1.695382	Mus musculus small stress protein-like protein HSP22 mRNA, complete cds
AA003405	Mm.45562	1.503539	ESTs
AA003440	Mm.25793	2.099773	Mus musculus hemogen-1 mRNA, complete cds
AA003740	Mm.2814	0.704691	Membrane protein, palmitoylated (55 kDa)
AA008001	Mm.22753	1.859819	cathepsin B
AA008687	Mm.179080	1.976357	RIKEN cDNA 4930423K06 gene
AA008691	Mm.18113	1.608836	RIKEN cDNA 3110038K10 gene
AA009106	Mm.35434	1.931958	Hypothetical protein, MGC:7035
AA013960	Mm.28921	3.584386	claudin 3
AA014643	Mm.3948	1.707833	Signal transducer and activator of transcription 3
AA014819	Mm.23905	20.26981	platelet factor 4
AA015048	Mm.27664	1.908824	Unc-51 like kinase 2 (C. elegans)
AA015421	Mm.22087	1.428741	RIKEN cDNA 1700001E16 gene
AA021678	Mm.26599	0.483702	RIKEN cDNA 2310001A20 gene
AA021816	Mm.44106	0.3752	adducin 3 (gamma)
AA023159	Mm.8249	1.661724	Signal transducer and activator of transcription 1
AA023491	Mm.7190	1.766956	RIKEN cDNA 1600012D06 gene
AA030193	Mm.31239	0.619612	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7
AA030461	Mm.37214	3.250497	alpha-2-HS-glycoprotein
AA030478	Mm.101716	1.618841	ESTs
AA030665	Mm.27128	1.407116	RIKEN cDNA 2310074H19 gene
AA030780	Mm.28883	1.950863	peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase
AA047966	Mm.3126	0.25719	four and a half LIM domains 1
AA048837	Mm.18921	1.688271	valosin containing protein
AA049581	Mm.7363	1.561345	beta-spectrin 3
AA050139	Mm.25018	1.785624	ESTs, Highly similar to AF214737 1 C9orf10a [H.sapiens]
AA050371		2.456727
AA050683	Mm.7051	0.536459	radixin
AA050972	Mm.394	1.531248	Intercellular adhesion molecule 2
AA051331	Mm.22599	1.988866	ESTs
AA052697	Mm.27654	1.629035	ESTs
AA060802	Mm.20225	1.832855	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2, p49/p100
AA066128	Mm.22645	0.619076	ESTs, Moderately similar to KIAA0979 protein [H.sapiens]
AA067131	Mm.38930	0.653896	ESTs, Highly similar to T00353 hypothetical protein KIAA0697 [H.sapiens]
AA067324	Mm.23834	0.635683	ESTs, Weakly similar to AF144731 1 putative splicing factor YT521-B [R.norvegicus]
AA068568	Mm.24022	0.514136	RIKEN cDNA 4432415E19 gene
AA068968	Mm.28759	0.688655	involved in GPI-anchor biosynthesis
AA087650	Mm.10433	0.65918	aryl-hydrocarbon receptor-interacting protein
AA097341	Mm.2028	0.348556	nuclear receptor coactivator 1
AA108401	Mm.6611	0.636554	solute carrier family 27 (fatty acid transporter), member 2
AA108733	Mm.20841	1.485618	RIKEN cDNA 2410043G19 gene
AA109932	Mm.30103	0.655138	RIKEN cDNA 1110014L17 gene
