Function	Symbol	Description	GeneBank	t-test
Apoptosis	BCL2L12	Bcl-2-related proline-rich protein	NM_001040668.1	0.000335
Apoptosis	PDCD1	Programmed cell death protein 1 precursor	NM_005018.1	7.94E-06
carbohydrate metabolism	OGDHL	oxoglutarate dehydrogenase-like	NM_018245.1	0.000909
cell adhesion	THUMPD1	THUMP domain-containing protein 1	NM_017736.3	0.044141
Cell Cycle	AKAP4	A-kinase anchor protein 11	NM_016248.2	0.000598
cell cycle	TINF2	TERF1-interacting nuclear factor 2	NM_012461	0.045359
cell cycle	VEGFB	vascular endothelial growth factor B	NM_003377	0.017886
cell singling	GRIN3A	Glutamate [NMDA] receptor subunit 3A precursor	NM_133445.1	1.17E-06
cell singling	Q8N9G6	similar to nuclear pore membrane protein 121	XM_498333.2	7.46E-05
Cell Structure	ENO3	Beta-enolase	NM_001976.2	0.050309
cell structure	MAP6D1	MAP6 domain-containing protein 1	NM_024871.1	0.034981
cytokine	IL13RA2	Interleukin-13 receptor alpha-2 chain precursor	NM_000640.2	0.024814
Cytoskeleton	LLGL1	Lethal(2) giant larvae protein homolog 1	NM_004140.3	0.008177
cytoskeleton	SNX17	Sorting nexin-17	NM_014748.2	5.41E-05
DNA binding proteins	ZNF236	Zinc finger protein 236	NM_007345.2	1.54E-07
DNA binding proteins	ZBED4	Zinc finger BED domain-containing protein 4	NM_014838.1	0.003728
DNA replication	WRB	Tryptophan-rich protein	NM_004627.2	0.000578
Energy	ABHD2	ATP-binding cassette sub-family F member 2	NM_005692.3	0.000193
Energy	ATAD2	ATPase family AAA domain-containing protein 2	NM_014109.2	8.59E-06
Energy	PSMD11	26S proteasome non-ATPase regulatory subunit 11	NM_002815.2	0.000415
Energy	PSMD4	26S proteasome non-ATPase regulatory subunit 4	NM_002810.2	0.003878
Energy	SYDE1	synapse defective 1	NM_033025.4	0.000222
Immune response	ATG16L2	ATG16 autophagy related 16-like 2	NM_033388.1	1.31E-05
Immune response	IL8RB	High affinity interleukin-8 receptor B	NM_001557.2	0.00539
immune response	PTGS2	prostaglandin-endoperoxide synthase 2	NM_000963	0.00504
immune response	FAM14B	Interferon alpha-inducible protein 27-like protein 1	NM_145249	0.006008
immune response	OAS2	2’-5’-oligoadenylate synthase 2	NM_016817	0.009299
Ion transport	DSG4	Desmoglein-4 precursor	NM_177986.2	1.23E-05
Ion transport	SLC10A5	Sodium/bile acid cotransporter 5 precursor	NM_001010893.2	6.50E-08
Ion transport	CAPN7	Calpain-7	NM_014296.2	0.003785
ion transport	MT1E	Metallothionein-1E	NM_175617.3	0.001767
Lipid Metabolism	DEGS2	sphingolipid C4-hydroxylase/delta 4-desaturase	NM_206918.1	0.008105
lipid metabolism	CHKA	Choline kinase alpha	NM_001277.2	0.003609
lipid metabolism	ADA	bubblegum related protein	NM_030924.3	6.60E-05
Metabolism	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial precursor	NM_000191.2	0.010122
metabolism	HMGCS1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	NM_002130.4	1.20E-05
Metabolism	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	NM_031286.3	0.000157
Metabolism	ARHGAP5	Rho GTPase-activating protein 5	NM_001173.2	0.010513
Metabolism	CKM	Creatine kinase M-type	NM_001824.2	0.000689
Metabolism	CPT1A	Carnitine O-palmitoyltransferase I, liver isoform	NM_001031847.1	0.008256
Metabolism	USP53	Inactive ubiquitin carboxyl-terminal hydrolase 53	NM_019050.1	2.46E-06
morphogenesis	SLC33A1	Acetyl-coenzyme A transporter 1	NM_004733.2	8.12E-06
morphogenesis	PDYN	Beta-neoendorphin-dynorphin precursor	NM_024411.2	0.055803
nervous system	NINJ2	Ninjurin-2 (Nerve injury-induced protein 2)	NM_016533.4	0.004163
protein Metabolism	GON4L	GON-4-like protein	NM_001037533.1	0.00137
protein Metabolism	PHACTR4	phosphatase and actin regulator 4 isoform 1	NM_001048183.1	0.000139
protein Metabolism	OTUD7A	OTU domain-containing protein 7A	XM_001127986.1	0.00394
protein Metabolism	Q96NT9	GR AF-1 specific protein phosphatase	XM_497354.1	7.50E-05
protein Metabolism	WFDC13	Protein WFDC13 precursor	NM_172005.1	0.080737
Protein modulation	SMAP1	Stromal membrane-associated protein 1	NM_001044305.1	8.97E-08
Protein modulation	DYRK1B	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	NM_004714.1	0.001009
Protein modulation	COQ5	Ubiquinone biosynthesis methyltransferase COQ5	NM_032314.3	2.07E-05
Protein modulation	MTIF2	Translation initiation factor IF-2	NM_001005369.1	0.002917
