Agilent probe name	Gene name	Gene description	Gene ontology	Fold change	P-value
A_51_P495780	Plin4	Perilipin 4	None listed	80	6.00E-05
A_51_P259296	Lpl	Lipoprotein lipase	Lipid metabolism	70.4	7.60E-06
A_51_P374752	Rbp4	Retinol-binding protein 4, cellular	Retinol binding and transport	57.8	5.90E-05
A_51_P420547	TC1536702	Not determined	Not determined	56.2	3.80E-08
A_52_P592909	Dgat2	Diacylglycerol O-acyltransferase 2	Glycerol metabolism; lipid metabolism	49.8	8.10E-05
A_51_P412579	Tmem182	Transmembrane protein 182	Not determined	49.5	4.60E-06
A_52_P492989	Ncan	Neurocan	Neuronal cell-cell adhesion	48.3	2.40E-06
A_52_P258194	Crtac1	Cartilage acidic protein 1	Extracellular matrix	48.3	3.80E-07
A_52_P577533	AI427515		Not determined	46.9	4.40E-06
A_51_P375146	Cd36	CD36 antigen	Thrombospondin receptor activity; cell adhesion; fatty acid metabolism	46.3	3.50E-07
A_51_P239236	Acacb	Acetyl-coenzyme A carboxylase-beta	Acetyl-CoA metabolism; fatty acid metabolism	45.5	4.00E-06
A_51_P350453	Pdk4	Pyruvate dehydrogenase kinase, isoenzyme 4	Acetyl-CoA metabolism; carbohydrate metabolism	45.5	3.20E-06
A_52_P572808	Agpat9	1-Acylglycerol-3-phosphate O-acyltransferase 9	Phospholipid metabolism; triglyceride metabolism	43.9	3.80E-07
A_51_P321126	Fasn	Fatty acid synthase	Fatty acid metabolism	41.3	3.90E-05
A_52_P306845	Cav1	Caveolin1, caveolae protein	Calcium ion homeostasis; cholesterol homeostasis; endocytosis; lipid metabolism; apoptosis; intracellular signaling	37	4.60E-05
A_51_P383638	Amy1	Amylase 1, salivary	Carbohydrate metabolism	36.9	1.30E-04
A_51_P253117	Sorbs1	Sorbin and SH3 domain containing 1	Insulin receptor signaling; glucose metabolism; lipid metabolism	35.7	4.40E-04
A_52_P674808	Chrdl1	Chordin-like 1	cell differentiation; ossification	34.4	6.40E-07
A_51_P480020	4931408D14Rik	4931408D15Rik	Not determined	31.4	1.70E-05
A_51_P496432	Acsl1	Acyl-CoA synthetase long-chain family member 1	Fatty acid metabolism; xenobiotic metabolism	31.2	3.70E-04
A_51_P241465	Gsn	Gelsolin	Actin polymerization–depolymerization, cell adhesion; apoptosis; vesicle- mediated transport	31	5.50E-06
A_51_P221062	Prkar2b	Protein kinase, cyclic AMP-dependent regulatory, type II beta	Proliferation; fatty acid metabolism; protein amino-acid phosphorylation	30.4	2.80E-06
A_51_P268697	Slc1a3	Solute carrier family 1 (glial high-affinity glutamate transporter), member 3	Amino-acid transport; gamma-aminobutyric acid metabolism; glutamate metabolism; response to light and sound; sodium ion export	29.1	1.30E-06
A_51_P520718	Ptger3	Prostaglandin E receptor 3 (subtype EP3)	Bicarbonate transport, G-protein-coupled receptor signaling	28.7	6.50E-05
A_51_P114094	Clstn3	Calsyntenin 3	Cell adhesion	28.2	5.90E-07
