miRNA	location	fold change	p-valuea	PAM scoreb H-risk (n=10)	PAM scoreb L-risk (n=31)
hsa-mir-149	2q37.3	-3.8	1.66E-05	-0.0918	0
hsa-mir-129	7q32.1/11p11.2	-8.5	3.44E-05	-0.0892	0.0194
hsa-mir-27b	9q22.32	-5.7	1.66E-05	-0.0835	0.0074
hsa-mir-23b	9q22.1	-4.4	1.66E-05	-0.0828	0
hsa-mir-190	15q22.2	-3.8	1.05E-04	-0.0822	0
hsa-mir-128a	2q21	-4.8	1.66E-05	-0.0746	0
hsa-mir-15a	13q14	-6.5	3.56E-05	-0.0661	0
hsa-mir-148a	7p15.2	-5.3	1.53E-04	-0.0656	0.0364
hsa-mir-137	1p21.3	-5.1	1.16E-04	-0.0616	0
hsa-mir-30c	1p34.2/6q13	-4.3	1.66E-05	-0.0514	0
hsa-mir-197	1p13	-4.1	2.13E-05	-0.0418	0
hsa-mir-195	17p13	-4.4	2.29E-04	-0.0297	0
hsa-mir-26b	2q35	-4.6	1.66E-05	-0.0273	0
hsa-mir-211	7q23.2	-3.7	5.52E-05	-0.0267	0
hsa-mir-30b	8q24.22	-3.4	1.66E-05	-0.0264	0
hsa-mir-135a	3p21.1/12q23.1	-4	2.40E-04	-0.0259	0
hsa-mir-126	9q34.3	-4.2	6.44E-05	-0.0215	0.014
hsa-mir-95	4p16	-3.7	8.63E-05	-0.0206	0
hsa-mir-142	17q23	-3.8	8.26E-04	0	0.0201
hsa-mir-128b	3p22	-4	1.39E-04	-0.0171	0
hsa-mir-98	xp11.2	-4.7	8.69E-05	-0.0137	0
hsa-mir-142	17q23	-4.4	8.26E-04	0	0.0131
hsa-mir-340	5q35.3	-2.5	3.44E-05	-0.0079	0
hsa-mir-30e	1p34.2	-4.6	1.94E-05	-0.0071	0
hsa-mir-331	12q22	-3	3.44E-05	-0.004	0
hsa-mir-140	16q22.1	-2.9	3.56E-05	-0.0032	0
hsa-mir-324	17p13.1	-3.6	1.87E-04	-0.0022	0
