Gene product designation	GenBank accession no.	Bifidobacterium-cultured/control HT29 cell expression ratio B. bifidum LMG13195	Bifidobacterium-cultured/control HT29 cell expression ratio B. breve IPLA 20004	Biological process
MX2	NM_002463	1.741	1.187	Antiviraldefense
RSAD2	NM_080657	2.333	1.355	Antiviraldefense
NUPR1	NM_001042483	1.807	1.581	Cellulargrowthfactor
CCL20	NM_004591	2.033	1.232	Chemokine
CCL22	NM_002990	1.754	1.591	Chemokine
CCL5	NM_002985	1.889	1.06	Chemokine
CX3CL1	NM_002996	1.746	1.327	Chemokine
CXCL10	NM_001565	3.063	1.546	Chemokine
CXCL11	NM_005409	1.953	1.293	Chemokine
LAMP3	NM_014398	1.511	1.056	Dendriticcellfunction
SLFN5	NM_144975	1.536	1.173	Differentiation
AKR1C2	NM_001354	1.71	1.244	Enzymaticactivity
CMPK2	NM_207315	1.695	1.214	Enzymaticactivity
MMP13	NM_002427	1.773	1.298	Enzymaticactivity
ND6	ENST00000361681	1.629	0.661	Enzymaticactivity
UBE2L6	NM_004223	1.548	1.148	Enzymaticactivity
USP18	NM_017414	1.736	1.333	Enzymaticactivity
RARRES3	NM_004585	1.649	1.333	Enzymaticactivity
XAF1	NM_017523	1.655	1.201	Inhibitorofapoptosisprotein
IL-28A	NM_172138	1.876	1.089	Inmunefunction
IL-29	NM_172140	2.872	1.157	Inmunefunction
RAET1L	NM_130900	1.629	1.071	Inmunefunction
SECTM1	NM_003004	1.84	1.44	Inmunefunction
NLRC5	NM_032206	1.595	1.129	Interferonsignaling
TRIM22	NM_006074	1.63	1.162	Interferon-inducedantiviralprotein
TRIM31	NM_007028	1.801	1.337	Interferon-inducedantiviralprotein
OAS2	NM_002535	1.58	1.119	Interferon-mediatedsignaling
OAS3	NM_006187	1.584	1.163	Interferon-mediatedsignaling
OASL	NM_003733	2.212	1.338	Interferon-mediatedsignaling
IFIT1	NM_001548	1.547	1.116	Interferon-mediatedsignaling
IFIT2	NM_001547	2.864	1.569	Interferon-mediatedsignaling
IFIT3	NM_001031683	1.56	1.097	Interferon-mediatedsignaling
APOL6	NM_030641	1.615	1.227	Lipidtransporterprotein
MT2A	NM_005953	1.506	1.261	Metalbindingprotein
SERPINE1	NM_000602	2.037	1.274	mRNAstability
SLC15A3	NM_016582	1.641	1.265	Oligopeptidetransport
RBMY1A1	NM_005058	1.252	1.577	RNA-bindingprotein
KRT18P49	XR_018216	1.523	1.329	Structuralprotein
TMEM140	NM_018295	1.531	1.209	Structuralprotein
SP110	NM_080424	1.784	1.339	Transcriptionfactor
BATF2	NM_138456	1.739	1.258	Transcriptionfactor
TAP1	NM_000593	1.509	1.13	Transporterprotein
ZBP1	NM_030776	1.519	1.134	Transporterprotein
PML	NM_033240	1.661	1.356	Tumorsuppressor
SAMD9L	NM_152703	1.68	1.169	Unknownfunction
