ProbeName	p-value	FCAbsolute	regulation	[Control](raw)	[DMH](raw)	[Control](normalized)	[DMH](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_51_P402943	0.000250746	31.873184	up	33.009354	1970.5682	-0.31255436	4.681717	NM_009114	chr3:90496644-90496585	S100a9	Mus musculus S100 calcium binding protein A9 (calgranulin B) (S100a9), mRNA [NM_009114]	Mm.2128	20202	ENSMUST00000117167	TC1578387
A_51_P120830	1.88E-07	50.33399	up	44.6228	4604.103	0.25456047	5.9080215	NM_019471	chr9:7510011-7510070	Mmp10	Mus musculus matrix metallopeptidase 10 (Mmp10), mRNA [NM_019471]	Mm.14126	17384	ENSMUST00000034488	TC1589009
A_51_P102081	0.001316029	817.9041	up	45.4879	41293.887	-0.6040407	9.071747	NM_007847		Defa-rs2	Mus musculus defensin, alpha, related sequence 2 (Defa-rs2), mRNA [NM_007847]	Mm.422993	13222		TC1585573
A_51_P184484	4.61E-06	18.457281	up	18.351366	706.81134	-1.0113617	3.1947563	NM_008607	chr9:7282762-7282821	Mmp13	Mus musculus matrix metallopeptidase 13 (Mmp13), mRNA [NM_008607]	Mm.5022	17386	ENSMUST00000015394	TC1577492
A_52_P249336	0.000161692	382.38174	up	21.023281	14557.419	-1.0116491	7.5672207	NM_183268	chr8:22619859-22619918	Defa20	Mus musculus defensin, alpha, 20 (Defa20), mRNA [NM_183268]	Mm.327348	68009	ENSMUST00000095424	TC1581276
A_51_P426096	2.56E-06	15.48452	up	210.06694	6665.75	2.4872415	6.4399962	NM_010810	chr9:7697641-7697700	Mmp7	Mus musculus matrix metallopeptidase 7 (Mmp7), mRNA [NM_010810]	Mm.4825	17393	ENSMUST00000018767	TC1585074
A_52_P136741	0.061140437	7.1130824	up	264.94467	2394.4958	2.131105	4.96158	EU817850	chr6:67987200-67987259	Gm5222	Mus musculus monoclonal antibody 1D6 immunoglobulin light chain variable region mRNA, partial sequence. [EU817850]	Mm.389768	383196	ENSMUST00000103315	NP_047887
A_52_P106620	0.000123615	6.9015746	up	452.02377	6298.858	3.5685565	6.355482	NM_008764	chr15:54082819-54082760	Tnfrsf11b	Mus musculus tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin) (Tnfrsf11b), mRNA [NM_008764]	Mm.15383	18383	ENSMUST00000079772	TC1581828
A_51_P484526	0.000197366	12.563313	up	148.36168	3691.8916	1.9283051	5.57945	NM_011915	chr10:120537079-120537138	Wif1	Mus musculus Wnt inhibitory factor 1 (Wif1), mRNA [NM_011915]	Mm.32831	24117	ENSMUST00000020439	TC1595629
A_51_P214275	2.35E-06	33.92661	up	39.009384	2730.8535	0.065914154	5.1502595	NM_001174099	chr11:99963357-99963326	Krt36	Mus musculus keratin 36 (Krt36), mRNA [NM_001174099]	Mm.306829	16673	ENSMUST00000107416	TC1690936
A_52_P545650	1.37E-05	86.71508	up	27.79309	4861.727	-0.45291424	5.9852967	NM_001174099	chr11:99963636-99963577	Krt36	Mus musculus keratin 36 (Krt36), mRNA [NM_001174099]	Mm.306829	16673	ENSMUST00000007309	TC1690936
A_51_P358765	0.000108202	14.079806	up	147.51112	4250.9175	1.9720759	5.7876315	NM_009263	chr5:104869788-104869847	Spp1	Mus musculus secreted phosphoprotein 1 (Spp1), mRNA [NM_009263]	Mm.288474	20750	ENSMUST00000112747	TC1573661
A_51_P239177	0.06780492	1.6631328	up	75.78456	249.15947	0.9623262	1.6962296	NM_175391	chr15:77355402-77355343	Apol7c	Mus musculus apolipoprotein L 7c (Apol7c), mRNA [NM_175391]	Mm.86391	108956	ENSMUST00000062562	TC1580479
A_51_P246166	1.95E-06	27.07147	up	873.24225	49220.62	4.558443	9.317144	NM_007969	chr11:83524751-83524810	Expi	Mus musculus extracellular proteinase inhibitor (Expi), mRNA [NM_007969]	Mm.1650	14038	ENSMUST00000001009	TC1577563
A_51_P116039	0.08024277	1.8613981	up	307.1675	1082.4362	2.9201362	3.8165228	NM_008256	chr3:98113963-98114021	Hmgcs2	Mus musculus 3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (Hmgcs2), nuclear gene encoding mitochondrial protein, mRNA [NM_008256]	Mm.289131	15360	ENSMUST00000120541	NP_358738
A_52_P329207	9.18E-08	30.817629	up	822.4536	52572.707	4.4738383	9.419522	NM_007969	chr11:83524741-83524800	Expi	Mus musculus extracellular proteinase inhibitor (Expi), mRNA [NM_007969]	Mm.1650	14038	ENSMUST00000001009	TC1577563
A_51_P339793	0.00265779	14.894923	up	49.955967	1379.9775	0.26415554	4.1609044	NM_010743	chr1:40504769-40504828	Il1rl1	Mus musculus interleukin 1 receptor-like 1 (Il1rl1), transcript variant 2, mRNA [NM_010743]	Mm.289824	17082		TC1579281
A_51_P499698	0.000176066	12.759223	up	34.99747	876.03436	-0.16008203	3.5133865	NM_026414	chr6:86579351-86579410	Asprv1	Mus musculus aspartic peptidase, retroviral-like 1 (Asprv1), mRNA [NM_026414]	Mm.183043	67855	ENSMUST00000043400	TC1580639
A_51_P349888	0.026782157	3.511655	up	246.60982	1974.4703	2.7216942	4.5338454	NM_007449	chr14:51815374-51815315	Ang2	Mus musculus angiogenin, ribonuclease A family, member 2 (Ang2), mRNA [NM_007449]	Mm.377077	11731	ENSMUST00000051274	NP_382325
A_52_P157837	0.046345357	5.9380126	up	65.62229	573.154	0.3293182	2.8992984	FM180447	chr6:70538685-70538744		Mus musculus partial mRNA for immunoglobulin light chain variable region (IGKV gene). [FM180447]	Mm.333124		ENSMUST00000103398	NP_061593
A_52_P87843	0.000737569	15.2232485	up	171.14003	4881.004	2.0566843	5.9848886	NM_053080	chr7:73535844-73535785	Aldh1a3	Mus musculus aldehyde dehydrogenase family 1, subfamily A3 (Aldh1a3), mRNA [NM_053080]	Mm.140988	56847	ENSMUST00000015278	TC1592608
A_52_P467449	0.00019793	21.316694	up	39.284958	1635.8585	-0.010198911	4.4037127	NM_007440	chr11:70055774-70055715	Alox12	Mus musculus arachidonate 12-lipoxygenase (Alox12), mRNA [NM_007440]	Mm.12286	11684	ENSMUST00000000329	TC1581558
A_52_P532769	0.021903412	7.110981	up	113.6511	1273.4337	1.221374	4.0514226	XM_001481209	chr12:115921040-115920981		PREDICTED: Mus musculus similar to Ig H-chain V-JH1-region (LOC100048770), mRNA [XM_001481209]	Mm.430747		ENSMUST00000103504	NP_590647
A_51_P309307	0.011764188	4.6370974	up	87.99851	779.14325	1.1283504	3.3415725	NM_001142959	chr3:103642494-103642553	Bcl2l15	Mus musculus BCLl2-like 15 (Bcl2l15), transcript variant 1, mRNA [NM_001142959]	Mm.297245	229672	ENSMUST00000062945	TC1632299
A_52_P374653	0.099072516	6.763289	up	273.67987	2155.4766	2.0530407	4.8107657	X67625	chr6:70523153-70523212		Ig kappa chain V-III region MOPC 63 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P01661] [ENSMUST00000103397]	Mm.333124		ENSMUST00000103397	NP_061619
A_51_P506417	9.63E-08	11.687744	up	125.248375	3012.9075	1.750093	5.2970176	NM_016958	chr11:100065288-100064683	Krt14	Mus musculus keratin 14 (Krt14), mRNA [NM_016958]	Mm.439898	16664	ENSMUST00000007272	TC1575861
A_52_P484194	0.001590875	3.6864579	up	46.617004	351.99854	0.315382	2.1976173	NM_001025602	chr1:40521952-40522011	Il1rl1	Mus musculus interleukin 1 receptor-like 1 (Il1rl1), transcript variant 1, mRNA [NM_001025602]	Mm.289824	17082	ENSMUST00000053043	TC1601736
A_52_P90157	0.003667687	5.2421646	up	25.462332	250.8337	-0.68109816	1.7090645	XM_001475919	chr12:116886293-116886234	LOC100046275	PREDICTED: Mus musculus similar to Igha protein (LOC100046275), mRNA [XM_001475919]	Mm.423574	100046275	ENSMUST00000103540	NP_054145
A_52_P311042	0.029112736	3.4846303	up	25.670685	156.29407	-0.7796037	1.0214019	X67195	chr12:115526523-115526464		Ig heavy chain V region M315 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P18531] [ENSMUST00000103481]	Mm.303767		ENSMUST00000103481	NP_055464
A_51_P214127	0.004572454	6.342037	up	26.01755	302.78207	-0.68628573	1.9786606	NM_007753	chr3:20115733-20115674	Cpa3	Mus musculus carboxypeptidase A3, mast cell (Cpa3), mRNA [NM_007753]	Mm.1135	12873	ENSMUST00000001921	TC1579983
A_51_P477682	5.26E-05	9.856901	up	41.58228	848.461	0.1480139	3.449148	NM_008939	chr3:123209409-123209468	Prss12	Mus musculus protease, serine, 12 neurotrypsin (motopsin) (Prss12), mRNA [NM_008939]	Mm.9431	19142	ENSMUST00000029603	TC1583499
A_51_P417891	0.000953353	2.8542578	up	37.32927	220.86885	0.009147803	1.5222634	NM_011280	chr17:37014159-37014218	Trim10	Mus musculus tripartite motif-containing 10 (Trim10), mRNA [NM_011280]	Mm.299155	19824	ENSMUST00000060524	TC1583865
A_51_P256632	0.002696385	85.16212	up	773.25446	97953.54	3.9050925	10.317232	NM_001082531	chr4:138390766-138390825	Pla2g2a	Mus musculus phospholipase A2, group IIA (platelets, synovial fluid) (Pla2g2a), mRNA [NM_001082531]	Mm.4675	18780		TC1576245
A_52_P607060	0.001429176	6.224231	up	53.598083	677.75275	0.4976441	3.1355398	AK042301	chr2:17266270-17266211		nebulette Gene [Source:MGI Symbol;Acc:MGI:1921353] [ENSMUST00000124270]	Mm.256298		ENSMUST00000124270	TC1598045
A_51_P416858	0.000680748	5.70304	up	92.88993	1043.8116	1.2529516	3.7646828	NM_021285	chr1:66971007-66970948	Myl1	Mus musculus myosin, light polypeptide 1 (Myl1), transcript variant 1f, mRNA [NM_021285]	Mm.1000	17901	ENSMUST00000119429	TC1579359
A_52_P52946	0.001104256	4.070859	up	23.2366	196.97815	-0.67909604	1.3462372	NM_175176	chr3:154411782-154411841	4922501L14Rik	Mus musculus RIKEN cDNA 4922501L14 gene (4922501L14Rik), mRNA [NM_175176]	Mm.389509	209601	ENSMUST00000051862	TC1583980
A_51_P258493	0.000406602	2.197718	down	53.413696	49.684555	0.51066655	-0.6253397	NM_011067	chr4:150379315-150379256	Per3	Mus musculus period homolog 3 (Drosophila) (Per3), mRNA [NM_011067]	Mm.121361	18628	ENSMUST00000103204	TC1585666
A_51_P145132	0.001906388	14.005931	up	68.63803	1878.3558	0.7347544	4.5427203	NM_010779	chr14:56678648-56678589	Mcpt4	Mus musculus mast cell protease 4 (Mcpt4), mRNA [NM_010779]	Mm.439684	17227	ENSMUST00000043249	TC1583116
A_52_P563908	8.05E-05	6.8756304	up	27.079676	387.02646	-0.46539482	2.3160973	AK038396	chr1:191942705-191942646	Prox1	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230003G05 product:unclassifiable, full insert sequence. [AK038396]	Mm.392678	19130		TC1598198
A_51_P450561	0.000569086	3.1372802	down	74.12098	47.894806	0.968797	-0.68071747	NM_153484	chr15:81654218-81654277	Tef	Mus musculus thyrotroph embryonic factor (Tef), transcript variant 2, mRNA [NM_153484]	Mm.270278	21685	ENSMUST00000023024	TC1581867
A_52_P458177	0.015407654	2.6451812	up	241.47864	1233.7997	2.5955493	3.998916	AB099518	chr15:100184138-100191038	Mettl7a2	Mus musculus UbiE2 mRNA for UbiE2, complete cds. [AB099518]	Mm.440573	393082
A_51_P286488	0.001836464	4.6907864	up	109.95444	1037.4757	1.5023457	3.7321756	NM_133662	chr17:35959528-35959587	Ier3	Mus musculus immediate early response 3 (Ier3), mRNA [NM_133662]	Mm.25613	15937	ENSMUST00000003635	TC1771440
A_51_P287198	0.000481784	2.5448976	up	953.7739	5042.5083	4.688819	6.0364265	NM_033373	chr11:99339452-99339393	Krt23	Mus musculus keratin 23 (Krt23), mRNA [NM_033373]	Mm.290657	94179	ENSMUST00000006969	NP_748870
A_51_P254855	0.08595734	1.5923189	up	80.17272	266.00308	1.100869	1.7719984	NM_011198	chr1:151954744-151954803	Ptgs2	Mus musculus prostaglandin-endoperoxide synthase 2 (Ptgs2), mRNA [NM_011198]	Mm.292547	19225	ENSMUST00000035065	TC1575619
A_52_P258606	2.63E-05	5.8287764	down	1130.5483	402.04465	4.9343762	2.3911831	AK081980	chr1:163179151-163179092	Prdx6	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130091B17 product:peroxiredoxin 5, related sequence 3, full insert sequence. [AK081980]	Mm.186185	11758		TC1597770
A_52_P936271	0.000688321	13.30921	up	944.1865	24964.922	4.6107836	8.345137	J00623	chr17:39986338-39986397		MUSRGEB3 Mus musculus 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene and internal transcribed spacer 1, complete sequence; and 28S ribosomal RNA gene, partial sequence [J00623]				TC1773204
A_51_P285725	0.000793895	3.2197707	up	14.237311	94.93701	-1.3829308	0.30402723	NM_009309	chr17:8634870-8634929	T	Mus musculus brachyury (T), mRNA [NM_009309]	Mm.913	20997	ENSMUST00000074667	TC1586132
A_51_P301566	0.002724861	4.3070154	up	692.6528	5752.019	4.123012	6.2297006	NM_008872	chr8:23893092-23893152	Plat	Mus musculus plasminogen activator, tissue (Plat), mRNA [NM_008872]	Mm.154660	18791	ENSMUST00000033941	TC1572057
