Gene Name	GenBank Accession No.	UniGene Cluster ID	Function	Fold Change
Coilin	W88740	Hs.966	Cell cycle	9.5
Pro-platelet basic protein (includes platelet basic protein, beta-thromboglobulin, connective tissue-activating peptide III, neutrophil-activating peptide-2)	W92812	Hs.2164	Cell cycle	5
Nucleolar autoantigen (55 kDa) similar to rat synaptonemal complex protein	W81191	Hs.446459	Cell cycle	4.3
Nucleolar protein 1 (120 kDa)	N50854	Hs.15243	Cell cycle	2.2
Syntrophin, beta 2 (dystrophin-associated protein A1, 59 kDa, basic component 2)	AA491439	Hs.172278	Cytoskeleton/morphology	2.2
Acylphosphatase 1, erythrocyte (common) type	W80489	Hs.18573	Metabolism	11.2
Hypocretin (orexin) receptor 2	W86471	Hs.151624	Neuropeptide signaling (feeding behavior)	6.6
Cystatin E/M	W72895	Hs.83393	Protease inhibitor/morphology	7.9
Ribosomal protein S6	W84472	Hs.380843	Protein biosynthesis	7.7
Pepsinogen 5, group I (pepsinogen A)	R72097	Hs.378194	Protein catabolism	2.2
Heterogeneous nuclear ribonucleoprotein K	W85697	Hs.129548	RNA processing	2.8
Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	W92431	Hs.51147	Signal transduction	9.5
LGN protein	W92011	Hs.278338	Signal transduction	4.2
Phosphodiesterase 6A, cGMP-specific, rod, alpha	W92514	Hs.182240	Signal transduction	2.7
Dystrobrevin, alpha	H09172	Hs.336678	Signal transduction	2.2
Activating transcription factor 6	W87752	Hs.5813	Transcription factor	9.8
Nuclear receptor subfamily 0, group B, member 2	W90085	Hs.427055	Transcription factor	8.4
Nuclear factor I/B	W87528	Hs.33287	Transcription factor	4.6
EBNA-2 coactivator (100 kDa)	AA017383	Hs.79093	Transcription activation	2.4
