GenBank Accession No.	Description	Fold change
M33882	Interferon-inducible protein p78 (Mx1)	55
M13755	Interferon-stimulated protein, 15 kDa (ISG15)	43
J04164	Interferon-induced transmembrane protein 1 (9–27)	~39.5
M24594	Interferon-induced protein 56	~29
L13210	Mac-2 binding protein (Mac-2bp)	~25
X67325	Interferon- alpha-inducible protein 27	~24
X02874	2,-5-Oligoadenylate synthetase 1 (OAS-p40/46)	~22
U22970	Interferon  alpha-inducible protein (G1P3)	~16
X57351	Interferon-induced transmembrane protein 2 (1-8D)	~13
U72882	Interferon-induced protein 35	~13
AF008445	Phospholipid scramblase	12.5
D28137	Bone marrow stromal cell antigen 2 (BST2)	~12
X58536	Major histocompatibility complex, class I, C (HLA-C)	9.5
D49824	Major histocompatibility complex, class I, B (HLA-B)	~9
M97936	Signal transducer and activator of transcription 1, 91 kDa (STAT1)	8
M87503	Interferon-stimulated transcription factor 3, gamma (48 kDa) (ISGF3)	7
U50648	Interferon-inducible RNA-dependent protein kinase (PKR)	5
M87434	2-5-Oligoadenylate synthetase 2 (OAS-p69)	5
U52513	RIG-G	~4.5
M55542	Guanylate binding protein 1, interferon-inducible, 67 kDa (GBP1)	4.5
X04729	Plasminogen activator inhibitor, type 1	3.5
M74447	ATP-binding cassette, subfamily B, member 3	~3.4
X02530	IP10	~3
L22343	Interferon-induced protein 75, 52 kDa	~3
X62741	Proteasome subunit, beta type, 9	~3
L22342	Interferon-induced protein 41, 30 kDa	2.8
U34605	Retinoic acid-and interferon-inducible protein, 58 kDa (RI58)	2.6
M83667	CCAAT/enhancer binding protein (C/EBP), delta	2.5
V00594	Metallothionein 2A	2.5
M20022	Major histocompatibility complex, class I, E (HLA-E)	2.5
D50919	KIAA0129	2.5
U32849	N-myc (and STAT) interactor (NMI)	2.4
D32129	Major histocompatibility complex, class I, A (HLA-A)	2.4
D45248	Proteasome activator subunit 2 (PA28 beta)	2.3
U88964	Interferon stimulated gene, 20 kDa (ISG20)	2.3
M79463	Promyelocytic leukemia PML-2	2.3
M37435	Colony-stimulating factor 1 (CSF1)	2.2
U64197	LARC/MIP-3a/Exodus 1	2.2
M24283	Intercellular adhesion molecule 1 (ICAM1)	2.2
M79462	Promyelocytic leukemia PML-1	2.2
X90846	Mitogen-activated protein kinase kinase kinase 10 (MAP3K10)	~2.2
L07633	Proteasome activator subunit 1 (PA28  alpha)	2.1
U37518	TNF-related apoptosis-inducing ligand (TRAIL)	~2.1
M59465	TNF  alpha-induced protein 3 (A20)	2.1
K02765	Complement component 3	2
J04080	Complement component 1	2
S82297	beta-2 microglobulin	2
U10439	Adenosine deaminase (ADAR)	2
Z29083	5T4 oncofetal trophoblast glycoprotein	2
Z36714	Cyclin F	~-3.5
X15882	Collagen, type VI, alpha 2	~-5;3
M11437	Kininogen	-2.1
