Gene bank Name	Fold accession number	Chromosome increase	location	Gene description	Function
TRADD	NM_003789	1.29	16q22.1	TNFRSF1A-associated via death domain	Apoptotic genes
FASTK	NM_006712	1.21	7q36.1	Fas-activated serine/threonine kinase	Apoptotic genes
AIFM2	NM_032797	2.42	10q22.1	Apoptosis-inducing factor, mitochondrion-associated, 2	Apoptotic genes
IGFBP6	NM_002178	2.23	12q13	Insulin-like growth factor binding protein 6	Apoptotic genes
IRF1	NM_002198	2.27	5q31.1	Interferon regulatory factor 1	Apoptotic genes
TP5313	NM_004881	1.5	2p23.3	Tumor protein p53 inducible protein 3	Apoptotic genes
STK17A	NM_004760	3.09	7p13	Serine/threonine kinase 17a	Apoptotic genes
TNFSF13B	NM_006573	1.33	13q32-q34	Tumor necrosis factor (ligand) superfamily	Apoptotic genes
LATS1	NM_004690	1.23	6q25.1	Large tumor suppressor, homolog 1	Tumor suppressor
SPRY4	NM_030964	1.39	5q31.3	Sprouty homolog 4	Tumor suppressor
ARMETL1	NM_001029954	1.85	10p14	Arginine-rich, mutated in early stage tumors-like 1	Tumor suppressor
EXT1	NM_000127	1.44	8q24.11	Exostosin 1	Tumor suppressor
SEMA3B	NM_004636	1.37	3p21.3	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	Tumor suppressor
TSPYL2	NM_022117	1.81	Xp11.2	TSPY-like 2	Tumor suppressor
PHLDA2	NM_003311	2.28	11p15.5	Pleckstrin homology-like domain, family A, member 2	Tumor suppressor
CYFIP1	NM_014608	1.42	15q11	Cytoplasmic FMR1 interacting protein 1	Tumor suppressor
SLIT2	NM_004787	2.14	4p15.2	Slit homolog 2	Tumor suppressor
NEK11	NM_145910	1.87	3q22.1	(Never in mitosis gene a)-related kinase 11	Cell-cycle arrest
CIZ1	NM_012127	1.07	9q34.1	CDKN1A interacting zinc finger protein 1	Cell-cycle arrest
RHOB	NM_004040	2.3	2p24	Ras homolog gene family, member B	Cell-cycle arrest
OSGIN1	NM_013370	3.08	16q23.3	Oxidative stress induced growth inhibitor 1	Cell-cycle arrest
CDKN2B	NM_078487	1.7	9p21	Cyclin-dependent kinase inhibitor 2b	Cell-cycle arrest
CDKN1A	NM_078467	1.76	6p21.31	Cyclin-dependent kinase inhibitor 1a	Cell-cycle arrest
PAK6	NM_020168	1.95	15q15.1	p21(CDKN1A)-activated kinase 6	Cell-cycle arrest
CCNL2	NM_001039577	1.11	1p36.33	cyclin L2	Cell-cycle arrest
EGR1	NM_001964	3.14	5q31.1	Early growth response 1	Cell-cycle arrest
SUHW1	NM_080740	1.58	22q11.22	Suppressor of hairy wing homolog 1	Heat shock proteins
HSPB8	NM_014365	3.24	12q24.23	Heat shock 22kDa protein 8	Heat shock proteins
HSPA1L	NM_005527	1.49	6p21.33	Heat shock 70kDa protein 1-like	Heat shock proteins
HSPA5	NM_005347	1.8	9q33.3	Heat shock 70kDa protein 5	Heat shock proteins
HSPA1A	NM_005345	3.13	6p21.33	Heat shock 70kDa protein 1A	Heat shock proteins
HSPA6	NM_002155	3.9	1q23.3	heat shock 70kDa protein 6	Heat shock proteins
PPP1R3C	NM_005398	1.1	10q23.32	Protein phosphatase 1, regulatory (inhibitor) subunit 3C	Phosphatase activity
PPP1R15A	NM_014330	2.47	19q13.2	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	Phosphatase activity
PPP1R10	NM_002714	1.31	6p21.33	Protein phosphatase 1, regulatory (inhibitor) subunit 10	Phosphatase activity
DUSP10	NM_007207	2.71	1q41	Dual specificity phosphatase 10	Inactivation of MAPK family kinases
DUSP18	NM_152511	1.2	22q12.2	Dual specificity phosphatase 18	Inactivation of MAPK family kinases
DUSP23	NM_017823	1.4	1q23.2	Dual specificity phosphatase 23	Inactivation of MAPK family kinases
DUSP13	NM_001007271	2.78	10q22.2	Dual specificity phosphatase 13	Inactivation of MAPK family kinases
DUSP2	NM_004418	1.42	2q11.2	Dual specificity phosphatase 2	Inactivation of MAPK family kinases
