probe set	Gene	Gene	Accession	EntrezGene	CEF RCAS(37.5C)/CEF RCAS(41.5C)	P value	CEF NY72-4P/CEF NY72-4NP	CNR NY72-4P/CNR NY72-4NP
Gga.2856.1.S1_a_at		Finished cDNA, clone ChEST974i14	BU271312		1.65	0.001866	#N/A	2.01
Gga.10923.2.S1_s_at	LOC417869	similar to KIAA0938 protein	BX931749.2	417869	-1.11	0.018736	#N/A	1.89
Gga.10877.1.S1_at	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	BX950632.1	428012	1.3	0.011242	#N/A	1.88
Gga.9713.2.S1_a_at	WPKCI-8	Wpkci	CR353066.1	395423	1.24	0.046768	#N/A	1.74
GgaAffx.21144.1.S1_s_at		Finished cDNA, clone ChEST852l17	CR523471.1		1.2	0.014567	#N/A	1.61
Gga.6313.1.S1_at		Finished cDNA, clone ChEST975p2	BU398035		1.25	0.00042	#N/A	1.54
Gga.18202.1.S1_at		Finished cDNA, clone ChEST1008g24	CR389935.1		1.2	0.012682	#N/A	1.38
GgaAffx.20934.1.S1_at		Finished cDNA, clone ChEST836p19	CR523681.1		1.12	0.007597	#N/A	1.24
GgaAffx.23557.10.S1_s_at	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	ENSGALT00000018611.1	420658	-1.01	0.000125	#N/A	1.17
Gga.7820.1.S1_at		Finished cDNA, clone ChEST969a15	BX260518		-1.32	0.020507	#N/A	1.11
Gga.8512.1.S1_at		Finished cDNA, clone ChEST303a9	BU239320		1.52	0.012062	#N/A	1.1
GgaAffx.21421.1.S1_s_at	PARL	presenilin associated, rhomboid-like	CR523194.1	424767	1.12	0.000821	#N/A	1.01
GgaAffx.2978.3.S1_at	LOC423014	similar to phospholipase C beta	ENSGALT00000007649.1	423014	-1.18	0.041243	#N/A	-1.05
Gga.11999.1.S1_at		Finished cDNA, clone ChEST353k10	BX932277.2		1.9	0.001716	#N/A	-1.21
GgaAffx.26426.1.S1_s_at	LOC424808	similar to secretogranin II	ENSGALT00000008311.1	424808	1.48	0.001559	#N/A	-1.26
Gga.19411.1.A1_at		Transcribed locus	AL587632		-1.08	0.031027	#N/A	-1.29
GgaAffx.20942.1.S1_s_at		Finished cDNA, clone ChEST840d13	CR523673.1		1.36	0.010984	#N/A	-1.52
GgaAffx.9197.1.S1_at	RCJMB04_7l20	Poly(A) binding protein, cytoplasmic 1	ENSGALT00000023379.1	430997	-1.26	0.009423	#N/A	-1.59
GgaAffx.4028.1.S1_at	LOC427941	similar to Plexin-A4	ENSGALT00000010459.1	427941	-1.16	0.016895	#N/A	-2.39
Gga.15371.1.S1_at		Transcribed locus, strongly similar to XP_001231685.1  hypothetical protein [Gallus gallus]	CD761221		1.57	0.025691	#N/A	-2.64
Gga.9983.1.S1_at	LOC424161	similar to LOC129881 protein	CR387407.1	424161	1.85	0.011456	2.45	2.74
Gga.8920.1.S1_at		Transcribed locus, moderately similar to XP_361955.1  protein MG04400.4 [Magnaporthe grisea 70-15]	BU112303		1.33	0.036852	1.81	2.34
Gga.10464.1.S1_at	SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	BU256080	419007	1.36	0.011986	1.62	1.35
Gga.11932.1.S1_at	UHRF1	ubiquitin-like, containing PHD and RING finger domains, 1	BU333130	420154	1.21	0.013082	1.53	2.22
Gga.4074.1.S1_s_at	LOC420709	similar to RIKEN cDNA 1110059G10	BU116226	420709	1.24	0.015704	1.25	1.23
Gga.9673.1.S1_at	CBR4	Carbonyl reductase 4	BX933251.1	422435	1.32	0.007655	1.2	#N/A
Gga.7109.1.S1_s_at	MYO1C	myosin IC	BU424694	417555	1.08	0.005775	1.17	#N/A
Gga.1334.1.S1_at		Transcribed locus	AJ454974		1.03	0.004334	1.15	2.04
GgaAffx.20470.1.S1_at		Finished cDNA, clone ChEST646l7	CR524145.1		1.09	0.034541	1.14	1.03
GgaAffx.6962.1.S1_s_at	LOC421517	similar to TAR RNA loop binding protein	ENSGALT00000017913.1	421517	1.22	0.001596	1.13	#N/A
Gga.17775.1.S1_s_at	LOC421544	similar to digestive tract-specific calpain; calcium-dependent cysteine proteinase	BU315754	421544	1.03	0.005449	1.11	1.56
Gga.4514.2.S1_s_at	RCJMB04_2p9	ribonucleotide reductase M1 polypeptide	BU332242	419081	1.02	0.000356	1.08	1.96
GgaAffx.21206.1.S1_s_at		Finished cDNA, clone ChEST690k14	CR523409.1		1.07	0.00995	1.04	#N/A
GgaAffx.6309.1.S1_at	LOC423321	hypothetical LOC423321	ENSGALT00000016301.1	423321	1.48	0.001142	1.02	#N/A
Gga.2058.1.S1_s_at	RCJMB04_23e15	glutaminase	BX931198.2	424043	-1.28	0.008357	-1.22	#N/A
Gga.4724.1.S2_at	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	CK607301	374163	-1.15	0.0348	-1.61	-2.38
Gga.2938.1.S1_at		Finished cDNA, clone ChEST133o12	BU343627		1.25	0.0001	-1.67	#N/A
Gga.3525.1.S1_at		Transcribed locus	BU482729		-1.43	0.038943	-1.72	#N/A
GgaAffx.9707.1.S1_s_at	RCJMB04_1g9	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	ENSGALT00000024605.1	421114	1.05	0.045538	-2.27	#N/A
