Gene Symbol	Correlation Coefficient	Gene description
CRK7 (CDK12)	0.38	cyclin-dependent kinase 12
ERBB2	0.42	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
F2RL1	0.35	coagulation factor II (thrombin) receptor-like 1
GRB7	0.43	growth factor receptor-bound protein 7
IDI1	0.37	isopentenyl-diphosphate delta isomerase 1
ITGB6	0.36	integrin, beta 6
PERLD1	0.37	post-GPI attachment to proteins 3
PPARBP	0.45	mediator complex subunit 1
SEC63	0.37	SEC63 homolog (S. cerevisiae)
STARD3	0.37	StAR-related lipid transfer (START) domain containing 3
TRIM26	0.36	tripartite motif-containing 26
DIRAS2	-0.36	DIRAS family, GTP-binding RAS-like 2
DUSP24	-0.36	serine/threonine/tyrosine interacting-like 1
UBTF	-0.36	upstream binding transcription factor, RNA polymerase I
