Probeset	Gene Description	KEGG_PATHWAY or GOTERMBP5
1426926_at	phospholipase C, gamma 2	CALCIUM SIGNALING PATHWAY
1417279_at	inositol 1,4,5-triphosphate receptor 1	CALCIUM SIGNALING PATHWAY
1429794_a_at	purinergic receptor P2X, ligand-gated ion channel, 1	CALCIUM SIGNALING PATHWAY
1425506_at	myosin, light polypeptide kinase	CALCIUM SIGNALING PATHWAY
1427287_s_at	inositol 1,4,5-triphosphate receptor 2	CALCIUM SIGNALING PATHWAY
1418586_at	adenylate cyclase 9	CALCIUM SIGNALING PATHWAY
1450124_a_at	ATPase, Ca++ transporting, ubiquitous	CALCIUM SIGNALING PATHWAY
1433741_at	CD38 antigen	CALCIUM SIGNALING PATHWAY
1433956_at	cadherin 5	CELL ADHESION MOLECULES
1460356_at	endothelial cell-specific adhesion molecule	CELL ADHESION MOLECULES
1439221_s_at,1460415_a_at, 1449473_s_at	CD40 antigen	CELL ADHESION MOLECULES
1421287_a_at	platelet/endothelial cell adhesion molecule 1	CELL ADHESION MOLECULES
1424595_at	F11 receptor	CELL ADHESION MOLECULES
1422541_at	protein tyrosine phosphatase, receptor type, M	CELL ADHESION MOLECULES
1425253_a_at	mucosal vascular addressin cell adhesion molecule 1	CELL ADHESION MOLECULES
1416072_at	CD34 antigen	CELL ADHESION MOLECULES
1417839_at	claudin 5	CELL ADHESION MOLECULES
1448862_at	intercellular adhesion molecule 2	CELL ADHESION MOLECULES
1417621_at, 1428479_at, 1425761_a_at	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	T CELL RECEPTOR SIGNALING PATHWAY
1456482_at	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	T CELL RECEPTOR SIGNALING PATHWAY
1417123at, 1448600sat	vav 3 oncogene	T CELL RECEPTOR SIGNALING PATHWAY
1417409at, 1448694at	Jun oncogene	T CELL RECEPTOR SIGNALING PATHWAY
1460651at	linker for activation of T cells	T CELL RECEPTOR SIGNALING PATHWAY
1423100at	FBJ osteosarcoma oncogene	T CELL RECEPTOR SIGNALING PATHWAY
1426926at	phospholipase C, gamma 2	B CELL RECEPTOR SIGNALING PATHWAY
1438030at, 1438031at	RAS, guanyl releasing protein 3	B CELL RECEPTOR SIGNALING PATHWAY
1417621_at, 1428479_at, 1425761_a_at	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	B CELL RECEPTOR SIGNALING PATHWAY
1456482_at	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	B CELL RECEPTOR SIGNALING PATHWAY
1417123at, 1448600sat	vav 3 oncogene	B CELL RECEPTOR SIGNALING PATHWAY
1417409at, 1448694at	Jun oncogene	B CELL RECEPTOR SIGNALING PATHWAY
1423100at	FBJ osteosarcoma oncogene	B CELL RECEPTOR SIGNALING PATHWAY
1451475at	Plexin D1	ANGIOGENESIS
1450199aat	stabilin 1	ANGIOGENESIS
1417662at, 1448797at,	ELK3, member of ETS oncogene family	ANGIOGENESIS
