Ratio (C3/C5)	Gene ID	Accession Number	Expression	Function
8.82	ras-related small GTP binding protein Rab5 (rab5).	U18420	up	Signal Transduction
0.29	MAP kinase-activating death domain protein (MADD).	U77352	down	Signal Transduction
0.27	MAP kinase kinase kinase (MTK1).	AF002715	down	Signal Transduction
0.19	p38 gamma MAP kinase.	U66243	down	Signal Transduction
0.18	ERK3 protein kinase.	L77964	down	Signal Transduction
0.14	ERK1 mRNA for protein serine/threonine kinase.	X60188	down	Signal Transduction
0.14	mRNA for TRAF5.	AB000509	down	Signal Transduction
5.16	Thymosin beta-10.	S54005	up	Thymosin
5.09	Prothymosin alpha mRNA (ProT-alpha).	M26708	up	Thymosin
4.38	Thymosin beta-10.	M20259	up	Thymosin
4.15	m-RNA for NB Thymosin beta.	D82345	up	Thymosin
4.1	Parathymosin.	M24398	up	Thymosin
3.54	Thymosin beta-4.	M17733	up	Thymosin
2.73	Prothymosin alpha.	M14630	up	Thymosin
9.62	Cyclin protein gene.	M15796	up	Cell Cycle
8.88	14-3-3 epsilon.	U54778	up	Cell Cycle
8.04	mRNA for proliferation-associated gene (pag).	X67951	up	Cell Cycle
7.8	poly(ADP-ribose) polymerase.	M18112	up	Cell Cycle
7.46	p18 protein.	J04991	up	Cell Cycle
6.46	hCDC37 homolog,	U43077	up	Cell Cycle
5.12	hCDC10, CDC10 homolog.	S72008	up	Cell Cycle
2.39	hCDC2,	X05360	up	Cell Cycle
0.24	mRNA for putative serine/threonine protein kinase.	Y10032	down	Cell Cycle
0.22	Cam Kinase I.	L41816	down	Cell Cycle
0.2	Checkpoint suppressor 1	U68723	down	Cell Cycle
0.16	PLSTIRE for serine/threonine protein kinase.	X66365	down	Cell Cycle
0.15	PCTAIRE-2 for serine/threonine protein kinase.	X66360	down	Cell Cycle
9.62	PCNA	M15796	up	DNA Repair/Replication
7.8	poly(ADP-ribose) polymerase.	M18112	up	DNA Repair/Replication
3.85	Lupus p70 (Ku) autoantigen protein.	J04611	up	DNA Repair/Replication
2.56	Excision repair protein (ERCC1).	M13194	up	DNA Repair/Replication
3.1	DNA-PKcs	U34994	up	DNA Repair/Replication
0.25	Rad51C (RAD51C).	AF029669	down	DNA Repair/Replication
0.23	DNA repair protein XRCC9 (XRCC9).	U70310	down	DNA Repair/Replication
0.21	DNA mismatch repair protein homolog (hMLH1).	U07343	down	DNA Repair/Replication
0.19	Topoisomerase I.	J03250	down	DNA Repair/Replication
0.18	RAD51D.	AF034956	down	DNA Repair/Replication
0.13	DNA replication licensing factor (huMCM2).	D83987	down	DNA Repair/Replication
3.19	Transcription factor SL1.	L39059	up	Transcription Pol I
7.17	100 kDa coactivator.	U22055	up	Transcription Pol II
6.42	RNA polymerase II elongation factor-like protein.	Z47087	up	Transcription Pol II
3.34	TFIID subunit TAFII55 (TAFII55).	U18062	up	Transcription Pol II
3.1	mRNA for TBP associated factor, TAFII68.	X98893	up	Transcription Pol II
0.3	TFIIB related factor hBRF (HBRF).	U75276	down	Transcription Pol II
0.29	mRNA for transcriptional activator hSNF2b.	D26156	down	Transcription Pol II
0.27	mRNA for RNA polymerase II 140 kDa subunit.	X63563	down	Transcription Pol II
0.25	RNA polymerase II.	L37127	down	Transcription Pol II
0.22	p300 protein.	U01877	down	Transcription Pol II
0.16	Rac3 (RAC3).	AF008591	down	Transcription Pol II
0.14	RNA polymerase II elongation factor SIII.	L34587	down	Transcription Pol II
0.13	TFIIIC Box B-binding subunit.	U02619	down	Transcription Pol III
0.12	Transcription factor TFIIIB (hTFIIIB90).	U28838	down	Transcription Pol III
4.93	NAP (nucleosome assembly protein).	M86667	up	Chromatin Remodeling
4.83	RNA polymerase transcriptional mediator (h-MED6).	U78082	up	Chromatin Remodeling
4.39	sin3 associated polypeptide p18 (SAP18).	U96915	up	Chromatin Remodeling
3.81	mRNA for nucleosome assembly protein.	D50370	up	Chromatin Remodeling
0.21	SWI/SNF complex 170 KDa subunit (BAF170).	U66616	down	Chromatin Remodeling
0.21	Chromatin assembly factor-I p150 subunit.	U20979	down	Chromatin Remodeling
0.19	SWI/SNF complex 60 KDa subunit (BAF60c).	U66619	down	Chromatin Remodeling
10.17	mRNA for DNA binding protein TAXREB67.	D90209	up	DNA Binding
5.76	Pur (pur-alpha).	M96684	up	DNA Binding
5.25	Nuclear factor NF45.	U10323	up	DNA Binding
5.28	mRNA for transcription factor AREB6.	D15050	up	DNA Binding
7.17	Insulin-like growth factor binding protein 2 (IGFBP2).	M35410	up	DNA Binding
6.33	Non-histone chromosomal protein HMG-17.	M12623	up	DNA Binding
0.27	Kruppel related zinc finger protein (HTF10).	L11672	down	DNA Binding
0.26	Transcription factor ETR101.	M62831	down	DNA Binding
0.21	Helix-loop-helix protein (Id-2).	M97796	down	DNA Binding
0.2	Transcription factor IL-4 Stat.	U16031	down	DNA Binding
0.2	Activating transcription factor 3 (ATF3).	L19871	down	DNA Binding
0.16	ATF family member ATF6 (ATF6).	AF005887	down	DNA Binding
0.16	Paired box gene (PAX6) homologue.	M93650	down	DNA Binding
0.17	MADS/MEF2-family transcription factor (MEF2C).	L08895	down	DNA Binding
