GB_ACC	Gene	SYMBOL	CHR	X	Expression
NM_145209	2?-5? oligoadenylate synthetase-like 1	Oasl1	5	10.29	Up-regulated genes
NM_009671	Ankyrin repeat and FYVE domain containing 1	Ankfy1	11	2.07	Up-regulated genes
XM_128064	Apolipoprotein L 9a	Apol9a	15	4.12	Up-regulated genes
NM_181406	Arginyl-tRNA synthetase-like	Rarsl	4	2.2	Up-regulated genes
NM_153287	AXIN1 up-regulated 1	Axud1	9	2.06	Up-regulated genes
NM_016767	"Basic leucine zipper transcription factor, ATF-like"	Batf	12	2.38	Up-regulated genes
NM_175277	BolA-like 3 (Escherichia coli)	Bola3	6	2.5	Up-regulated genes
NM_198095	Bone marrow stromal cell antigen 2	Bst2	8	7.68	Up-regulated genes
NM_013653	Chemokine (C-C motif) ligand 5	Ccl5	11	58.56	Up-regulated genes
NM_013654	Chemokine (C-C motif) ligand 7	Ccl7	11	4.55	Up-regulated genes
NM_008176	Chemokine (C-X-C motif) ligand 1	Cxcl1	5	19.82	Up-regulated genes
NM_021274	Chemokine (C-X-C motif) ligand 10	Cxcl10	5	14.91	Up-regulated genes
NM_023158	Chemokine (C-X-C motif) ligand 16	Cxcl16	11	1.59	Up-regulated genes
NM_029295	Chemokine-like factor	Cklf	8	1.78	Up-regulated genes
NM_026036	Chemokine-like factor super family 6	Cklfsf6	9	1.65	Up-regulated genes
NM_029635	COMM domain containing 9	Commd9	2	2.18	Up-regulated genes
NM_028798	Cysteine-rich C-terminal 1	Crct1	3	3.62	Up-regulated genes
AF151637	Cysteine-rich PDZ-binding protein	Cript	17	2.28	Up-regulated genes
XM_220603	Dynein-like protein 2	DLP2	10	1.97	Up-regulated genes
NM_010119	EH-domain containing 1	Ehd1	19	2.68	Up-regulated genes
NM_010106	Eukaryotic translation elongation factor-1 alpha 1	Eef1a1	19	1.71	Up-regulated genes
NM_181582	Eukaryotic translation initiation factor 5A	Eif5a	11	1.47	Up-regulated genes
NM_016696	Glypican 1	Gpc1	1	2.17	Up-regulated genes
NM_025332	GTP-binding protein 8	Gtpbp8	16	2.3	Up-regulated genes
NM_010260	Guanylate nucleotide binding protein 2	Gbp2	3	2.91	Up-regulated genes
NM_010395	"Histocompatibility 2, T region locus 10"	H2-T10	17	7.34	Up-regulated genes
NM_153571	HscB iron–sulfur cluster co-chaperone homolog (Escherichia coli)	Hscb	5	5.57	Up-regulated genes
NM_027835	Interferon-induced with helicase C domain 1	Ifih1	2	3.05	Up-regulated genes
NM_008331	Interferon-induced protein with tetratricopeptide repeats 1	Ifit1	19	3.05	Up-regulated genes
NM_010501	Interferon-induced protein with tetratricopeptide repeats 3	Ifit3	19	3.6	Up-regulated genes
NM_133990	"Interleukin 13 receptor, alpha 1"	Il13ra1	X	1.65	Up-regulated genes
NM_011150	"Lectin, galactoside-binding, soluble, 3 binding protein"	Lgals3 bp	11	2.4	Up-regulated genes
XM_129166	Melan-A	Mlana	19	2.16	Up-regulated genes
NM_010398	MHC class Ib antigen Qa-1 (H2-T23)	H2-D1	17	4.06	Up-regulated genes
NM_008329	Myeloid cell nuclear differentiation antigen	Ifi204	1	4.92	Up-regulated genes
NM_029688	Neoplastic progression 3	Npn3	2	2.18	Up-regulated genes
NM_008675	"Neuroblastoma, suppression of tumorigenicity 1"	Nbl1	4	2.02	Up-regulated genes
NM_019401	N-myc (and STAT) interactor	Nmi	2	2.03	Up-regulated genes
NM_010881	Nuclear receptor coactivator 1	Ncoa1	12	6.85	Up-regulated genes
XM_484255	Nucleolar protein 8	Nol8	13	1.93	Up-regulated genes
NM_170591	Nucleoporin like 1	Nupl1	14	2.98	Up-regulated genes
NM_207138	Olfactory receptor 149	Olfr149	9	43.86	Up-regulated genes
NM_172116	Parkinson disease 7 domain containing 1	Pddc1	7	7.6	Up-regulated genes
NM_011065	Period homolog 1 (Drosophila)	Per1	11	2.35	Up-regulated genes
AF188007	Plectin 1	Plec1	15	2.06	Up-regulated genes
NM_181402	"Poly (ADP-ribose) polymerase family, member 11"	Parp11	6	2.31	Up-regulated genes
XM_488522	"Poly (ADP-ribose) polymerase family, member 14"	Parp14	16	3.65	Up-regulated genes
NM_146169	Poly(A) binding protein interacting protein 2B	Paip2b	6	5.87	Up-regulated genes
NM_025901	Polymerase (RNA) III (DNA directed) polypeptide K	Polr3 k	2	2.64	Up-regulated genes
NM_027869	Polyribonucleotide nucleotidyltransferase 1	Pnpt1	11	2.23	Up-regulated genes
NM_031169	"Potassium large conductance calcium-activated channel, subfamily M, beta member 1"	Kcnmb1	11	1.59	Up-regulated genes
XM_131437	Pregnancy-associated plasma protein A	Pappa	4	7.59	Up-regulated genes
NM_009439	"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 3"	Psmd3	11	2.92	Up-regulated genes
NM_011171	"Protein C receptor, endothelial"	Procr	2	1.59	Up-regulated genes
NM_010724	"Proteosome (prosome, macropain) subunit, beta type 8 (large multifunctional protease 7)"	Psmb8	17	5.32	Up-regulated genes
XM_205287	Protocadherin 19	Pcdh19	X	1.73	Up-regulated genes
NM_021384	Radical S-adenosyl methionine domain containing 2	Rsad2	12	10.1	Up-regulated genes
NM_145495	Ras and Rab interactor 1	Rin1	19	1.94	Up-regulated genes
NM_138952	Receptor (TNFRSF)-interacting serine-threonine kinase 2	Ripk2	4	1.98	Up-regulated genes
XM_132528	Replication factor C (activator 1) 3	Rfc3	5	2.19	Up-regulated genes
NM_008487	Rho/rac guanine nucleotide exchange factor (GEF) 2	Arhgef2	3	3.02	Up-regulated genes
NM_178164	ROD1 regulator of differentiation 1 (Schizosaccharomyces pombe)	Rod1	4	1.64	Up-regulated genes
NM_203507	RWD domain containing 4A	Rwdd4a	8	1.52	Up-regulated genes
NM_017380	Septin 9	9-Sep	11	1.74	Up-regulated genes
NM_009244	"Serine (or cysteine) proteinase inhibitor, clade A, member 1a"	Serpina1a	12	3.78	Up-regulated genes
NM_011315	Serum amyloid A 3	Saa3	7	24.95	Up-regulated genes
NM_011388	"Solute carrier family 10, member 2"	Slc10a2	8	1.62	Up-regulated genes
NM_011774	"Solute carrier family 30 (zinc transporter), member 4"	Slc30a4	2	1.56	Up-regulated genes
BC058669	Spire homolog 1 (Drosophila)	Spire1	18	1.65	Up-regulated genes
NM_011506	"Succinate-Coenzyme A ligase, ADP-forming, beta subunit"	Sucla2	14	3.14	Up-regulated genes
AF110520	TAP binding protein	Tapbp	17;15	2.11	Up-regulated genes
NM_011637	Three prime repair exonuclease 1	Trex1	9	2.95	Up-regulated genes
NM_011593	Tissue inhibitor of metalloproteinase 1	Timp1	X	1.95	Up-regulated genes
BC071216	"Torsin family 3, member A"	Tor3a	1	3.99	Up-regulated genes
NM_009099	Tripartite motif protein 30	Trim30	7	3.64	Up-regulated genes
XM_148271	Ubinuclein 1	Ubn1	16	2.51	Up-regulated genes
NM_011551	"Upstream binding transcription factor, RNA polymerase I"	Ubtf	11	1.82	Up-regulated genes
NM_010757	"V-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)"	Mafk	5	2.74	Up-regulated genes
NM_011683	"Vomeronasal 1 receptor, A1"	V1ra1	6	1.82	Up-regulated genes
NM_172893	Zinc finger CCCH type domain containing 1	Zc3hdc1	6	2.79	Up-regulated genes
NM_011782	"A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5"	Adamts5	16	-13.22	Down-regulated genes
NM_007475	Acidic ribosomal phosphoprotein P0	Arbp	5	-3.82	Down-regulated genes
NM_033268	Actinin alpha 2	Actn2	13	-2.75	Down-regulated genes
NM_007479	ADP-ribosylation factor 4	Arf4	14	-4.17	Down-regulated genes
NM_028390	"Anillin, actin binding protein (scraps homolog, Drosophila)"	Anln	9	-3.86	Down-regulated genes
NM_007472	Aquaporin-1	Aqp1	6	-4.18	Down-regulated genes
NM_009700	Aquaporin-4	Aqp4	18	-4.88	Down-regulated genes
NM_010872	Baculoviral IAP repeat-containing 1b	Birc1b	13	-3.39	Down-regulated genes
NM_009689	Baculoviral IAP repeat-containing 5	Birc5	11	-2.83	Down-regulated genes
NM_018819	Brain protein 44-like	Brp44l	17	-3.86	Down-regulated genes
NM_009866	Cadherin 11	Cdh11	8	-2.93	Down-regulated genes
NM_007589	calmodulin 1	Calm1	17	-2.39	Down-regulated genes
NM_009922	Calponin 1	Cnn1	9	-4.14	Down-regulated genes
NM_013494	Carboxypeptidase E	Cpe	8	-3.36	Down-regulated genes
NM_021281	Cathepsin S	Ctss	3	-6.17	Down-regulated genes
NM_153098	CD109 antigen	Cd109	9	-4.32	Down-regulated genes
NM_021704	Chemokine (C-X-C motif) ligand 12	Cxcl12	6	-9.69	Down-regulated genes
AB075019	Coiled-coil domain containing 80	Ccdc80	16	-5.84	Down-regulated genes
NM_007572	"Complement component 1, q subcomponent, alpha polypeptide"	C1qa	4	-7.74	Down-regulated genes
NM_026082	Dedicator of cytokinesis 7	Dock7	4	-3.4	Down-regulated genes
NM_019771	Destrin	Dstn	2	-3.48	Down-regulated genes
NM_030598	Down syndrome critical region gene 1-like 1	Dscr1l1	17	-3.33	Down-regulated genes
NM_019466	Down syndrome critical region homolog 1 (human)	Dscr1	16	-3.1	Down-regulated genes
NM_010078	Dystrophin related protein 2	Drp2	X	-3.91	Down-regulated genes
NM_007925	Elastin	Eln	5	-7.65	Down-regulated genes
NM_025794	"Electron transferring flavoprotein, dehydrogenase"	Etfdh	3	-4.25	Down-regulated genes
NM_007993	Fibrillin 1	Fbn1	2	-4.66	Down-regulated genes
NM_011812	Fibulin 5	Fbln5	12	-3.53	Down-regulated genes
NM_010222	FK506 binding protein 7	Fkbp7	2	-4.31	Down-regulated genes
NM_008046	Follistatin	Fst	13	-6.07	Down-regulated genes
NM_010288	Gap junction membrane channel protein alpha 1	Gja1	10	-2.77	Down-regulated genes
NM_008122	Gap junction membrane channel protein gamma 1	Gjc1	11	-3.22	Down-regulated genes
NM_008409	Integral membrane protein 2A	Itm2a	X	-5.02	Down-regulated genes
NM_00100130	In9tegrin alpha 8	Itga8	2	-5.38	Down-regulated genes
NM_028007	Integrin alpha FG-GAP repeat containing 1	Itfg1	8	-3.92	Down-regulated genes
NM_021566	Junctophilin 2	Jph2	2	-3.36	Down-regulated genes
NM_010683	"Laminin, gamma 1"	Lamc1	1	-3.27	Down-regulated genes
NM_017372	Lysozyme	Lyzs	10	-6.27	Down-regulated genes
NM_019499	"MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast)"	Mad2l1	6	-3.57	Down-regulated genes
