DAVID term (biology)	Agilent probe ID	Entrez gene ID	Gene symbol	Gene name
Axonogenesis	A_23_P7752	57556	SEMA6A	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
Axonogenesis	A_32_P100974	6152	RPL24	Ribosomal protein L24; ribosomal protein L24 pseudogene 6
Axonogenesis	A_23_P65307	84189	SLITRK6	SLIT and NTRK-like family, member 6
Axonogenesis	A_24_P365807	1947	EFNB1	Ephrin-B1
Axonogenesis	A_23_P59388	667	DST	Dystonin
Axonogenesis	A_23_P55099	5578	PRKCA	Protein kinase C, alpha
Axonogenesis	A_32_P152586	7080	NKX2-1	NK2 homeobox 1
Axonogenesis	A_24_P519638	89884	LHX4	LIM homeobox 4
Axonogenesis	A_23_P210756	6616	SNAP25	Synaptosomal-associated protein, 25kDa
Axonogenesis	A_23_P68487	655	BMP7	Bone morphogenetic protein 7
Axonogenesis	A_23_P132175	65078	RTN4R	Reticulon 4 receptor
Axonogenesis	A_24_P42624	8633	UNC5C	Unc-5 homolog C (C. elegans)
Axonogenesis	A_23_P121533	10417	SPON2	Spondin 2, extracellular matrix protein
