Affymetrix Probe ID	Gene symbol	Gene name	p-value	PPDE (<p)	Fold Difference
204379_s_at	FGFR3	fibroblast growth factor receptor 3	0.000000791	0.9998889	259.5
214404_x_at	SPDEF	SAM pointed domain containing ets transcription factor	4.21E-08	0.9999828	132.1183566
216074_x_at	WWC1	WW and C2 domain containing 1	0.0000725	0.9980377	128.5876923
209854_s_at	KLK2	kallikrein-related peptidase 2	0.0000022	0.9997871	95.70790735
209369_at	ANXA3	annexin A3	0.000282	0.9953571	95.0625
204583_x_at	KLK3	kallikrein-related peptidase 3	0.00000173	0.9998173	83.51345922
204582_s_at	KLK3	kallikrein-related peptidase 3	0.00000309	0.9997358	79.43415389
214087_s_at	MYBPC1	myosin binding protein C, slow type	0.000000123	0.999966	75.45830661
209855_s_at	KLK2	kallikrein-related peptidase 2	0.00000233	0.9997792	73.96778043
91826_at	EPS8L1	EPS8-like 1	0.0000264	0.9989669	72.41176471
219127_at	ATAD4	ATPase family, AAA domain containing 4	0.000275	0.9954304	72.26634383
209309_at	AZGP1	alpha-2-glycoprotein 1, zinc-binding	0.0000278	0.9989324	69.79375697
214598_at	CLDN8	claudin 8	0.0000182	0.9991843	67.35579107
204179_at	MB	myoglobin	0.0000748	0.9979984	66.22396576
207430_s_at	MSMB	microseminoprotein, beta-	0.00000261	0.9997626	64.75128469
202286_s_at	TACSTD2	tumor-associated calcium signal transducer 2	0.000000254	0.999946	57.28544432
205009_at	TFF1	trefoil factor 1	0.000444	0.9938125	55.57714286
205862_at	GREB1	GREB1 protein	0.00000111	0.9998622	51.5254902
33322_i_at	SFN	stratifin	0.000000031	0.9999858	48.52275339
33323_r_at	SFN	stratifin	5.88E-08	0.9999787	46.83495397
210297_s_at	MSMB	microseminoprotein, beta-	0.00000734	0.999542	45.19354839
219476_at	C1orf116	chromosome 1 open reading frame 116	0.0000421	0.9986104	44.48696535
205347_s_at	TMSB15A	thymosin beta 15a	2.32E-08	0.9999882	43.94821379
219580_s_at	TMC5	transmembrane channel-like 5	0.000117	0.9973414	42.59141631
217901_at	DSG2	desmoglein 2	0.0000119	0.9993773	37.10675217
202489_s_at	FXYD3	FXYD domain containing ion transport regulator 3	0.000000178	0.999957	36.57142857
217771_at	GOLM1	golgi membrane protein 1	0.000000828	0.9998856	36.25740637
205968_at	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	0.000858	0.9906213	35.00801282
201131_s_at	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	0.0000191	0.9991589	34.68112976
219395_at	ESRP2	epithelial splicing regulatory protein 2	0.00000799	0.9995166	32.00861538
221577_x_at	GDF15	growth differentiation factor 15	0.00000602	0.9995962	31.68636096
213541_s_at	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	0.0000399	0.998657	30.77782964
201596_x_at	KRT18	keratin 18	0.00000241	0.9997744	29.09040109
210339_s_at	KLK2	kallikrein-related peptidase 2	0.0000196	0.999145	28.80465116
200862_at	DHCR24	24-dehydrocholesterol reductase	0.0000136	0.9993222	28.33779721
209706_at	NKX3-1	NK3 homeobox 1	0.000000272	0.9999436	28.13014549
214307_at	HGD	homogentisate 1,2-dioxygenase (homogentisate oxidase)	0.000388	0.9943182	28.00535077
218211_s_at	MLPH	melanophilin	0.000000185	0.9999559	27.29548082
203485_at	RTN1	reticulon 1	0.0000373	0.9987132	27.10245673
209173_at	AGR2	anterior gradient homolog 2 (Xenopus laevis)	0.000108	0.997473	27.08325516
203196_at	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	0.00000214	0.9997908	26.0634425
206067_s_at	WT1	Wilms tumor 1	0.000567	0.9927786	25.24896694
203397_s_at	GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	0.00032	0.9949703	24.97323199
203474_at	IQGAP2	IQ motif containing GTPase activating protein 2	0.000175	0.9965682	23.25060096
213085_s_at	WWC1	WW and C2 domain containing 1	0.0000126	0.9993543	23.16734509
220225_at	IRX4	iroquois homeobox 4	0.000284	0.9953362	22.71321696
200606_at	DSP	desmoplakin	0.00000318	0.9997309	22.1979787
218035_s_at	RBM47	RNA binding motif protein 47	0.0000143	0.9993002	22.16354845
214156_at	MYRIP	myosin VIIA and Rab interacting protein	0.000114	0.9973848	21.24378109
211576_s_at	SLC19A1	solute carrier family 19 (folate transporter), member 1	0.0000159	0.9992514	21.09158633
202241_at	TRIB1	tribbles homolog 1 (Drosophila)	0.0000035	0.999714	20.98565365
209813_x_at	TARP	TCR gamma alternate reading frame protein	0.00000994	0.9994446	20.61111111
221880_s_at	FAM174B	family with sequence similarity 174, member B	0.00000657	0.9995731	19.75478927
39248_at	AQP3	aquaporin 3 (Gill blood group)	0.0000011	0.999863	19.64034047
211144_x_at	TARP	TCR gamma alternate reading frame protein /// T cell receptor gamma constant 2	0.00000379	0.9996991	19.53867644
206827_s_at	TRPV6	transient receptor potential cation channel, subfamily V, member 6	0.000238	0.99583	19.532173
213920_at	CUX2	cut-like homeobox 2	0.00000375	0.9997011	18.63983856
203824_at	TSPAN8	tetraspanin 8	0.0000299	0.9988818	18.33460803
204401_at	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	0.000163	0.9967193	17.98845346
216920_s_at	TARP	TCR gamma alternate reading frame protein /// T cell receptor gamma constant 2	0.00000207	0.9997952	17.82298112
211626_x_at	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	0.000578	0.9926904	17.60971686
218313_s_at	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	0.00000143	0.9998381	16.88487412
220723_s_at	FLJ21511	hypothetical protein FLJ21511	0.0000138	0.9993159	16.07572115
201839_s_at	EPCAM	epithelial cell adhesion molecule	0.00000106	0.9998662	16.04169686
204187_at	GMPR	guanosine monophosphate reductase	0.000082	0.9978782	15.89770911
201196_s_at	AMD1	adenosylmethionine decarboxylase 1	0.000000901	0.9998793	15.60039874
219388_at	GRHL2	grainyhead-like 2 (Drosophila)	0.000416	0.9940622	15.51549587
219806_s_at	C11orf75	chromosome 11 open reading frame 75	0.00000647	0.9995773	15.43282109
209094_at	DDAH1	dimethylarginine dimethylaminohydrolase 1	0.00000635	0.9995823	15.37285367
204934_s_at	HPN	hepsin	0.00084	0.9907458	15.35192415
220116_at	KCNN2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	0.000167	0.9966685	14.80410393
213059_at	CREB3L1	cAMP responsive element binding protein 3-like 1	0.0000118	0.9993807	14.67335936
201563_at	SORD	sorbitol dehydrogenase	0.00000492	0.9996448	14.57028769
200632_s_at	NDRG1	N-myc downstream regulated 1	0.00000119	0.9998559	14.3423905
215806_x_at	TARP	TCR gamma alternate reading frame protein /// T cell receptor gamma constant 2	0.0000133	0.9993317	14.18460272
205542_at	STEAP1	six transmembrane epithelial antigen of the prostate 1	0.000171	0.9966181	13.97136982
219049_at	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	0.00000648	0.9995769	13.90031913
202488_s_at	FXYD3	FXYD domain containing ion transport regulator 3	0.0000208	0.9991121	13.68418747
218966_at	MYO5C	myosin VC	0.0000142	0.9993033	13.63846489
221732_at	CANT1	calcium activated nucleotidase 1	0.000018	0.99919	13.50772261
203908_at	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4	0.000253	0.9956654	13.21191756
222067_x_at	HIST1H2BD	histone cluster 1, H2bd	0.0000381	0.9986958	13.09532811
35666_at	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	0.000227	0.9959531	12.54028643
204653_at	TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	0.000258	0.9956113	12.51928346
204393_s_at	ACPP	acid phosphatase, prostate	0.0000302	0.9988747	12.23126698
222075_s_at	OAZ3	ornithine decarboxylase antizyme 3	0.000344	0.9947347	12.10685752
211417_x_at	GGT1	gamma-glutamyltransferase 1	0.0000443	0.9985647	12.04977876
219584_at	PLA1A	phospholipase A1 member A	0.0000831	0.9978602	11.95608292
221582_at	HIST3H2A	histone cluster 3, H2a	0.0000447	0.9985565	11.61537409
209623_at	MCCC2	methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	0.0000999	0.997595	11.51184181
203717_at	DPP4	dipeptidyl-peptidase 4	0.000116	0.9973558	11.42319386
217776_at	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	0.00000518	0.999633	11.36840434
209696_at	FBP1	fructose-1,6-bisphosphatase 1	0.000642	0.9921893	11.33610901
212070_at	GPR56	G protein-coupled receptor 56	0.000814	0.9909275	11.19662338
202023_at	EFNA1	ephrin-A1	0.00000671	0.9995674	11.05600865
218280_x_at	HIST2H2AA3	histone cluster 2, H2aa3 /// histone cluster 2, H2aa4	0.0000282	0.9989227	11.05104885
210827_s_at	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	0.000928	0.9901461	10.90680101
200644_at	MARCKSL1	MARCKS-like 1	0.000207	0.9961828	10.35016556
212543_at	AIM1	absent in melanoma 1	0.00000552	0.9996179	10.21486738
213900_at	C9orf61	chromosome 9 open reading frame 61	0.0000484	0.9984817	10.17375085
46323_at	CANT1	calcium activated nucleotidase 1	0.000024	0.9990276	10.08811076
51158_at	FAM174B	family with sequence similarity 174, member B	0.0000205	0.9991202	9.951143451
212744_at	BBS4	Bardet-Biedl syndrome 4	0.000603	0.9924923	9.81718529
210715_s_at	SPINT2	serine peptidase inhibitor, Kunitz type, 2	0.0000442	0.9985668	9.780667321
203911_at	RAP1GAP	RAP1 GTPase activating protein	0.000505	0.993288	9.549390098
216251_s_at	TTLL12	tubulin tyrosine ligase-like family, member 12	0.00021	0.9961478	9.505660932
201690_s_at	TPD52	tumor protein D52	0.0000106	0.9994215	9.465328784
202688_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	0.000136	0.9970752	9.381198545
203130_s_at	KIF5C	kinesin family member 5C	0.000241	0.9957968	8.92860554
206723_s_at	LPAR2	lysophosphatidic acid receptor 2	0.000699	0.9917585	8.88305684
214329_x_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	0.0000323	0.9988256	8.880962402
209386_at	TM4SF1	transmembrane 4 L six family member 1	0.0000667	0.9981388	8.690147303
212445_s_at	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	0.000894	0.9903752	8.621554404
205980_s_at	ARHGAP8	Rho GTPase activating protein 8 /// PRR5-ARHGAP8 fusion /// proline rich 5 (renal)	0.000263	0.9955577	8.616524316
212473_s_at	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	0.000447	0.9937861	8.464686946
213622_at	COL9A2	collagen, type IX, alpha 2	0.000435	0.9938921	8.293426746
215017_s_at	FNBP1L	formin binding protein 1-like	0.0000336	0.9987958	8.237412471
209919_x_at	GGT1	gamma-glutamyltransferase 1	0.000926	0.9901595	8.100854972
208284_x_at	GGT1	gamma-glutamyltransferase 1	0.000309	0.9950804	8.040705128
200654_at	P4HB	prolyl 4-hydroxylase, beta polypeptide	0.00014	0.9970209	7.923270496
203394_s_at	HES1	hairy and enhancer of split 1, (Drosophila)	0.000234	0.9958745	7.851455734
215071_s_at	HIST1H2AC	histone cluster 1, H2ac	0.000552	0.9928998	7.65850612
209911_x_at	HIST1H2BD	histone cluster 1, H2bd	0.000295	0.9952227	7.626212208
201079_at	SYNGR2	synaptogyrin 2	0.000746	0.9914131	7.518045418
201704_at	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	0.000158	0.9967834	7.364495206
219517_at	ELL3	elongation factor RNA polymerase II-like 3	0.000145	0.9969539	7.281072913
212899_at	CDC2L6	cell division cycle 2-like 6 (CDK8-like)	0.0000329	0.9988118	7.193096009
201579_at	FAT1	FAT tumor suppressor homolog 1 (Drosophila)	0.0000826	0.9978683	7.093837127
209340_at	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	0.0000246	0.9990122	7.041946545
219848_s_at	ZNF432	zinc finger protein 432	0.000107	0.9974879	6.965043474
