GenBank	Symbol	Gene	M	A
X72755	MIG	Interferon gamma-induced monokine	3.8	20.2
X05232	MMP3	Matrix metalloproteinase 3	3.7	21.7
J03634	INHBA	Inhibin beta A subunit	3	19.7
X02530	IP10	Interferon gamma-induced protein 10	2.9	19.6
J04130	MIP1B	Macrophage inflammatory protein 1 beta	2.6	20.7
Z71389	hBD2	Beta-defensin 2	2.6	22.4
X03124	TIMP1	Tissue inhibitor of metalloproteinase 1	2.4	21.9
M86757	S100A7	Psoriasin	1.9	23
M68520	CDK2	Cyclin-dependent protein kinase 2	1.8	19.8
X02920	PI1	Protease inhibitor 1	1.8	20.2
X57766	MMP11	Matrix metalloproteinase 11	1.7	20.5
M11886	HLAC	Major histocompatibility complex class I C	1.6	21.8
M23452	MIP1A	Macrophage inflammatory protein 1 alpha	1.6	21.2
U28424	P58IPK	58-kDa inhibitor of the RNA-activated protein kinase	1.4	19.7
K02770	IL1B	Interleukin 1 beta	1.3	21
M24545	MCP1	Monocyte chemotactic protein 1	1.3	20.2
M75914	IL5RA	Interleukin 5 receptor alpha subunit	1.2	20.3
D45248	HPA28	Proteasome activator HPA28 subunit beta	1.2	21.8
M74816	CLU	Clusterin	1.2	20.8
M36430	GNB1	Transducin beta 1	1.2	20.5
X89986	BIK	BCL2-interacting killer protein	1	20.6
X06374	PDGFA	Platelet-derived growth factor A subunit	-1	22.4
U77604	GST2	Microsomal glutathione S-transferase II	-1	20
M14631	GNAS1	Guanine nucleot-bind. prot.alpha stimul. activity polyp. 1	-1.1	23
M13150	MAS	Mas proto-oncogene	-1.1	19.8
M37435	CSF1	Macrophage-specific colony-stimulating factor	-1.1	20.4
X08058	GSTP1	Glutathione S-transferase pi	-1.1	22.5
X52946	PTN	Pleiotrophin	-1.2	20.2
U02082	TIM1	Guanine nucleotide regulatory protein tim1	-1.2	19.7
U18840	MOG	Myelin-oligodendrocyte glycoprotein	-1.3	19.9
X53655	NT3	Neurotrophin 3	-1.3	22
X54079	HSP27	27-kDa heat shock protein	-1.4	23.2
M73812	CCNE	G1/S-specific cyclin E	-1.4	20.1
D10925	CCR1	CC chemokine receptor type 1	-1.4	19.7
M68867	CRABP2	Cellular retinoic acid-binding protein II	-1.5	21.1
M14200	ACBP	Acyl-CoA-binding protein	-1.6	21.3
L06895	MAD	MAX dimerization protein	-1.6	19.8
M15800	MAL	T-lymphocyte maturation-associated protein	-1.7	22.1
X78686	ENA78	Epithelial-derived neutrophil-activating peptide 78	-1.7	20.4
U32944	PIN	Protein inhibitor of neuronal nitric oxide synthase	-2	20.9
U07418	MLH1	mutL protein homolog1	-2.8	20.5
