AffyID	Gene Symbol	Gene Description	Fold change	Significance, value
161045	Lrrn1	Leucine rich repeat protein 1, neuronal	29.2	0.999999
99126	Xist	Inactive X specific transcripts	17.5	0.999987
101993	Tnc	Tenascin C	5	0.999995
161294	Clu	Clusterin	4.8	0.999999
95286	Clu	Clusterin	4.5	0.999999
104598	Dusp1	Dual specificity phosphatase 1	4.2	0.999999
93097	Arg1	Arginase 1, liver	4.2	0.999999
103430	Dbn1	Drebrin 1	4	0.999999
97890	Sgk	Serum/glucocorticoid regulated kinase	3.8	0.999999
160469	Thbs1	Thrombospondin 1	3.7	0.999999
94515	Sqrdl	Sulfide quinone reductase-like (yeast)	3.6	0.999995
93705	Chrnb1	Cholinergic receptor, nicotinic,  polypeptide 1 (muscle)	3.5	0.999996
160522	Gadd45g	Growth arrest and DNA-damage-inducible 45 gamma	3.2	0.999998
102298	Ngfb	Nerve growth factor, beta	3.2	0.999999
101359	Lamb2	Laminin, beta 2	3.2	0.999997
93122	Aeg1	Acidic epididymal glycoprotein 1	3	0.999999
