Gene identity	Chromosomal location	Function	Expression	logFC	P
ACY1	3p21.1	Hydrolysis of aminoacids	High	0.72	0.041
BCL2	18q21	Apoptosis	High	1.03	0.047
BLNK	10q23	B-cell adaptor	High	0.73	0.051
ENTPD1	10q24	Diphosphohydrolase	High	0.53	0.196
FOXP1	3p14.1	Transcription factor	High	0.74	0.099
FUT8	14q24.3	Fucosylation	High	0.99	0.022
IGF2BP3	7p11	RNA synthesis	High	1.38	0.022
IMPDH2	3p21.2	Guanine nucleotide biosynthesis	High	0.54	0.167
JAK2	9p24	Tyrosine kinase	High	0.75	0.048
PIM1	6p21.2	Protein kinase	High	0.57	0.156
RASGRF1	15q24.2	Ras pathway	High	1.16	0.114
RFC4	3q27	DNA elongation	High	0.73	0.015
RMI1	9q21.32	Processing of homologous recombination	High	0.71	0.021
RPL15	3p24.2	Ribosomal protein	High	0.58	0.101
SLBP	4p16.3	Histone hair-pin binding protein	High	0.98	0.001
TMEM97	17q11.2	Transmembrane protein	High	0.52	0.061
AUTS2	7q11	Tumor suppressor gene	Low	?1.49	0.033
CDKN2A	9p21	G1/S regulation	Low	?4.06	0
CDKN2B	9p21	G1/S regulation	Low	?1.25	0.01
DENND3	8q24.3	Unknown	Low	?1.31	0.015
ITPKB	1q42.13	Inositol phosphokinase	Low	?1.46	0.003
LMO2	11p13	Cystein-rich protein	Low	?2.19	0.001
LPP	3q28	Transcription factor	Low	?.52	0.165
PDXK	21q22.3	Pyridoxine kinase	Low	?.99	0.001
PLAU	10q24	Plasminogen activator	Low	?.90	0.034
PPAP2B	1pter-p22	Phosphatidic acid phosphatase	Low	?.55	0.175
UPP1	7p12.3	Uridine phosphorylase	Low	?1.14	0.01
