Probe Set ID	p-value	Gene Symbol
1729_at	0.001681684	TRADD
38158_at	0.000536254	ESPL1
201278_at	0.001555027	DAB2
201449_at	0.000904098	TIA1
201791_s_at	0.001393913	DHCR7
203213_at	0.000742876	CDC2
203409_at	0.001637155	DDB2
203651_at	0.001415583	ZFYVE16
203804_s_at	0.001311544	CROP
204033_at	0.001352226	TRIP13
204822_at	0.001089921	TTK
205068_s_at	0.001554075	ARHGAP26
205641_s_at	0.001645656	TRADD
206562_s_at	0.001329155	CSNK1A1
207828_s_at	0.001156233	CENPF
209200_at	0.000839687	MEF2C
211527_x_at	0.00095314	VEGFA
212717_at	0.001130809	PLEKHM1
212757_s_at	0.000258593	CAMK2G
213007_at	0.000323885	FANCI
213675_at	0.000977668
217734_s_at	0.000357514	WDR6
218263_s_at	0.001729251	ZBED5
218272_at	0.00103744	LL22NC03-5H6.5
218308_at	0.000499906	TACC3
218589_at	0.001441573	P2RY5
219588_s_at	0.0011204	NCAPG2
221290_s_at	0.000656581	MUM1
