Gene Bank ID	HUGO_Symbol	Cytoband	Cell Line	2log Ratio	SAM q-value
NM_018674	ACCN4	2q35	PC346C	0.7	0
NM_004457	ACSL3	2q34-q35	PC346Flu1	2	0
NM_014109	ATAD2	8q24.13	PC346Flu1	0.8	0
AK027213	BBS10	12q21.2	PC346Flu1	0.8	0
NM_020235	BBX	3q13.1	PC346Flu1	0.8	0.007
AK024850	C2orf31	2q34	PC346Flu1	1.3	0
NM_006079	CITED2	6q23.3	PC346Flu1	1	0
AK026498	CYP2U1	4q25	PC346Flu1	1.5	0
NM_012062	DNM1L	12p11.21	PC346Flu1	1.4	0
NM_018456	EAF2	3q13.33	PC346Flu1	2.3	0
AK026517	EHF	11p12	PC346Flu1	0.6	0
AK022827	EIF2C3	1p34.3	PC346C / PC346Flu1	0.6 / 1.0	0.056 / 0.000
NM_012081	ELL2	5q15	PC346Flu1 / PC346Flu2	1.8 / 1.0	0.000 / 1.093
AF111849	ELOVL5	6p21.1-p12.1	PC346Flu1	1.5	0
AB020637	ENDOD1	11q21	PC346Flu1 / PC346Flu2	1.3 / 1.1	0.000 / 1.093
NM_019018	FAM105A	5p15.2	PC346Flu1	1	0
AK024648	FAM107B	10p13	PC346Flu1	0.8	0.007
AL137343	FAM84A	2p24.3	PC346Flu1	1.1	0
NM_004117	FKBP5	6p21.3-21.2	PC346C / PC346Flu1 / PC346Flu2	1.9 / 4.2 / 1.7	0.000 / 0.000 / 1.093
AK024715	FLJ21062	7q21.13	PC346Flu1	1.4	0
NM_020474	GALNT1	18q12.1	PC346Flu1	0.8	0
NM_005271	GLUD1	10q23.3	PC346Flu1	1.1	0
NM_002069	GNAI1	7q21	PC346Flu1	0.9	0
AB042410	GPR88	1p21.3	PC346C / PC346Flu1 / PC346Flu2	1.4 / 3.0 / 2.6	0.000 / 0.000 / 0.125
NM_001530	HIF1A	14q21-q24	PC346Flu1	1.2	0
NM_003543	HIST1H4H	6p21.3	PC346Flu1	1.7	0
M60721	HLX	1q41-q42.1	PC346Flu1 / PC346Flu2	0.7 / 0.6	0.000 / 1.093
NM_014642	IQCB1	3q13.33	PC346Flu1	0.8	0.139
NM_002241	KCNJ10	1q22-q23	PC346C	0.7	0.056
AL137384	KIAA1109	4q27	PC346C	0.6	0.027
NM_001206	KLF9	9q13	PC346Flu1	0.8	0
AF188747	KLK2	19q13.41	PC346C / PC346Flu1 / PC346Flu2	0.8 / 1.1 / 1.0	0.000 / 0.000 / 1.093
AK026375	LOC93622	4p16.1	PC346Flu1	1	0
NM_005461	MAFB	20q11.2-q13.1	PC346Flu1	1.1	0
NM_003010	MAP2K4	17p11.2	PC346Flu1	0.8	0
AB050049	MCCC2	5q12-q13	PC346Flu1	1.1	0
AK021627	MORC4	Xq22.3	PC346Flu1	1.2	0
AF142409	MS4A6A	11q12.1	PC346Flu1	0.8	0.45
NM_005956	MTHFD1	14q24	PC346C	0.6	0
NM_016498	MTP18	22q	PC346C	0.6	0
NM_000662	NAT1	8p23.1-p21.3	PC346Flu1	1.7	0
AF039944	NDRG1	8q24.3	PC346Flu1	1.6	0
NM_006096	NDRG1	8q24.3	PC346Flu1	2.6	0
AK026383	NDRG1	8q24.3	PC346Flu1	2.1	0
NM_005596	NFIB	9p24.1	PC346Flu1	0.8	0.077
NM_020529	NFKBIA	14q13	PC346C / PC346Flu1 / PC346Flu2	0.7 / 2.4 / 0.7	0.000 / 0.000 / 1.093
NM_016590	PART1	5q12.1	PC346Flu1	1.5	0
NM_006810	PDIA5	3q21.1	PC346C / PC346Flu1	0.5 / 1.4	0.000 / 0.000
NM_016166	PIAS1	15q	PC346Flu1	1.3	0
AF070670	PPM1A	14q23.1	PC346Flu1	0.7	0
NM_004156	PPP2CB	8p12-p11.2	PC346Flu1	0.9	0
NM_002923	RGS2	1q31	PC346Flu2	0.7	0
D16875	RHOB	2p24	PC346Flu1	1.6	0
AK001478	RHOU	1q42.11-q42.3	PC346C / PC346Flu1 / PC346Flu2	0.8 / 2.3 / 1.0	0.000 / 0.000 / 0.000
AB051826	RHOU	1q42.11-q42.3	PC346Flu1	2.5	0
NM_005627	SGK1	6q23	PC346Flu1	0.9	0
AB040914	SHROOM3	4q21.1	PC346Flu1	1	0.012
NM_004595	SMS	Xp22.1	PC346Flu1	1.1	0
NM_003082	SNAPC1	14q22	PC346Flu1	0.6	0.166
NM_003104	SORD	15q15.3	PC346Flu1	1.2	0
NM_012449	STEAP1	7q21	PC346C / PC346Flu1 / PC346Flu2	0.8 / 1.7 / 1.0	0.000 / 0.000 / 1.093
AK026813	STEAP2	7q21	PC346Flu1 / PC346Flu2	1.1/ 0.7	0.000 / 0.000
NM_005656	TMPRSS2	21q22.3	PC346C	0.6	0.117
NM_005079	TPD52	8q21	PC346Flu1 / PC346Flu2	1.2 / 0.7	0.000 / 0.208
AF294628	TWSG1	18p11.3	PC346Flu1	1	0
NM_003115	UAP1	1q23.3	PC346Flu1	1	0
NM_003359	UGDH	4p15.1	PC346C / PC346Flu1	0.6 / 1.9	0.098 / 0.000
AK001647	USP40	2q37.1	PC346C	0.7	0
AB020676	WWC1	5q34	PC346Flu1	0.7	0
AK022814	ZBTB10	8q13-q21.1	PC346Flu1 / PC346Flu2	1.3 / 0.5	0.000 / 1.093
NM_006006	ZBTB16	11q23.1	PC346C / PC346Flu1 / PC346Flu2	0.9 / 1.6 / 1.5	0.000 / 0.000 / 1.093
AF025771	ZNF189	9q22-q31	PC346Flu1	1.5	0
AL157445			PC346Flu1	1	0.007
D17210			PC346Flu1	1	0
