Probe Set ID	UniGene ID	Gene Title	Gene Symbol	Chromosomal Location
213532_at	Hs.404914	ADAM metallopeptidase domain 17	ADAM17	chr2p25
223660_at	Hs.281342	adenosine A3 receptor	ADORA3	chr1p13.2
200966_x_at	Hs.513490	aldolase A, fructose-bisphosphate	ALDOA	chr16q22-q24
205568_at	Hs.104624	aquaporin 9	AQP9	chr15q22.1-22.2
224376_s_at	Hs.584985	chromosome 20 open reading frame 24	C20orf24	chr20q11.23
224972_at	Hs.472564	chromosome 20 open reading frame 52	C20orf52	chr20q11.22
200625_s_at	Hs.370581	CAP, adenylate cyclase-associated protein 1	CAP1	chr1p34.2
201850_at	Hs.516155	capping protein (actin filament), gelsolin-like	CAPG	chr2p11.2
205098_at	Hs.301921	chemokine (C-C motif) receptor 1	CCR1	chr3p21
203645_s_at	Hs.504641	CD163 molecule	CD163	chr12p13.3
209396_s_at	Hs.382202	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	chr1q32.1
204971_at	Hs.518198	cystatin A (stefin A)	CSTA	chr3q21
202190_at	Hs.172865	cleavage stimulation factor, subunit 1, 50kDa	CSTF1	chr20q13.31
1554863_s_at	Hs.473133	docking protein 5	DOK5	chr20q13.2
224336_s_at	Hs.536535	dual specificity phosphatase 16	DUSP16	chr12p13
218282_at	Hs.632276	ER degradation enhancer mannosidase a-like 2	EDEM2	chr20q11.22
216836_s_at	Hs.446352	v-erb-b2 erythroblastic leukemia viral oncogene	ERBB2 (HER2)	chr17q11.2-q12
203561_at	Hs.78864	IgG Fc fragment, IIa, receptor (CD32)	FCGR2A	chr1q23
210889_s_at	Hs.352642	IgG Fc fragment, IIb, receptor (CD32)	FCGR2B	chr1q23
210992_x_at	Hs.78864	IgG Fc fragment, IIc, receptor (CD32)	FCGR2C	chr1q23.3
204007_at	Hs.176663	IgG Fc fragment, IIIb, receptor (CD16b)	FCGR3B	chr1q23
217782_s_at	Hs.268530	G protein pathway suppressor 1	GPS1	chr17q25.3
212355_at	Hs.558466	KIAA0323	KIAA0323	chr14q12
203364_s_at	Hs.410092	KIAA0652	KIAA0652	chr11p11.2
230252_at	Hs.155538	lysophosphatidic acid receptor 5	LPAR5	chr12p13.31
228360_at	Hs.357567	hypothetical protein LOC130576	LOC130576	chr2q23.2
226710_at	Hs.105685	similar to RIKEN cDNA C030006K11 gene	MGC70857	chr8q24
224324_at	Hs.131072	maestro	MRO	chr18q21
226241_s_at	Hs.355935	mitochondrial ribosomal protein L52	MRPL52	chr14q11.2
214770_at	Hs.632045	macrophage scavenger receptor 1	MSR1 (CD204)	chr8p22
205460_at	Hs.156832	neuronal PAS domain protein 2	NPAS2	chr2q11.2
209222_s_at	Hs.473254	oxysterol binding protein-like 2	OSBPL2	chr20q13.3
210907_s_at	Hs.478150	programmed cell death 10	PDCD10	chr3q26.1
238693_at	Hs.529592	Polyhomeotic like 3 (Drosophila)	PHC3	chr3q26.2
203691_at	Hs.112341	peptidase inhibitor 3, skin-derived (SKALP)	PI3	chr20q12-q13
226577_at	Hs.593811	Presenilin 1 (Alzheimer diseas 3)	PSEN1	chr14q24.3
217811_at	Hs.369052	selenoprotein T	SELT	chr3q25.1
222523_at	Hs.401388	SUMO1/sentrin/SMT3 specific peptidase 2	SENP2	chr3q27.2
227518_at	Hs.585896	solute carrier family 35, member E1	SLC35E1	chr19p13.11
1552671_a_at	Hs.496057	solute carrier family 9 (Na/H exchanger), 7	SLC9A7	chrXp11.3-11.23
222410_s_at	Hs.583855	sorting nexin 6	SNX6	chr14q13.2
203114_at	Hs.25723	Sjogrens syndrome/scleroderma autoantigen 1	SSSCA1	chr11q13.1
223478_at	Hs.530373	translocase of inner mitochondrial 8 homolog B	TIMM8B	chr11q23.1-q23.2
212769_at	Hs.287362	transducin-like enhancer of split 3	TLE3	chr15q22
204787_at	Hs.8904	V-set and immunoglobulin domain containing 4	VSIG4	chrXq12-q13.3
221247_s_at	Hs.900069	Williams-Beuren syndrome region 16	WBSCR16	chr7q11.23
202939_at	Hs.591501	zinc metallopeptidase (STE24 homolog, yeast)	ZMPSTE24	chr1p34
219050_s_at	Hs.121025	zinc finger, HIT type 2	ZNHIT2	chr11q13
