Spot no	Gene	Gene name	Protein	Group
51, 63	PA0026		Hypothetical protein	Secretome
65	PA0888	aotJ	Arginine/ornithine binding protein AotJ	Secretome
54	PA1065		Conserved hypothetical protein	Secretome
66	PA1342		Probable binding protein component of ABC transporter	Secretome
60d	PA1493	cysP	Sulfate-binding protein of ABC transporter	Secretome
45	PA1673		Hypothetical protein	Secretome
64d	PA1706	pcrV	Type III secretion protein PcrV	Secretome
55	PA4175	prpL	PvdS-regulated endoprotease, lysyl class	Secretome
69	PA5489	dsbA	Thiol:disulfide interchange protein DsbA	Secretome
59	PA4265 PA4277	tufAtufB	Elongation factor Tu, TufA Elongation factor Tu, TufB	Secretome
41d	PA0139	ahpC	Alkyl hydroperoxide reductase subunit C	Secretome
1, 2, 3	PA0572		Hypothetical protein	Secretome
29, 30, 32d	PA0852	cbpD	Chitin-binding protein CbpD precursor	Secretome
4, 5, 6, 8, 19, 20, 44	PA1086	flgK	Flagellar hook-associated protein 1 FlgK	Secretome
18	PA1087	flgL	Flagellar hook-associated protein type 3 FlgL	Secretome
13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 46, 47, 48, 49, 50, 57, 58, 67, 68	PA1092	fliC	Flagellin type B	Secretome
26, 27, 28, 37, 38, 39, 52, 53, 56	PA1094	fliD	Flagellar capping protein FliD	Secretome
33	PA1158		Probable two-component sensor	Secretome
7	PA1294	aprA	Alkaline metalloproteinase precursor AprA	Secretome
42	PA1784		Hypothetical protein	Secretome
9	PA2939	pepB	Probable aminopeptidase	Secretome
31, 34, 35, 36	PA3724	lasB	Elastase LasB	Secretome
40	PA3746	ffh	Signal recognition particle protein Ffh	Secretome
10, 12d	PA4385	groEL	GroEL protein	Secretome
11	PA5192	pckA	Phosphoenolpyruvate carboxykinase PckA	Secretome
82	PA0609	trpE	Anthranilate synthase (EC 4.1.3.27) alpha chain	Cytosolic proteins
81	PA1596	htpG	Heat shock protein HtpG	Cytosolic proteins
86d	PA3244	minD	Cell division inhibitor MinD	Cytosolic proteins
87	PA3397	fpr	Ferredoxin-NADP reductase	Cytosolic proteins
84	PA3635	eno	Enolase	Cytosolic proteins
85	PA4602	glyA3	Serine hydroxymethyltransferase GlyA3	Cytosolic proteins
83	PA0139	ahpC	Alkyl hydroperoxide reductase subunit C	Cytosolic proteins
73	PA0230	pcaB	3-Carboxy-cis,cis-muconate cycloisomerase PcaB	Cytosolic proteins
71	PA0766	mucD	Serine protease MucD precursor	Cytosolic proteins
76	PA0837	slyD	Peptidyl-prolyl cis-transisomerase SlyD	Cytosolic proteins
74	PA1337	ansB	Glutaminase asparaginase AnsB	Cytosolic proteins
75	PA1344	yvaG	Probable short-chain dehydrogenase	Cytosolic proteins
79	PA1584	sdhB	Succinate dehydrogenase (B subunit) SdhB	Cytosolic proteins
80	PA1900	phzB2	Probable phenazine biosynthesis protein PhzB2	Cytosolic proteins
77d	PA3529	tsaA	Probable peroxidase	Cytosolic proteins
78d	PA4366	sodB	Superoxide dismutase SodB	Cytosolic proteins
72	PA5173	arcC	Carbamate kinase ArcC	Cytosolic proteins
