UniGene ID	Gene Symbol	Gene Name
Hs.332422	ASPH	aspartate beta-hydroxylase
Hs.506759	ATP2A2	ATPase, Ca2+ transporting, cardiac muscle, slow twitch 2
Hs.57975	CASQ2	calsequestrin 2 (cardiac muscle)
Hs.65758	ITPR3	inositol 1,4,5-triphosphate receptor, type 3
Hs.170839	PLN	phospholamban
Hs.109514	RYR2	ryanodine receptor 2 (cardiac)
Hs.468274	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1
Hs.654601	TRDN	Triadin
Hs.509083	AKAP6	A kinase (PRKA) anchor protein 6
Hs.654438	ANK1	ankyrin 1, erythrocytic
Hs.448589	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)
Hs.657344	ATP2A1	ATPase, Ca2+ transporting, cardiac muscle, fast twitch 1
Hs.150749	BCL2	B-cell CLL/lymphoma 2
Hs.458482	CABP1	calcium binding protein 1
Hs.118262	CACNA1C	hypothetical protein LOC100131098; calcium channel, voltage-dependent, L type, alpha 1C subunit
Hs.143535	CAMK2A	calcium/calmodulin-dependent protein kinase II alpha
Hs.98303	CAV3	caveolin 3
Hs.621460	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)
Hs.489786	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)
Hs.661104	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)
Hs.654675	CSNK2A1	casein kinase 2, alpha 1 polypeptide pseudogene; casein kinase 2, alpha 1 polypeptide
Hs.82201	CSNK2A2	casein kinase 2, alpha prime polypeptide
Hs.631596	DMPK	dystrophia myotonica-protein kinase
Hs.488293	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
Hs.709461	FKBP1B	FK506 binding protein 1B, 12.6 kDa
Hs.514590	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate
Hs.591761	HOMER1	homer homolog 1 (Drosophila)
Hs.436885	HRC	histidine rich calcium binding protein
Hs.471508	IRS1	insulin receptor substrate 1
Hs.442344	IRS2	insulin receptor substrate 2
Hs.567295	ITPR1	inositol 1,4,5-triphosphate receptor, type 1
Hs.715765	ITPR1	inositol 1,4,5-triphosphate receptor, type 1
Hs.183994	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isoform
Hs.79081	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform
Hs.458309	PPP1R3A	protein phosphatase 1, regulatory (inhibitor) subunit 3A
Hs.500067	PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform
Hs.631630	PRKACA	protein kinase, cAMP-dependent, catalytic, alpha
Hs.487325	PRKACB	protein kinase, cAMP-dependent, catalytic, beta
Hs.158029	PRKACG	protein kinase, cAMP-dependent, catalytic, gamma
Hs.466664	RYR1	ryanodine receptor 1 (skeletal)
Hs.709373	RYR3	ryanodine receptor 3
Hs.515715	S100A1	S100 calcium binding protein A1
Hs.334629	SLN	sarcolipin
Hs.702907	SPDYA	protein phosphatase 1, catalytic subunit, beta isoform; speedy homolog A (Xenopus laevis)
Hs.489040	SRI	sorcin
Hs.250687	TRPC1	transient receptor potential cation channel, subfamily C, member 1
Hs.150981	TRPC3	transient receptor potential cation channel, subfamily C, member 3
Hs.262960	TRPC4	transient receptor potential cation channel, subfamily C, member 4
Hs.657709	TRPC5	transient receptor potential cation channel, subfamily C, member 5
Hs.159003	TRPC6	transient receptor potential cation channel, subfamily C, member 6
Hs.591263	TRPC7	transient receptor potential cation channel, subfamily C, member 7
Hs.369759	TRPM2	transient receptor potential cation channel, subfamily M, member 2
Hs.643544	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide
Hs.591239	YWHAE	similar to 14-3-3 protein epsilon (14-3-3E) (Mitochondrial import stimulation factor L subunit)
Hs.74405	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
