Biological Function	Gene Symbol	Expression Ratio to Control IFN gamma/TNF alpha	Genbank
Chemotaxis	IL8	117	NM_000584
Chemotaxis	CCL8	98	NM_005623
Chemotaxis	CXCL10	91	NM_001565
Chemotaxis	CXCL9	73	NM_002416
Chemotaxis	CCL2	45	NM_002982
Chemotaxis	CXCL11	41	NM_005409
Chemotaxis	CXCL2	37	NM_002089
Chemotaxis	CCRL1	19	NM_178445
Chemotaxis	CCL3	17	NM_002983
Chemotaxis	CCL28	12	NM_148672
Chemotaxis	CCL13	11	NM_005408
Chemotaxis	CXCL16	11	NM_022059
Chemotaxis	CCL5	9	NM_002985
Chemotaxis	IL16	0.13	NM_004513
Chemotaxis	CXCL12	0.17	NM_000609
Chemotaxis	IL18	0.25	NM_001562
Chemotaxis	CXCL14	0.49	NM_004887
Interleukin Signaling	IL10	3	NM_000572
Interleukin Signaling	IL4R	4	NM_000418
Interleukin Signaling	IL6	2	NM_000600
Interleukin Signaling	IL15	43	NM_172174
Interleukin Signaling	IL23A	2	NM_016584
Interleukin Signaling	IL1B	42	NM_000576
TLR Signaling	TLR2	57	NM_003264
TLR Signaling	TLR3	5	NM_003265
TLR Signaling	MyD88	12	NM_002468
NF-kB Signaling	ApoL3	16	NM_145641
NF-kB Signaling	RIPK2	11	NM_003821
NF-kB Signaling	TNFRSF1A	2	NM_001065
NF-kB Signaling	RelA	8	BC110830
NF-kB Signaling	TRAF2	4	NM_021138
NF-kB Signaling	IRAK2	0.24	NM_001570
Co-stimulation	CD40	33	NM_001250
Co-stimulation	CD86	2.32	NM_006889
Co-stimulation	ICOSLG	173	NM_015259
Lymphocyte Function	TNFSF13B	31	NM_006573
Lymphocyte Function	CD74	13	NM_001025158
Lymphocyte Function	Rab27A	6	NM_004580
Lymphocyte Function	ELF1	4	NM_172373
Lymphocyte Function	LAT	3	NM_014387
Lymphocyte Function	KLF6	4	NM_001300
Lymphocyte Function	BST2	20	NM_004335
Lymphocyte Function	CBLB	0.13	NM_170662
Lymphocyte Function	SOCS5	0.16	NM_144949
Lymphocyte Function	IL11	0.33	NM_000641
Lymphocyte Function	MSH2	0.3	NM_000251
Lymphocyte Function	TCF3	0.33	NM_003200
Lymphocyte Function	BCAR1	0.46	NM_014567
JAK-STAT Signaling	STAT2	154	NM_005419
JAK-STAT Signaling	STAT3	5	NM_213662
JAK-STAT Signaling	STAT5A	9	NM_003152
JAK-STAT Signaling	STAT5B	4	BC020868
JAK-STAT Signaling	SOCS3	13	NM_003955
JAK-STAT Signaling	APRF	5	NM_213662
JAK-STAT Signaling	CIS3	6	NM_003745
JAK-STAT Signaling	NMI	16	NM_004688
JAK-STAT Signaling	GBP1	55	NM_002053
JAK-STAT Signaling	JAK2	4	NM_004972
