Cluster	Function	Gene name	Accession no.	Change (fold) at 2h postinfection	Change (fold) at 6h postinfection	Change (fold) at 16h postinfection
3		Diacylglycerol kinase, alpha (80 kDa)	AA456830	2.01	1.17	0.9
3		Golgi autoantigen golgin subfamily a2	AA424786	2.41	0.97	1.01
3		H2B histone family member B	N33927	5.94	0.78	0.61
3		H3 histone family member B	AI399887	4.92	1.12	1.11
3		Hypothetical protein FLJ10569	AA195648	2	1.41	0.85
4		Interferon gamma protein 16	AA490996	0.84	1.2	0.33
5	Adhesion and migration	Exportin1 (CRM1 yeast homolog)	T59055	2.1	0.2	0.15
5	Adhesion and migration	Fibrillarin	AA663986	1.47	0.5	0.49
5	Adhesion and migration	Karyopherin (importin) beta 1	AA251527	2.01	0.2	0.18
5	Adhesion and migration	Kinesin family member 5B	AA046690	2.31	0.17	0.17
5	Adhesion and migration	Matrin 3	AA075307	1.38	0.4	0.48
5	Splicing factors	Splicing factor arginine/serine-rich (transformer 2 Drosophila homolog) 10	H11720	1.97	0.2	0.15
5	Splicing factors	Splicing factor arginine/serine-rich 2	AA454585	1.95	0.16	0.12
5	Splicing factors	Splicing factor arginine/serine-rich 3	AA598400	1.41	0.43	0.31
5	Splicing factors	Splicing factor (CC1.3)	H47069	1.6	0.32	0.2
5	Transcription	Metal-regulatory transcription factor 1	AA448256	1.47	0.49	0.5
5	Translation	Eukaryotic translation initiation factor 1A	AA281733	2.25	0.72	0.5
5	Translation	Eukaryotic translation initiation factor 1A Y chromosome	AA047039	2.3	0.29	0.29
5	Translation	Eukaryotic translation initiation factor 5A	AA878570	2.19	0.43	0.35
5	Translation	Eukaryotic translation initiation factor 3 subunit 10 (theta 150/170 kDa)	R60031	2.93	0.21	0.14
6	ATPases	ATP binding protein associated with cell differentiation	N80741	1.46	0.21	0.11
6	ATPases	ATP synthase H+ transporting mitochondrial F0 complex subunit b isoform 1	AA453765	1.39	0.18	0.12
6	ATPases	ATP synthase H+ transporting mitochondrial F0 complex subunit c (subunit 9) isoform 2	AA455126	1.43	0.2	0.09
6	ATPases	ATPase H+ transporting lysosomal (vacuolar proton pump) member J	AA608567	1.37	0.17	0.11
6	ATPases	ATPase Na+/K+ transporting beta 3 polypeptide	AA486417	1.23	0.2	0.13
6	Apoptosis	Caspase 3 apoptosis-related cysteine protease	R42530	1.56	0.12	0.04
6	Apoptosis	Caspase 8 apoptosis-related cysteine protease	AA448468	1.17	0.3	0.21
6	Apoptosis	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 1	AA425687	1.38	0.21	0.2
6	Apoptosis	Death-associated protein 3	AA488173	1.59	0.22	0.21
6	Apoptosis	Programmed cell death 5	AA156940	0.79	0.26	0.23
6	Apoptosis	Death-associated protein 6	AA487253	1.74	0.13	0.12
6	Cell cycle	Cyclin A2	AA608568	1.21	0.57	0.39
6	Cell cycle	Cyclin C	AA451686	1.85	0.39	0.14
6	Cell cycle	Cyclin D1	AA487486	1.06	1	0.35
6	Cell cycle	Cyclin G1	AA082943	1.24	0.62	0.4
6	Cell cycle	CDC16 (cell division cycle 6 S. cerevisiae homolog)	AA410604	1.18	0.13	0.08
6	Cell cycle	Cell division cycle 2 G1 to S and G2 to M	AA598974	1.03	0.25	0.18
6	Cell cycle	Cyclin H	AA454146	1.27	0.73	0.45
6	Cell cycle	Cell division cycle 25A	H59260	1	0.56	0.47
6	Cell cycle	Cytochrome c oxidase subunit VIa polypeptide 1	AA482243	0.68	0.07	0.38
6	Cell cycle	Cytochrome c oxidase subunit VIb	N71160	0.68	0.09	0.1
6	Cell cycle	Cytochrome c oxidase ubunit VIIa polypeptide 2 (liver)	A1002403	0.54	0.08	0.06
6	Cell cycle	Cytochrome c oxidase subunit VIIc	AA629719	1.11	0.38	0.36
6	Cell cycle	Cytochrome P450 subfamily IIIA (niphedipine oxidase) polypeptide 4	R91078	0.91	0.45	0.41
6	Cell cycle	Cytochrome c-1	AA447774	0.3	0.21	0.04
6	Cytoskeleton	Actin gamma 2 smooth muscle enteric	T60048	1.62	0.22	0.13
6	Cytoskeleton	Actin-related protein 2/3 complex subunit 3 (21 kDa)	H73961	1.58	0.19	0.12
6	Cytoskeleton	Actin-related protein 2/3 complex subunit 5 (16 kDa)	W55964	1.74	0.13	0.09
6	Cytoskeleton	Calnexin	AA126265	1.28	0.22	0.15
6	Cytoskeleton	Calumenin	R78586/R78585	1.37	0.19	0.11
