Curated Gene Symbol	Gene ID	Symbol	Zs score Advac	Z score AdE2
SMPD3	NM_018667	SMPD3	0.232193016	4.971181527
GNAL	NM_002071	GNAL	-1.184241635	3.698518685
PLAC8	NM_016619	PLAC8	1.289808217	3.366656028
LPCAT2	NM_017839	LPCAT2	-2.092079077	3.183177848
IL6ST	NM_002184	IL6ST	1.098765421	3.148739535
GZMB	NM_004131	GZMB	-0.654604095	3.001862102
RIPK2	NM_003821	RIPK2	-0.587150399	2.970438544
UCHL3	NM_006002	UCHL3	0.390507411	2.961029872
C20orf24	NM_018840	C20orf24	-0.250081792	2.893544099
POU4F2	NM_004575	POU4F2	0.317562576	2.733089072
	XM_057669		0.29958313	2.728145213
RPH3A	NM_014954	RPH3A	0.000264762	2.679511071
C17orf85	NM_018553	HSA277841	0.490939594	2.671822308
TAS2R7	NM_023919	TAS2R7	-1.200731612	2.662145261
TSPAN12	NM_012338	TSPAN12	-0.999516594	2.658950034
DRAM1	NM_018370	DRAM1	-0.568941014	2.658610418
ATG7	NM_006395	APG7L	-0.006174351	2.568067375
CXXC4	NM_025212	CXXC4	-0.562770501	2.558569701
KNTC1	NM_014708	KNTC1	-0.277168334	2.478981729
ANKFY1	NM_016376	ANKFY1	-0.37134742	2.442776896
NUDT15	NM_018283	NUDT15	0.062975424	2.437776522
PEX3	NM_003630	PEX3	-1.420793373	2.420961305
NXF5	NM_032946	NXF5	-0.900033698	2.408867128
CENPC1	NM_001812	CENPC1	-0.423738396	2.377053237
RNF8	NM_003958	RNF8	-1.191381196	2.34251033
F8	NM_019863	F8	-0.806961174	2.342331183
TIMM23	NM_006327	TIMM23	-2.159372735	2.323033934
GNAI3	NM_006496	GNAI3	-0.343768908	2.303369189
DUSP11	NM_003584	DUSP11	-0.517901464	2.287154413
WDYHV1	NM_018024	FLJ10204	-0.534767887	2.280714567
PTPRC	NM_002838	PTPRC	-0.101288044	2.27670026
HTR3B	NM_006028	HTR3B	-0.801103778	2.269077453
RAB3D	NM_004283	RAB3D	-2.235341097	2.264876461
CKB	NM_001823	CKB	-0.040688171	2.245425888
CCDC30	NM_025030	FLJ20972	-0.271056982	2.242027894
RINT1	NM_021930	RINT-1	-0.217858127	2.238395609
	XM_071582		-0.43293441	2.232834491
PSMG1	NM_003720	DSCR2	-0.552797544	2.228712244
CYP1B1	NM_000104	CYP1B1	-0.530364528	2.185893322
SEC14L2	NM_012429	SEC14L2	-0.144169524	2.183677261
PIR	NM_003662	PIR	0.153402554	2.17999998
	NM_015185		-0.313312275	2.172611894
IPO8	NM_006390	IPO8	-0.47802504	2.157824631
SCGB2A1	NM_002407	SCGB2A1	-0.759167792	2.152494613
CRYBA1	NM_005208	CRYBA1	0.033176165	2.144134856
LPP	NM_005578	LPP	0.093406923	2.13899671
VNN2	NM_004665	VNN2	0.044782666	2.126239171
TCFL5	NM_006602	TCFL5	-0.867747687	2.125280064
DNAH9	NM_001372	DNAH9	-1.119980332	2.124196084
IARS	NM_013417	IARS	-1.66358578	2.119516167
CDH6	NM_004932	CDH6	-0.202953711	2.107796709
NYX	NM_022567	NYX	-0.086296367	2.085790004
EIF4EBP2	NM_004096	EIF4EBP2	0.074228544	2.080670782
AGER	NM_001136	AGER	-0.207997826	2.0780735
LIMA1	NM_016357	EPLIN	-0.012356951	2.060664882
SNRPB2	NM_003092	SNRPB2	-0.103817317	2.058480461
COL12A1	NM_004370	COL12A1	-0.068291923	2.045589513
	XM_058801		-0.841756021	2.040152432
ZNF222	NM_013360	ZNF222	-0.249245031	2.037601162
TMEFF1	NM_003692	TMEFF1	-0.48571817	2.027467738
RNASE6	NM_005615	RNASE6	-0.243383483	2.021782021
	XM_017491		-0.146551649	2.011435052
ABCF2	NM_005692	ABCF2	-0.148411751	2.002120782
H2AFY	NM_004893	H2AFY	-0.018734447	1.989804493
FBXO9	NM_012347	FBXO9	-0.548890764	1.984700767
STX7	NM_003569	STX7	-1.250838105	1.977519666
BTK	NM_000061	BTK	-0.390673403	1.972840729
UGT2B10	NM_001075	UGT2B10	-0.199772577	1.959419613
CYSLTR2	NM_020377	CYSLTR2	-1.231437456	1.958460183
GPR1	NM_005279	GPR1	-0.561481707	1.957778654
ANP32A	NM_006305	ANP32A	-0.617491298	1.934973428
RAB20	NM_017817	RAB20	-1.296577014	1.911423865
DMRT3	NM_021240	DMRT3	-0.125022556	1.907587635
IMPA2	NM_014214	IMPA2	-0.774491892	1.903332778
SSR3	NM_007107	SSR3	-1.081417568	1.897075794
CNTN6	NM_014461	CNTN6	-0.479719762	1.894702781
ZFHX4	NM_024721	ZFH4	-0.207949127	1.891238031
