# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_145209|NM_145209	mgi_symbol|Oasl1|Oasl1
refseq_dna|NM_009671|NM_009671	mgi_symbol|Ankfy1|Ankfy1
refseq_dna|XM_128064|XM_128064	mgi_symbol|Apol9a|Apol9a
refseq_dna|NM_181406|NM_181406	mgi_symbol|Rarsl|Rarsl
refseq_dna|NM_153287|NM_153287	mgi_symbol|Axud1|Axud1
refseq_dna|NM_016767|NM_016767	mgi_symbol|Batf|Batf
refseq_dna|NM_175277|NM_175277	mgi_symbol|Bola3|Bola3
refseq_dna|NM_198095|NM_198095	mgi_symbol|Bst2|Bst2
refseq_dna|NM_013653|NM_013653	mgi_symbol|Ccl5|Ccl5
refseq_dna|NM_013654|NM_013654	mgi_symbol|Ccl7|Ccl7
refseq_dna|NM_008176|NM_008176	mgi_symbol|Cxcl1|Cxcl1
refseq_dna|NM_021274|NM_021274	mgi_symbol|Cxcl10|Cxcl10
refseq_dna|NM_023158|NM_023158	mgi_symbol|Cxcl16|Cxcl16
refseq_dna|NM_029295|NM_029295	mgi_symbol|Cklf|Cklf
refseq_dna|NM_026036|NM_026036	mgi_symbol|Cklfsf6|Cklfsf6
refseq_dna|NM_029635|NM_029635	mgi_symbol|Commd9|Commd9
refseq_dna|NM_028798|NM_028798	mgi_symbol|Crct1|Crct1
entrezgene|AF151637|56724	mgi_symbol|Cript|Cript
refseq_dna|XM_220603|XM_220603	mgi_symbol|DLP2|DLP2
refseq_dna|NM_010119|NM_010119	mgi_symbol|Ehd1|Ehd1
refseq_dna|NM_010106|NM_010106	mgi_symbol|Eef1a1|Eef1a1
refseq_dna|NM_181582|NM_181582	mgi_symbol|Eif5a|Eif5a
refseq_dna|NM_016696|NM_016696	mgi_symbol|Gpc1|Gpc1
refseq_dna|NM_025332|NM_025332	mgi_symbol|Gtpbp8|Gtpbp8
refseq_dna|NM_010260|NM_010260	mgi_symbol|Gbp2|Gbp2
refseq_dna|NM_010395|NM_010395	mgi_symbol|H2-T10|H2-T10
refseq_dna|NM_153571|NM_153571	mgi_symbol|Hscb|Hscb
refseq_dna|NM_027835|NM_027835	mgi_symbol|Ifih1|Ifih1
refseq_dna|NM_008331|NM_008331	mgi_symbol|Ifit1|Ifit1
refseq_dna|NM_010501|NM_010501	mgi_symbol|Ifit3|Ifit3
refseq_dna|NM_133990|NM_133990	mgi_symbol|Il13ra1|Il13ra1
refseq_dna|NM_011150|NM_011150	mgi_symbol|Lgals3 bp|Lgals3 bp
refseq_dna|XM_129166|XM_129166	mgi_symbol|Mlana|Mlana
refseq_dna|NM_010398|NM_010398	mgi_symbol|H2-D1|H2-D1
refseq_dna|NM_008329|NM_008329	mgi_symbol|Ifi204|Ifi204
refseq_dna|NM_029688|NM_029688	mgi_symbol|Npn3|Npn3
refseq_dna|NM_008675|NM_008675	mgi_symbol|Nbl1|Nbl1
refseq_dna|NM_019401|NM_019401	mgi_symbol|Nmi|Nmi
refseq_dna|NM_010881|NM_010881	mgi_symbol|Ncoa1|Ncoa1
refseq_dna|XM_484255|XM_484255	mgi_symbol|Nol8|Nol8
refseq_dna|NM_170591|NM_170591	mgi_symbol|Nupl1|Nupl1
refseq_dna|NM_207138|NM_207138	mgi_symbol|Olfr149|Olfr149
refseq_dna|NM_172116|NM_172116	mgi_symbol|Pddc1|Pddc1
refseq_dna|NM_011065|NM_011065	mgi_symbol|Per1|Per1
entrezgene|AF188007|18810	mgi_symbol|Plec1|Plec1
refseq_dna|NM_181402|NM_181402	mgi_symbol|Parp11|Parp11
refseq_dna|XM_488522|XM_488522	mgi_symbol|Parp14|Parp14
