S. mediterranea Gene	Human Gene	HGNC Gene Abbreviation	HGNC Gene Name
CUFF.436350	ENSG00000165029	ABCA1	ATP-binding_cassette,_sub-family_A_(ABC1),_member_1
CUFF.342890	ENSG00000138443	ABI2	abl-interactor_2
CUFF.472848	ENSG00000162688	AGL	amylo-alpha-1,_6-glucosidase,_4-alpha-glucanotransferase
CUFF.545284	ENSG00000128918	ALDH1A2	aldehyde_dehydrogenase_1_family,_member_A2
CUFF.239836	ENSG00000151458	ANKRD50	ankyrin_repeat_domain_50
CUFF.306539	ENSG00000172671	ANUBL1	AN1,_ubiquitin-like,_homolog_(Xenopus_laevis)
CUFF.679691	ENSG00000116017	ARID3A	AT_rich_interactive_domain_3A_(BRIGHT-like)
CUFF.466255	ENSG00000100325	ASCC2	activating_signal_cointegrator_1_complex_subunit_2
CUFF.445449	ENSG00000145246	ATP10D	ATPase,_class_V,_type_10D
CUFF.295800	ENSG00000101974	ATP11C	ATPase,_class_VI,_type_11C
CUFF.218893	ENSG00000018625	ATP1A2	ATPase,_Na+/K+_transporting,_alpha_2_polypeptide
CUFF.340622	ENSG00000070961	ATP2B1	ATPase,_Ca++_transporting,_plasma_membrane_1
CUFF.206494	ENSG00000169594	BNC1	basonuclin_1
CUFF.12330	ENSG00000118096	C11orf60	intraflagellar_transport_46_homolog_(Chlamydomonas)
CUFF.693868	ENSG00000141837	CACNA1A	calcium_channel,_voltage-dependent,_P/Q_type,_alpha_1A_subunit
CUFF.51166	ENSG00000148660	CAMK2G	calcium/calmodulin-dependent_protein_kinase_II_gamma
CUFF.218204	ENSG00000077274	CAPN6	calpain_6
CUFF.261647	ENSG00000165806	CASP7	caspase_7,_apoptosis-related_cysteine_peptidase
CUFF.59354	ENSG00000101290	CDS2	CDP-diacylglycerol_synthase_(phosphatidate_cytidylyltransferase)_2
CUFF.653261	ENSG00000069998	CECR5	cat_eye_syndrome_chromosome_region,_candidate_5
CUFF.379974	ENSG00000080644	CHRNA3	cholinergic_receptor,_nicotinic,_alpha_3
CUFF.450930	ENSG00000011021	CLCN6	chloride_channel_6
CUFF.21418	ENSG00000176444	CLK2	CDC-like_kinase_2
CUFF.230879	ENSG00000117519	CNN3	calponin_3,_acidic
CUFF.4831	ENSG00000113300	CNOT6	CCR4-NOT_transcription_complex,_subunit_6
CUFF.11540	ENSG00000065618	COL17A1	collagen,_type_XVII,_alpha_1
CUFF.554644	ENSG00000168542	COL3A1	collagen,_type_III,_alpha_1
CUFF.315355	ENSG00000108582	CPD	carboxypeptidase_D
CUFF.333965	ENSG00000144677	CTDSPL	CTD_(carboxy-terminal_domain,_RNA_polymerase_II,_polypeptide_A)_small_phosphatase-like
CUFF.469688	ENSG00000100523	DDHD1	DDHD_domain_containing_1
CUFF.241492	ENSG00000108406	DHX40	DEAH_(Asp-Glu-Ala-His)_box_polypeptide_40
CUFF.59929	ENSG00000151240	DIP2C	DIP2_disco-interacting_protein_2_homolog_C_(Drosophila)
CUFF.187493	ENSG00000075711	DLG1	discs,_large_homolog_1_(Drosophila)
CUFF.306573	ENSG00000162616	DNAJB4	DnaJ_(Hsp40)_homolog,_subfamily_B,_member_4
CUFF.261014	ENSG00000101152	DNAJC5	DnaJ_(Hsp40)_homolog,_subfamily_C,_member_5
CUFF.404056	ENSG00000151914	DST	dystonin
CUFF.189942	ENSG00000088986	DYNLL1	dynein,_light_chain,_LC8-type_1
CUFF.130124	ENSG00000157540	DYRK1A	dual-specificity_tyrosine-(Y)-phosphorylation_regulated_kinase_1A
CUFF.690093	ENSG00000116406	EDEM3	ER_degradation_enhancer,_mannosidase_alpha-like_3
CUFF.350290	ENSG00000096093	EFHC1	EF-hand_domain_(C-terminal)_containing_1
CUFF.48627	ENSG00000135333	EPHA7	EPH_receptor_A7
CUFF.557697	ENSG00000138190	EXOC6	exocyst_complex_component_6
CUFF.252302	ENSG00000066468	FGFR2	fibroblast_growth_factor_receptor_2
CUFF.210883	ENSG00000164916	FOXK1	forkhead_box_K1
CUFF.127345	ENSG00000139354	GAS2L3	growth_arrest-specific_2_like_3
CUFF.309617	ENSG00000107485	GATA3	GATA_binding_protein_3
CUFF.568042	ENSG00000170266	GLB1	galactosidase,_beta_1
CUFF.39083	ENSG00000115419	GLS	glutaminase
CUFF.452008	ENSG00000167110	GOLGA2	golgin_A2
CUFF.49671	ENSG00000171723	GPHN	gephyrin
CUFF.144173	ENSG00000163873	GRIK3	glutamate_receptor,_ionotropic,_kainate_3
CUFF.19895	ENSG00000138002	IFT172	intraflagellar_transport_172_homolog_(Chlamydomonas)
CUFF.199472	ENSG00000114446	IFT57	intraflagellar_transport_57_homolog_(Chlamydomonas)
CUFF.149318	ENSG00000131398	KCNC3	potassium_voltage-gated_channel,_Shaw-related_subfamily,_member_3
CUFF.551221	ENSG00000075043	KCNQ2	potassium_voltage-gated_channel,_KQT-like_subfamily,_member_2
CUFF.617243	ENSG00000178202	KDELC2	KDEL_(Lys-Asp-Glu-Leu)_containing_2
CUFF.315430	ENSG00000054523	KIF1B	kinesin_family_member_1B
CUFF.697777	ENSG00000101350	KIF3B	kinesin_family_member_3B
CUFF.397103	ENSG00000197147	LRRC8B	leucine_rich_repeat_containing_8_family,_member_B
CUFF.133648	ENSG00000007392	LUC7L	LUC7-like_(S._cerevisiae)
CUFF.462607	ENSG00000107643	MAPK8	mitogen-activated_protein_kinase_8
CUFF.245849	ENSG00000143995	MEIS1	Meis_homeobox_1
CUFF.461859	ENSG00000107186	MPDZ	multiple_PDZ_domain_protein
CUFF.378990	ENSG00000095002	MSH2	mutS_homolog_2,_colon_cancer,_nonpolyposis_type_1_(E._coli)
CUFF.581599	ENSG00000153944	MSI2	musashi_homolog_2_(Drosophila)
CUFF.308033	ENSG00000137474	MYO7A	myosin_VIIA
CUFF.84627	ENSG00000138119	MYOF	myoferlin
CUFF.473808	ENSG00000104490	NCALD	neurocalcin_delta
CUFF.431013	ENSG00000049759	NEDD4L	neural_precursor_cell_expressed,_developmentally_down-regulated_4-like
CUFF.282029	ENSG00000165030	NFIL3	nuclear_factor,_interleukin_3_regulated
CUFF.414758	ENSG00000076685	NT5C2	5-nucleotidase,_cytosolic_II
CUFF.121040	ENSG00000144909	OSBPL11	oxysterol_binding_protein-like_11
CUFF.122303	ENSG00000117859	OSBPL9	oxysterol_binding_protein-like_9
CUFF.4211	ENSG00000183570	PCBP3	poly(rC)_binding_protein_3
CUFF.531374	ENSG00000152556	PFKM	phosphofructokinase,_muscle
CUFF.359797	ENSG00000073921	PICALM	phosphatidylinositol_binding_clathrin_assembly_protein
CUFF.413428	ENSG00000117461	PIK3R3	phosphoinositide-3-kinase,_regulatory_subunit_3_(gamma)
CUFF.425464	ENSG00000118762	PKD2	polycystic_kidney_disease_2_(autosomal_dominant)
CUFF.91858	ENSG00000131626	PPFIA1	protein_tyrosine_phosphatase,_receptor_type,_f_polypeptide_(PTPRF),_interacting_protein_(liprin),_alpha_1
CUFF.481555	ENSG00000158528	PPP1R9A	protein_phosphatase_1,_regulatory_(inhibitor)_subunit_9A
CUFF.576970	ENSG00000073711	PPP2R3A	protein_phosphatase_2,_regulatory_subunit_B,_alpha
CUFF.197553	ENSG00000107758	PPP3CB	protein_phosphatase_3,_catalytic_subunit,_beta_isozyme
CUFF.138924	ENSG00000057657	PRDM1	PR_domain_containing_1,_with_ZNF_domain
CUFF.621005	ENSG00000185532	PRKG1	protein_kinase,_cGMP-dependent,_type_I
CUFF.459807	ENSG00000155093	PTPRN2	protein_tyrosine_phosphatase,_receptor_type,_N_polypeptide_2
CUFF.90743	ENSG00000100994	PYGB	phosphorylase,_glycogen;_brain
CUFF.151770	ENSG00000137502	RAB30	RAB30,_member_RAS_oncogene_family
CUFF.174171	ENSG00000080823	RAGE	renal_tumor_antigen
CUFF.3962	ENSG00000108469	RECQL5	RecQ_protein-like_5
CUFF.565474	ENSG00000116514	RNF19B	ring_finger_protein_19B
CUFF.114963	ENSG00000141564	RPTOR	regulatory_associated_protein_of_MTOR,_complex_1
CUFF.118587	ENSG00000123453	SARDH	sarcosine_dehydrogenase
CUFF.675857	ENSG00000140199	SLC12A6	solute_carrier_family_12_(potassium/chloride_transporters),_member_6
CUFF.45831	ENSG00000157593	SLC35B2	solute_carrier_family_35,_member_B2
CUFF.175325	ENSG00000124786	SLC35B3	solute_carrier_family_35,_member_B3
CUFF.576945	ENSG00000141424	SLC39A6	solute_carrier_family_39_(zinc_transporter),_member_6
CUFF.199608	ENSG00000196517	SLC6A9	solute_carrier_family_6_(neurotransmitter_transporter,_glycine),_member_9
CUFF.66159	ENSG00000145147	SLIT2	slit_homolog_2_(Drosophila)
CUFF.234753	ENSG00000065613	SLK	STE20-like_kinase
CUFF.176995	ENSG00000090487	SPG21	spastic_paraplegia_21_(autosomal_recessive,_Mast_syndrome)
CUFF.120673	ENSG00000075142	SRI	sorcin
CUFF.328096	ENSG00000152953	STK32B	serine/threonine_kinase_32B
CUFF.115170	ENSG00000112079	STK38	serine/threonine_kinase_38
CUFF.568477	ENSG00000148175	STOM	stomatin
CUFF.304960	ENSG00000136854	STXBP1	syntaxin_binding_protein_1
CUFF.596316	ENSG00000170743	SYT9	synaptotagmin_IX
CUFF.427151	ENSG00000113296	THBS4	thrombospondin_4
CUFF.505603	ENSG00000126351	THRA	thyroid_hormone_receptor,_alpha_(erythroblastic_leukemia_viral_(v-erb-a)_oncogene_homolog,_avian)
CUFF.350918	ENSG00000198792	TMEM184B	transmembrane_protein_184B
CUFF.1205	ENSG00000240849	TMEM189	transmembrane_protein_189
CUFF.113232	ENSG00000164953	TMEM67	transmembrane_protein_67
CUFF.586189	ENSG00000140416	TPM1	tropomyosin_1_(alpha)
CUFF.692359	ENSG00000196459	TRAPPC2	trafficking_protein_particle_complex_2_pseudogene_1
CUFF.228083	ENSG00000108395	TRIM37	tripartite_motif-containing_37
CUFF.130796	ENSG00000137941	TTLL7	tubulin_tyrosine_ligase-like_family,_member_7
CUFF.556569	ENSG00000078246	TULP3	tubby_like_protein_3
CUFF.212260	ENSG00000160087	UBE2J2	ubiquitin-conjugating_enzyme_E2,_J2_(UBC6_homolog,_yeast)
CUFF.271199	ENSG00000114062	UBE3A	ubiquitin_protein_ligase_E3A
CUFF.384492	ENSG00000115446	UNC50	unc-50_homolog_(C._elegans)
CUFF.483200	ENSG00000152818	UTRN	utrophin
