Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	KRAB domain	Zinc finger cluster (Jane, et al. Nature (2004) 428, 529-535)	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P316582	chr19:11892951-11893010	ZNF441	NM_152355	Zinc finger protein 441	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster3	F	13	0.8423	-1.1872	1.4352E-06	255.9451	215.6338
A_23_P373716	chr19:12428221-12428605	ZNF563	NM_145276	Zinc finger protein 563	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster3	M	14	1.2586	1.2586	2.4248E-08	109.0515	138.3364
A_24_P944588	chr19:20115461-20115520	ZNF682	NM_033196	Zinc finger protein 682	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster4	M	15	1.3067	1.3067	0.000001172	233.1559	302.6287
A_23_P208752	chr19:36936900-36936959	ZNF566	NM_032838	Zinc finger protein 566	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster6	M	14	1.2054	1.2054	8.2916E-07	115.3939	139.0888
A_23_P16354	chr19:37118399-37118458	ZNF382	NM_032825	Zinc finger protein 382	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transcription repressor activity|IEA|GO:0016564|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|negative regulation of transcription|IEA|GO:0016481|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster6	M	15	1.3511	1.3511	1.9514E-11	46.4339	63.6371
A_32_P82863	chr19:37379261-37379320	ZNF829	NM_001171979	Zinc finger protein 829	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster6	M	15	1.1978	1.1978	6.7323E-07	195.834	233.3201
A_24_P113287	chr19:44931482-44931541	ZNF229	NM_014518	Zinc finger protein 229	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster7	M	13	1.5355	1.5355	4.1938E-07	8.2142	12.6225
A_23_P208210	chr19:52536789-52536848	ZNF432	NM_014650	Zinc finger protein 432	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster8	M	13	1.1947	1.1947	3.3169E-09	90.9889	108.6647
A_24_P935276	chr19:52794448-52794507	ZNF766	NM_001010851	Zinc finger protein 766	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster8	F	16	0.8092	-1.2358	5.6237E-13	273.2131	220.6775
A_24_P282043	chr19:53301623-53301682	ZNF28	NM_006969	Zinc finger protein 28	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster8	M	15	1.2094	1.2094	3.0783E-10	93.8485	113.7076
A_24_P241792	chr19:53569901-53569960	ZNF160	NM_198893	Zinc finger protein 160	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|hemopoiesis|NAS|GO:0030097|GOA|11410164//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	1	cluster8	M	13	1.1607	1.1607	7.8097E-09	991.0306	1147.0664
A_24_P570583	chr19:56889162-56889221	ZNF542	NR_033418	Zinc finger protein 542	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster10	M	15	1.2042	1.2042	8.3677E-12	256.4324	307.9608
A_23_P407583	chr19:57324385-57324444	PEG3	NM_006210	Paternally expressed 3	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|apoptosis|IEA|GO:0006915|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster11	F	15	0.6677	-1.4976	1.0053E-12	184.5814	123.5568
A_23_P399146	chr19:58051653-58051712	ZNF549	NM_153263	Zinc finger protein 549	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster11	M	15	1.1695	1.1695	3.0799E-22	99.2503	116.152
A_23_P50217	chr19:58231236-58231295	ZNF671	NM_024833	Zinc finger protein 671	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster11	M	13	1.1827	1.1827	3.6721E-06	404.5029	481.207
A_23_P413634	chr19:58637916-58637975	ZNF329	NM_024620	Zinc finger protein 329	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	0	cluster11	M	16	1.1661	1.1661	1.7144E-32	394.2665	459.343
A_23_P141856	chr19:58774859-58774918	ZNF544	NM_014480	Zinc finger protein 544	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	1	cluster11	M	16	1.2739	1.2739	1.6705E-23	441.7919	563.4661
A_23_P130466	chr19:58807042-58807101	ZNF8	NM_021089	Zinc finger protein 8	molecular function|DNA binding|NAS|GO:0003677|GOA|2106481//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|NAS|GO:0008270|GOA|2106481//biological process|BMP signaling pathway|IEA|GO:0030509|GOA|na//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	1	cluster11	M	16	1.1658	1.1658	1.606E-12	135.9994	158.3489
A_32_P163558	chr19:9770053-9770112	ZNF562	NM_001130032	Zinc finger protein 562	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	1	cluster11	M	13	1.1902	1.1902	6.5196E-07	24.4777	29.1127
