Gene Name	Systematic Name	I	D
Bdnf	NM_007540	0.6	0.5
Max	NM_008558	0.7	0.6
Dusp7	NM_153459	0.5	0.6
Pla2g6	NM_016915	0.5	0.5
Grb2	U07617	0.5	0.5
Mapk7	NM_011841	0.5	0.5
Akt1	NM_009652	0.5	0.5
Dusp3	NM_028207	0.4	0.6
Dusp4	AK012530	0.6	0.7
Jun	NM_010591	NS	0.8
Dusp10	NM_022019	NS	0.7
Mapkapk3	NM_178907	0.6	0.5
Nlk	NM_008702	0.7	0.6
Mapk14	NM_011951	0.8	0.6
Ppm1b	NM_011151	0.5	0.8
Map2k2	NM_023138	NS	0.8
Map3k6	NM_016693	NS	0.8
Tnfrsf1a	NM_011609	0.9	0.7
Map2k4	NM_009157	NS	0.7
Sos2	XM_127051	0.7	0.6
Tgfb2	NM_009367	0.8	0.7
Srf	NM_020493	0.3	0.2
Gng12	NM_025278	NS	1.3
Mapk11	NM_011161	1.3	1.3
Akt3	NM_011785	0.7	1.3
Rap1b	XM_985042	NS	1.3
Rps6ka6	NM_025949	1.8	1.4
Casp3	U49929	1.8	2.4
Gadd45g	NM_011817	0.6	1.8
Fos	NM_010234	3.0	4.0
Gadd45a	NM_007836	NS	2.6
