# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|16391|16391	mgi_symbol|Irf9|Irf9
entrezgene|54123|54123	mgi_symbol|Irf7|Irf7
entrezgene|15900|15900	mgi_symbol|Irf8|Irf8
entrezgene|20846|20846	mgi_symbol|Stat1|Stat1
entrezgene|20847|20847	mgi_symbol|Stat2|Stat2
entrezgene|64685|64685	mgi_symbol|Nmi|Nmi
entrezgene|16362|16362	mgi_symbol|Irf1|Irf1
entrezgene|18854|18854	mgi_symbol|Pml|Pml
entrezgene|20684|20684	mgi_symbol|Sp100|Sp100
entrezgene|16913|16913	mgi_symbol|Psmb8|Psmb8
entrezgene|16912|16912	mgi_symbol|Psmb9|Psmb9
entrezgene|21354|21354	mgi_symbol|Tap1|Tap1
entrezgene|21355|21355	mgi_symbol|Tap2|Tap2
entrezgene|14728|14728	mgi_symbol|Lilrb4|Lilrb4
entrezgene|14968|14968	mgi_symbol|H2-Ea|H2-Ea
entrezgene|14961|14961	mgi_symbol|H2-Ab1|H2-Ab1
entrezgene|13040|13040	mgi_symbol|Ctss|Ctss
entrezgene|16149|16149	mgi_symbol|Cd74|Cd74
entrezgene|15013|15013	mgi_symbol|H2-Q2|H2-Q2
entrezgene|15019|15019	mgi_symbol|H2-Q8|H2-Q8
entrezgene|15018|15018	mgi_symbol|H2-Q7|H2-Q7
entrezgene|110557|110557	mgi_symbol|H2-Q6|H2-Q6
entrezgene|15016|15016	mgi_symbol|H2-Q5|H2-Q5
entrezgene|14980|14980	mgi_symbol|H2-L|H2-L
entrezgene|15051|15051	mgi_symbol|H2-T9|H2-T9
entrezgene|15024|15024	mgi_symbol|H2-T10|H2-T10
entrezgene|15039|15039	mgi_symbol|H2-T22|H2-T22
entrezgene|15040|15040	mgi_symbol|H2-T23|H2-T23
entrezgene|14973|14973	mgi_symbol|H2-K1|H2-K1
entrezgene|12010|12010	mgi_symbol|B2m|B2m
entrezgene|14468|14468	mgi_symbol|Gbp1|Gbp1
entrezgene|14469|14469	mgi_symbol|Gbp2|Gbp2
entrezgene|17472|17472	mgi_symbol|Gbp4|Gbp4
entrezgene|229898|229898	mgi_symbol|Gbp5|Gbp5
entrezgene|15944|15944	mgi_symbol|Irgm|Irgm
entrezgene|229900|229900	mgi_symbol|Gbp6|Gbp6
entrezgene|236573|236573	mgi_symbol|BC057170|BC057170
entrezgene|100702|100702	mgi_symbol|Mpa2l|Mpa2l
entrezgene|23961|23961	mgi_symbol|Oas1b|Oas1b
entrezgene|23960|23960	mgi_symbol|Oas1g|Oas1g
entrezgene|231655|231655	mgi_symbol|Oasl1|Oasl1
entrezgene|23962|23962	mgi_symbol|Oasl2|Oasl2
entrezgene|246730|246730	mgi_symbol|Oas1a|Oas1a
entrezgene|246728|246728	mgi_symbol|Oas2|Oas2
entrezgene|109032|109032	mgi_symbol|Sp110|Sp110
entrezgene|15957|15957	mgi_symbol|Ifit1|Ifit1
entrezgene|15958|15958	mgi_symbol|Ifit2|Ifit2
entrezgene|15959|15959	mgi_symbol|Ifit3|Ifit3
entrezgene|71586|71586	mgi_symbol|Ifih1|Ifih1
entrezgene|230073|230073	mgi_symbol|Dhx58|Dhx58
mgi_symbol|Ddx58|Ddx58
entrezgene|15950|15950	mgi_symbol|Ifi203|Ifi203
entrezgene|236312|236312	mgi_symbol|Pyhin1|Pyhin1
entrezgene|12044|12044	mgi_symbol|Bcl2a1a|Bcl2a1a
entrezgene|15952|15952	mgi_symbol|Ifi205|Ifi205
entrezgene|12045|12045	mgi_symbol|Bcl2a1b|Bcl2a1b
entrezgene|12046|12046	mgi_symbol|Bcl2a1c|Bcl2a1c
entrezgene|68713|68713	mgi_symbol|Ifitm1|Ifitm1
entrezgene|80876|80876	mgi_symbol|Ifitm2|Ifitm2
entrezgene|66141|66141	mgi_symbol|Ifitm3|Ifitm3
entrezgene|16859|16859	mgi_symbol|Lgals9|Lgals9
entrezgene|19039|19039	mgi_symbol|Lgals3bp|Lgals3bp
entrezgene|15894|15894	mgi_symbol|Icam1|Icam1
entrezgene|16414|16414	mgi_symbol|Itgb2|Itgb2
entrezgene|20612|20612	mgi_symbol|Siglec1|Siglec1
entrezgene|69550|69550	mgi_symbol|Bst2|Bst2
entrezgene|60533|60533	mgi_symbol|Cd274|Cd274
entrezgene|16154|16154	mgi_symbol|Il10ra|Il10ra
entrezgene|17069|17069	mgi_symbol|Ly6e|Ly6e
entrezgene|16145|16145	mgi_symbol|Igtp|Igtp
entrezgene|17857|17857	mgi_symbol|Mx1|Mx1
entrezgene|17858|17858	mgi_symbol|Mx2|Mx2
entrezgene|74558|74558	mgi_symbol|Gvin1|Gvin1
entrezgene|54396|54396	mgi_symbol|Iigp2|Iigp2
entrezgene|60440|60440	mgi_symbol|Iigp1|Iigp1
entrezgene|15951|15951	mgi_symbol|Ifi204|Ifi204
entrezgene|57444|57444	mgi_symbol|Isg20|Isg20
entrezgene|19106|19106	mgi_symbol|Eif2ak2|Eif2ak2
entrezgene|20304|20304	mgi_symbol|Ccl5|Ccl5
entrezgene|20293|20293	mgi_symbol|Ccl12|Ccl12
entrezgene|15945|15945	mgi_symbol|Cxcl10|Cxcl10
entrezgene|22035|22035	mgi_symbol|Tnfsf10|Tnfsf10
entrezgene|14962|14962	mgi_symbol|Cfb|Cfb
entrezgene|12263|12263	mgi_symbol|C2|C2
entrezgene|50909|50909	mgi_symbol|C1r|C1r
entrezgene|12268|12268	mgi_symbol|C4b|C4b
entrezgene|20715|20715	mgi_symbol|Serpina3g|Serpina3g
entrezgene|12260|12260	mgi_symbol|C1qb|C1qb
entrezgene|12047|12047	mgi_symbol|Bcl2a1d|Bcl2a1d
entrezgene|12362|12362	mgi_symbol|Casp1|Casp1
entrezgene|80285|80285	mgi_symbol|Parp9|Parp9
entrezgene|78781|78781	mgi_symbol|Zc3hav1|Zc3hav1
entrezgene|109032|109032	mgi_symbol|Sp110|Sp110
entrezgene|58185|58185	mgi_symbol|Rsad2|Rsad2
entrezgene|56045|56045	mgi_symbol|Samhd1|Samhd1
entrezgene|22169|22169	mgi_symbol|Tyki|Tyki
entrezgene|99899|99899	mgi_symbol|Ifi44|Ifi44
entrezgene|76933|76933	mgi_symbol|Ifi27|Ifi27
entrezgene|15953|15953	mgi_symbol|Ifi47|Ifi47
entrezgene|26388|26388	mgi_symbol|Ifi202b|Ifi202b
entrezgene|231507|231507	mgi_symbol|Plac8|Plac8
entrezgene|110454|110454	mgi_symbol|Ly6a|Ly6a
entrezgene|56778|56778	mgi_symbol|Ly6c1|Ly6c1
entrezgene|17071|17071	mgi_symbol|Ly6f|Ly6f
entrezgene|17085|17085	mgi_symbol|Ly9|Ly9
entrezgene|17476|17476	mgi_symbol|Mpeg1|Mpeg1
entrezgene|209200|209200	mgi_symbol|Dtx31|Dtx31
entrezgene|67138|67138	mgi_symbol|Herc5|Herc5
entrezgene|217069|217069	mgi_symbol|Trim25|Trim25
entrezgene|56791|56791	mgi_symbol|Ube2l6|Ube2l6
entrezgene|20821|20821	mgi_symbol|Trim21|Trim21
entrezgene|74153|74153	mgi_symbol|Ube1l|Ube1l
entrezgene|53606|53606	mgi_symbol|Isg15|Isg15
entrezgene|24110|24110	mgi_symbol|Usp18|Usp18
entrezgene|12257|12257	mgi_symbol|Tspo|Tspo
entrezgene|14190|14190	mgi_symbol|Fgl2|Fgl2
entrezgene|68774|68774	mgi_symbol|Ms4a6d|Ms4a6d
entrezgene|64380|64380	mgi_symbol|Ms4a4c|Ms4a4c
entrezgene|293749|293749	mgi_symbol|Ms4a6b|Ms4a6b
entrezgene|30935|30935	mgi_symbol|Tor3a|Tor3a
entrezgene|104759|104759	mgi_symbol|Pld4|Pld4
entrezgene|13058|13058	mgi_symbol|Cybb|Cybb
entrezgene|12475|12475	mgi_symbol|Cd14|Cd14
entrezgene|547253|547253	mgi_symbol|Parp14|Parp14
entrezgene|243771|243771	mgi_symbol|Parp12|Parp12
entrezgene|234311|234311	mgi_symbol|BC013672|BC013672
entrezgene|234311|234311	mgi_symbol|BC013672|BC013672
entrezgene|75379|75379	mgi_symbol|4930599N23Rik|4930599N23Rik
entrezgene|69028|69028	mgi_symbol|Mitd1|Mitd1
entrezgene|74568|74568	mgi_symbol|Mlkl|Mlkl
entrezgene|58203|58203	mgi_symbol|Zbp1|Zbp1
entrezgene|66940|66940	mgi_symbol|Scotin|Scotin
entrezgene|67775|67775	mgi_symbol|Rtp4|Rtp4
entrezgene|94094|94094	mgi_symbol|Trim34|Trim34
entrezgene|20128|20128	mgi_symbol|Trim30|Trim30
entrezgene|20556|20556	mgi_symbol|Slfn2|Slfn2
entrezgene|229003|229003	mgi_symbol|BC006779|BC006779
entrezgene|108670|108670	mgi_symbol|Epsti1|Epsti1
entrezgene|52668|52668	mgi_symbol|D12Ertd647e|D12Ertd647e
entrezgene|209086|209086	mgi_symbol|Samd9l|Samd9l
entrezgene|219132|219132	mgi_symbol|D14Ertd668e|D14Ertd668e
entrezgene|629974|629974	mgi_symbol|Rnf213|Rnf213
entrezgene|219131|219131	mgi_symbol|Phf11|Phf11
entrezgene|68395|68395	mgi_symbol|0610037M15Rik|0610037M15Rik
entrezgene|319257|319257	mgi_symbol|9830115L13Rik|9830115L13Rik
entrezgene|215900|215900	mgi_symbol|A630077B13Rik|A630077B13Rik
entrezgene|625018|625018	mgi_symbol|C4a|C4a
entrezgene|14727|14727	mgi_symbol|Gp49a|Gp49a
entrezgene|114573|114573	mgi_symbol|Drld|Drld
entrezgene|15032|15032	mgi_symbol|H2-T17|H2-T17
entrezgene|629974|629974	mgi_symbol|Rnf213|Rnf213
