Rank	Accession no.	Gene name	HEK-TLR2 + HP Fold (increase)	HEK + HP Fold (increase)
1	AL021977	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	10.9	7.6
2	NM_003670	Basic helix-loop-helix domain containing, class B, 2	3.9	2.8
3	NM_016588	Neuritin	3.4	3.0
4	NM_015675	Growth arrest and DNA-damage-inducible, beta	3.4	4.4
5	AF078077	Growth arrest and DNA-damage-inducible, beta	3.3	3.4
6	NM_002229	JunB proto-oncogene	3.3	2.2
7	AF087853	Growth arrest and DNA-damage-inducible, beta	3.3	4.7
8	BG326045	Basic helix-loop-helix domain containing, class B, 2	3.2	2.7
9	NM_006931	Solute carrier family 2 (facilitated glucose transporter), member 3	3.2	6.2
10	NM_004566	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	2.9	2.2
11	NM_002999	Syndecan 4 (amphiglycan, ryudocan)	2.7	1.8
12	AL132665	BCL2/adenovirus E1B 19 kDa interacting protein 3-like	2.6	2.2
13	NM_017606	Hypothetical protein DKFZp434K1210	2.6	2.5
14	AL110298	Solute carrier family 2 (facilitated glucose transporter), member 3	2.5	3.5
15	NM_001674	Activating transcription factor 3	2.5	3.1
16	NM_003407	Zinc finger protein 36, C3H type, homolog (mouse)	2.4	2.7
17	AI754404	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	2.4	2.5
18	NM_004052	BCL2/adenovirus E1B 19 kDa interacting protein 3	2.4	1.7
19	AF060922	BCL2/adenovirus E1B 19 kDa interacting protein 3-like	2.4	2.0
20	NM_019058	HIF-1 responsive RTP801	2.3	3.6
21	AI761561	Hexokinase 2	2.2	2.7
22	NM_006096	N-myc downstream regulated	2.2	2.5
23	NM_000935	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	2.2	2.3
24	NM_005746	Pre-B-cell colony-enhancing factor	2.2	1.6
25	NM_016639	Type I transmembrane protein Fn14	2.1	1.7
26	AA524505	Putative zinc finger protein	2.1	2.3
27	AF109161	Cbp/p300-interacting transactivator, D342	2.1	2.6
28	U15174	BCL2/adenovirus E1B 19 kDa interacting protein 3	2.1	1.9
29	AF022375	Vascular endothelial growth factor	2.0	2.6
30	NM_004431	EphA2	2.0	1.5
31	NM_000917	Procollagen-proline, 2-oxoglutarate 4-dioxygenase, alpha polypeptide I	2.0	1.9
32	BC005369	egl nine homolog 1 (C. elegans)	2.0	2.1
