Curated Gene Symbol	Genes	Accession no.	Symbol	Regulation profile and fold change NC vs. PC	MME + TG vs. PC	CFA + TG vs. PC	MH + TG vs. PC	SN + TG vs. PC	Function
CXCL2	Chemokine (C-X-C motif) ligand 2	NM_002089.1	CXCL2	29	0.3	0.3	0.3	0.3	Cytokine–cytokine receptor interaction-related genes
CTF1	Cardiotrophin 1	NM_001330.2	CTF1	1.6	0.2	0.2	0.2	0.2	Cytokine–cytokine receptor interaction-related genes
IL21R	Interleukin 21 receptor, transcript variant 2	NM_181078.1	IL21R	2.1	0.5	0.5	0.5	0.5	Cytokine–cytokine receptor interaction-related genes
FLT4	Fms-related tyrosine kinase 4, transcript variant 2	NM_002020.1	FLT4	1.7	0.4	0.4	0.3	0.3	Cytokine–cytokine receptor interaction-related genes
PTX3	Pentraxin-related gene, rapidly induced by IL-1 beta	NM_002852.2	PTX3	3	0.3	0.3	0.3	0.3	Inflammatory response-related genes
PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	NM_000963.1	PTGS2	2.3	0.3	0.3	0.3	0.3	Inflammatory response-related genes
NLRP12	NACHT, leucine rich repeat and PYD containing 12, transcript variant 1	NM_033297.1	NALP12	1.7	0.6	0.6	0.6	0.6	Inflammatory response-related genes
MAX	MYC associated factor X, transcript variant 3	NM_145113.1	MAX	2.6	0.5	0.6	0.5	0.5	MAPK signaling pathway-related genes
FGF13	Fibroblast growth factor 13, transcript variant 1B	NM_033642.1	FGF13	2.4	0.6	0.6	0.6	0.6	MAPK signaling pathway-related genes
TP53	Tumor protein p53 (Li-Fraumeni syndrome)	NM_000546.2	TP53	2.4	0.6	0.5	0.6	0.6	MAPK signaling pathway-related genes
MAP2K5	Mitogen-activated protein kinase kinase 5	NM_002757.2	MAP2K5	1.9	0.7	0.7	0.7	0.7	MAPK signaling pathway-related genes
RPS6KA6	Ribosomal protein S6 kinase, 90 kDa, polypeptide 6	NM_014496.1	RPS6KA6	1.8	0.7	0.7	0.7	0.7	MAPK signaling pathway-related genes
SIRT1	Sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	NM_012238.3	SIRT1	1.7	0.6	0.6	0.6	0.6	Apoptosis-related genes
DAP	Death-associated protein	NM_004394.1	DAP	1.7	0.2	0.3	0.2	0.3	Apoptosis-related genes
ELMO2	Engulfment and cell motility 2 (ced-12 homolog, C. elegans)	NM_022086.6	ELMO2	1.6	0.5	0.5	0.5	0.5	Apoptosis-related genes
PDCD10	Programmed cell death 10, transcript variant 2	NM_145859.1	PDCD10	1.5	0.1	0.1	0.1	0.1	Apoptosis-related genes
MRPS18A	Mitochondrial ribosomal protein S18A	NM_018135.2	MRPS18A	1.7	0.6	0.6	0.6	0.6	Mitocondria-related genes
TIMM44	Translocase of inner mitochondrial membrane 44 homolog	NM_006351.2	TIMM44	2.8	0.8	0.7	0.7	0.8	Mitocondria-related genes
PRDX5	Peroxiredoxin 5, nuclear gene encoding mitochondrial protein, transcript variant 1	NM_012094.3	PRDX5	2.1	0.3	0.3	0.3	0.3	Mitocondria-related genes
MRRF	Mitochondrial ribosome recycling factor, nuclear gene encoding mitochondrial protein, transcript variant 3	NM_199176.1	MRRF	1.9	0.5	0.5	0.6	0.5	Mitocondria-related genes
MRPL45	Mitochondrial ribosomal protein L45, nuclear gene encoding mitochondrial protein	NM_032351.3	MRPL45	1.5	0.1	0.1	0.1	0.1	Mitocondria-related genes
MFN1	Mitofusin 1, nuclear gene encoding mitochondrial protein, transcript variant 2	NM_017927.2	MFN1	1.5	0.3	0.3	0.3	0.3	Mitocondria-related genes
CHAC1	Cation transport regulator-like 1 (E. coli)	NM_024111.2	CHAC1	6.1	0.6	0.6	0.6	0.6	Other
ATP6V0D2	ATPase, H+ transporting, lysosomal 38 kDa, V0 subunit d2	NM_152565.1	ATP6V0D2	5.1	0.5	0.5	0.5	0.6	Other
CATSPER2	Cation channel, sperm associated 2, transcript variant 4	NM_172097.1	CATSPER2	2.7	0.6	0.6	0.6	0.6	Other
STK32A	Serine/threonine kinase 32A	NM_145001.1	STK32A	4.8	0.6	0.5	0.6	0.6	Other
BET1	BET1 homolog (S. cerevisiae)	NM_005868.3	BET1	2.8	0.6	0.6	0.6	0.6	Other
FLRT2	Fibronectin leucine rich transmembrane protein 2	NM_013231.4	FLRT2	2.7	0.5	0.5	0.5	0.5	Other
SFXN4	Sideroflexin 4, transcript variant 2	NM_178867.3	SFXN4	2.2	0.3	0.3	0.3	0.3	Other
HSP90B1	Heat shock protein 90 kDa beta (Grp94), member 1	NM_003299.1	HSP90B1	2.2	0.2	0.2	0.2	0.2	Other
DNAJB11	DnaJ (Hsp40) homolog, subfamily B, member 11	NM_016306.4	DNAJB11	2.2	0.5	0.5	0.5	0.6	Other
GSR	Glutathione reductase	NM_000637.2	GSR	2.1	0.4	0.4	0.4	0.5	Other
CYP4F3	Cytochrome P450, family 4, subfamily F, polypeptide 3	NM_000896.1	CYP4F3	2	0.7	0.7	0.7	0.7	Other
GOSR1	Golgi SNAP receptor complex member 1, transcript variant 1	NM_004871.2	GOSR1	2	0.6	0.6	0.6	0.6	Other
