Gene (and associated major KEGGpathway) 	Full Name	"	GeneID 	 "	
ANXA5a 	annexin A5 	308	 
BCL2L1a 	B-cell CLL/lymphoma 2-like 1 	598	 
BIRC5 / Survivina 	baculoviral IAP repeat-containing 5 	332	 
BMP6b 	bone morphogenetic protein 6 	654	 
CCND3c 	cyclin D3 	896	 
CDK8c 	cyclin-dependent kinase 8 	1024	 
CDKN1Ac 	"cyclin-dependent kinase inhibitor 1A (p21, Cip1) "	1026	 
CDKN2Ac 	cyclin-dependent kinase inhibitor 2A 	1029	 
E2F1c 	E2F transcription factor 1 	1869	 
ERBB2d 	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2 	2064	 
FGFR3e 	fibroblast growth factor receptor 3 	2261	 
HRASe 	v-Ha-ras Harvey rat sarcoma viral oncogene homolog 	3265	 
ICAM1f 	intercellular adhesion molecule 1 	3383	 
IGF1d 	insulin-like growth factor 1 	3479	 
JUNe 	jun oncogene 	3725	 
MAP2K6e 	mitogen-activated protein kinase kinase 6 	5608	 
MYCe 	v-myc myelocytomatosis viral oncogene homolog 	4609	 
NFKB1e 	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 	4790	 
PDGFRLg 	platelet-derived growth factor receptor-like 	5157	 
RB1c 	retinoblastoma 1 	5925	 
STAT3h 	signal transducer and activator of transcription 3 	6774	 
TP53c 	tumor protein p53 	7157	 
VEGFg 	vascular endothelial growth factor A 	7422	 
VEGFR2g 	kinase insert domain receptor 	3791	 
"TBPi,k "	TATA box binding protein 	6908	 
"SDHAj,k "	"succinate dehydrogenase complex, subunit A,flavoprotein (Fp) "	6389	 
