# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|203006_at|203006_at	entrezgene|3632|3632	refseq_dna|NM_005539|NM_005539	hgnc_symbol|INPP5A|INPP5A
affy_hg_u133a|208199_s_at|208199_s_at	entrezgene|7541|7541	refseq_dna|NM_003409|NM_003409	hgnc_symbol|ZFP161|ZFP161
affy_hg_u133a|220039_s_at|220039_s_at	entrezgene|54901|54901	refseq_dna|NM_017774|NM_017774	hgnc_symbol|CDKAL1|CDKAL1
affy_hg_u133a|222087_at|222087_at	embl|AW451806|AW451806
affy_hg_u133a|203181_x_at|203181_x_at	entrezgene|6733|6733	entrezgene|AW149364|6733	hgnc_symbol|SRPK2|SRPK2
affy_hg_u133a|207614_s_at|207614_s_at	entrezgene|8454|8454	refseq_dna|NM_003592|NM_003592	hgnc_symbol|CUL1|CUL1
affy_hg_u133a|209389_x_at|209389_x_at	entrezgene|1622|1622	entrezgene|M15887|1622	hgnc_symbol|DBI|DBI
affy_hg_u133a|204548_at|204548_at	entrezgene|6770|6770	refseq_dna|NM_000349|NM_000349	hgnc_symbol|STAR|STAR
affy_hg_u133a|202439_s_at|202439_s_at	entrezgene|3423|3423	refseq_dna|NM_000202|NM_000202	hgnc_symbol|IDS|IDS
affy_hg_u133a|210966_x_at|210966_x_at	entrezgene|23367|23367	entrezgene|BC001460|23367	hgnc_symbol|LARP1|LARP1
affy_hg_u133a|219438_at|219438_at	entrezgene|79570|79570	refseq_dna|NM_024522|NM_024522	hgnc_symbol|NKAIN1|NKAIN1
affy_hg_u133a|211965_at|211965_at	entrezgene|677|677	embl|BE620915|BE620915	hgnc_symbol|ZFP36L1|ZFP36L1
affy_hg_u133a|206454_s_at|206454_s_at	entrezgene|6010|6010	entrezgene|AA058836|6010	hgnc_symbol|RHO|RHO
affy_hg_u133a|214744_s_at|214744_s_at	entrezgene|9349|9349	embl|AK021960|AK021960	hgnc_symbol|RPL23|RPL23
affy_hg_u133a|218956_s_at|218956_s_at	entrezgene|26024|26024	refseq_dna|NM_015545|NM_015545	hgnc_symbol|PTCD1|PTCD1
affy_hg_u133a|206741_at|206741_at	entrezgene|51066|51066	refseq_dna|NM_015931|NM_015931	hgnc_symbol|C3orf32|C3orf32
affy_hg_u133a|202428_x_at|202428_x_at	entrezgene|1622|1622	refseq_dna|NM_020548|NM_020548	hgnc_symbol|DBI|DBI
affy_hg_u133a|205673_s_at|205673_s_at	entrezgene|140462|140462	refseq_dna|NM_024087|NM_024087	hgnc_symbol|ASB9|ASB9
affy_hg_u133a|219051_x_at|219051_x_at	entrezgene|79006|79006	refseq_dna|NM_024042|NM_024042	hgnc_symbol|METRN|METRN
affy_hg_u133a|201561_s_at|201561_s_at	entrezgene|22883|22883	refseq_dna|NM_014944|NM_014944	hgnc_symbol|CLSTN1|CLSTN1
