Gene type	Gene name	Accession no.	Fold regulation
Mitochondrial proteins	Cytochrome P450, 7b1	AU022670	1.5
Mitochondrial proteins	Cytochrome P450, steroid inducible	AA268120	1.8
Transcription factors/activators of	Metal response element binding transcription factor	AA545607	1.5
transcription factors	Rho-associated coiled-coil forming kinase	AA098168	2
Signal transduction	Mus musculus interferon-inducible GTPase	AA145136	1.5
Cell cycle	Cyclin B1 related sequence 1	AA124592	1.6
Apoptosis	Apoptosis inhibitor 3	AA097958	2.5
Apoptosis	TGF beta 1 induced anti apoptotic factor	AA080234	3.3
Immunological markers	CD28 antigen	AI327367	1.7
Immunological markers	CD4 antigen	AI666534	2.7
Immunological markers	Interferon regulatory factor 2	AA200609	3.1
Other genes	Lipocalin 2	AA087193	2
Other genes	Adipisin	AI325224	1.5
Other genes	ESTs highly similar to caveola associated protein	C77256	1.8
Other genes	Myeloblastosis oncogene	AA267899	3
Other genes	Heat shock protein, 86 kDa 1	AW536140	1.6
Other genes	Heterogeneous nuclear ribonucleoprotein	AW554270	1.5
Other genes	High mobility group protein 2	AW546306	2.1
Other genes	Ciliary neurotropic factor	W11161	2.5
Other genes	Adrenergic receptor, beta 2	C76960	2
Other genes	Carbon catabolite repression 4 homolog	AW556185	1.5
Other genes	Max dimerization protein 5	AW536381	2.1
Other genes	s17 protein	AU040979	1.7
Other genes	Treacher Collins Franceschetti syndrome	AI451115	1.5
Other genes	Topoisomerase (DNA) I	AA170792	1.5
Other genes	Thymus cell antigen 1, theta	W13151	1.8
Other genes	Protein tyrosine phosphatase, non-receptor type 1	AI323459	2.2
Other genes	Protease, serine, 16 (thymus)	AA204066	2.9
Other genes	Pituitary tumor-transforming 1	AA250500	2.3
Other genes	Laminin, gamma 1	C79482	3.1
Other genes	Keratin complex 2, basic, gene 8	C77408	1.7
