Probe Set ID	In final signature?	Gene Symbol	Orientation	Description
ADXCRAD_AA131506_at	Yes	CXCL9	Sense	chemokine (C-X-C motif) ligand 9 [Source:HGNC Symbol;Acc:7098]
ADXCRAD_AA179510_at	Yes	N/A	No Transcript match	N/A
ADXCRAD_AA420497_at	Yes	BTBD3	Sense	BTB (POZ) domain containing 3 [Source:HGNC Symbol;Acc:15854]
ADXCRAD_AA527340_at	Yes	RP11-357H14.7 (Clone_based_vega_gene)	Sense	Novel processed transcript.
ADXCRAD_AA601031_at	Yes	RP11-761E20.1 (Clone_based_vega_gene)	Sense	Novel processed transcript.
ADXCRAD_AA601208_x_at	Yes	AC004878.3 (Clone_based_vega_gene)	AntiSense	Known pseudogene.
ADXCRAD_AA620926_at	Yes	RP4-717I23.3 (Clone_based_vega_gene)	AntiSense	Novel processed transcript.
ADXCRAD_AA682539_at	Yes	AC069513.3 (Clone_based_vega_gene)	AntiSense	Novel processed transcript.
ADXCRAD_AA702187_at	Yes	ZXDC	AntiSense	ZXD family zinc finger C [Source:HGNC Symbol;Acc:28160]
ADXCRAD_AA709148_s_at	Yes	CHD2	AntiSense	chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:1917]
ADXCRAD_AA774760_at	Yes	EIF4G3	Sense	eukaryotic translation initiation factor 4 gamma_ 3 [Source:HGNC Symbol;Acc:3298]
ADXCRAD_AA774760_s_at	Yes	EIF4G3	Sense	eukaryotic translation initiation factor 4 gamma_ 3 [Source:HGNC Symbol;Acc:3298]
ADXCRAD_AA829635_at	Yes	ZNF75A	AntiSense	zinc finger protein 75a [Source:HGNC Symbol;Acc:13146]
ADXCRAD_AA830854_s_at	Yes	RNF145	AntiSense	ring finger protein 145 [Source:HGNC Symbol;Acc:20853]
ADXCRAD_AB033102_s_at	Yes	FAM184B	Sense	family with sequence similarity 184_ member B [Source:HGNC Symbol;Acc:29235]
ADXCRAD_AF143866_s_at	Yes	ZC3HAV1	Sense	zinc finger CCCH-type_ antiviral 1 [Source:HGNC Symbol;Acc:23721]
ADXCRAD_AF172450_at	Yes	N/A	No Genome match	N/A
ADXCRAD_AI703162_at	Yes	YLPM1	AntiSense	YLP motif containing 1 [Source:HGNC Symbol;Acc:17798]
ADXCRAD_AI750956_s_at	Yes	COL12A1	Sense	collagen_ type XII_ alpha 1 [Source:HGNC Symbol;Acc:2188]
ADXCRAD_AI805700_at	Yes	PTK2	AntiSense	PTK2 protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:9611]
ADXCRAD_AI820050_at	Yes	MMP25	Sense	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:14246]
ADXCRAD_AI862559_x_at	Yes	ANGPTL6	Sense	angiopoietin-like 6 [Source:HGNC Symbol;Acc:23140]
