Gene	EntrezID	Description	FC
ACTBL3	440915	Actin, beta-like 3	7.2
EIF4G2	1982	Eukaryotic translation initiation factor 4 gamma, 2	5
FER1L3	26509	Fer-1–like 3, myoferlin (Caenorhabditis elegans)	5
CXCL12	6387	Chemokine ligand 12 (stromal cell–derived factor 1)	5
SC4MOL	6307	Sterol-C4-methyl oxidaselike	4.8
DCN	1634	Decorin	4.5
SEC61A1	29927	Sec61 alpha 1 subunit (Saccharomyces cerevisiae)	4.4
GNG12	55970	Guanine nucleotide–binding protein (G protein), gamma 12	4.4
TIMP3	7078	TIMP metallopeptidase inhibitor 3	4.4
TUBB	203068	Tubulin, beta	4.3
ACTB	60	Actin, beta	4.2
CSNK1A1	1452	Casein kinase 1, alpha 1	4.1
TUBA1A	7846	Tubulin, alpha 1a	4
SNX6	58533	Sorting nexin 6	4
FAM65A	79567	Family with sequence similarity 65, member A	3.9
C1R	715	Complement component 1, r subcomponent	3.9
C17orf70	80233	Chromosome 17 open reading frame 70	3.8
FSTL1	11167	Follistatinlike 1	3.7
C1S	716	Complement component 1, s subcomponent	3.7
CTNNB1	1499	Catenin (cadherin-associated protein), beta 1, 88 kDa	3.7
SEC23A	10484	Sec23 homolog A (S. cerevisiae)	3.7
SLC7A5	8140	Solute carrier family 7	3.6
EHD1	10938	EH-domain containing 1	3.6
TCEA1	6917	Transcription elongation factor A (SII), 1	3.6
ATP2B4	493	ATPase, Ca2+ transporting, plasma membrane 4	3.6
VCP	7415	Valosin-containing protein	3.6
C1R	715	Complement component 1, r subcomponent	3.5
CBX6	23466	Chromobox homolog 6	3.5
RNF150	57484	Ring finger protein 150	3.5
TNC	3371	Tenascin C	3.4
MAP1B	4131	Microtubule-associated protein 1B	3.4
FBLN1	2192	Fibulin 1	3.4
SAFB	6294	Scaffold attachment factor B	3.4
NEK7	140609	NIMA-related kinase 7	3.4
ACTG1	71	Actin, gamma 1	3.4
TUBB6	84617	Tubulin, beta 6	3.3
ADAM10	102	ADAM metallopeptidase domain 10	3.3
CTNNB1	1499	Catenin (cadherin-associated protein), beta 1, 88 kDa	3.3
ITGB1	3688	Integrin, beta 1	3.3
MSRB3	253827	Methionine sulfoxide reductase B3	3.2
